"Time"	YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C

0	0.0665110	0.7710059	0.0577001	0.6713378	0.6407782	0.0435385	0.6483102	0.5059561	0.6419474	0.7059480	0.4318614	0.7749290	0.7561116	0.2593424	0.4146669	0.4430806	0.0332818	0.4222756	0.7742695	0.7762245	0.6624339	0.5819369	0.6985861	0.0522151	0.1550247	0.6913482	0.6736425	0.6244686	0.0223458	0.3135809	0.0675140	0.2939750	0.4862826	0.5981272	0.6808001	0.4975878	0.7387403	0.4269421	0.4245409	0.7710355	0.2467754	0.5854841	0.6748800	0.0269200	0.5331779	0.4990495	0.6204628	0.7896872	0.2171735	0.5418377
50	0.0536167	0.6643848	0.0551002	0.5189481	0.7503094	0.0228344	0.7997428	0.4946451	0.6538860	0.6072716	0.1743582	0.8280397	0.3211111	0.2347024	0.5872204	0.5493018	0.0597546	0.2398720	0.7633466	0.6975851	0.5311203	0.4014830	0.7594427	0.0349156	0.0707711	0.3875874	0.6132112	0.6735109	0.0269677	0.4034865	0.3637048	0.2732865	0.4503556	0.5529155	0.6617060	0.4995042	0.4975840	0.4483559	0.3471509	0.6710874	0.2397804	0.5802330	0.4652211	0.0174430	0.7345040	0.3333989	0.4927735	0.5527763	0.1995886	0.6353931
100	0.0249127	0.8023486	0.0476609	0.3515710	0.8303523	0.0263901	0.7497322	0.4930722	0.8669262	0.7128581	0.1227239	0.6954903	0.2978654	0.3312137	0.4277279	0.5093184	0.0471803	0.3083411	0.8669294	0.6004745	0.5031026	0.3442024	0.6957947	0.0187809	0.1723679	0.3264666	0.5755213	0.7008497	0.0339411	0.2991047	0.3197882	0.1818642	0.5194590	0.6746363	0.7605020	0.4670653	0.2668758	0.3309500	0.3644524	0.6034275	0.2053445	0.4983064	0.2951215	0.0246472	0.6120437	0.4461586	0.4648904	0.8019634	0.2412498	0.7143942
150	0.0535623	0.6930524	0.0965416	0.4356134	0.7511578	0.0677642	0.6982214	0.4834502	0.6692177	0.7545560	0.1461738	0.6956250	0.2242575	0.3953807	0.2742588	0.6593888	0.0237185	0.2799392	0.7348855	0.5854961	0.6767446	0.3857551	0.8522232	0.0389393	0.1441944	0.4976447	0.7277624	0.7680579	0.0179237	0.2491610	0.4587128	0.2051040	0.4707439	0.7514144	0.6965875	0.3599893	0.2927413	0.3674349	0.3660600	0.6258653	0.1839951	0.4986937	0.3583153	0.0050435	0.6634302	0.4093972	0.5130209	0.6419005	0.2266961	0.6324615
200	0.0532564	0.7513670	0.0640075	0.5426079	0.6916238	0.0586870	0.7002754	0.4126941	0.7357740	0.9647476	0.1430454	0.6933232	0.2072181	0.2979971	0.4184965	0.5125810	0.0349732	0.4096120	0.6034026	0.7784355	0.5889344	0.3647867	0.7013557	0.0457563	0.2093121	0.3964945	0.5893220	0.7000839	0.0049124	0.3693275	0.3416795	0.2194612	0.5606190	0.6358647	0.7251680	0.5281116	0.2659394	0.3690164	0.3674327	0.6747643	0.1744409	0.5261378	0.4710122	0.0041473	0.6341770	0.5552863	0.5311363	0.7198894	0.1527255	0.7100836
250	0.0622429	0.8877332	0.1136380	0.4195754	0.6468201	0.0447182	0.8614723	0.5554707	0.7127166	0.7114098	0.0649426	0.6313685	0.1451382	0.2734098	0.4034908	0.4635849	0.0213574	0.3531380	0.5671107	0.6817973	0.6346545	0.4316981	0.6637583	0.0328507	0.1264525	0.3636845	0.6560178	0.6342743	0.0088911	0.2469470	0.4683931	0.2682767	0.5305460	0.7679559	0.6553606	0.3789745	0.2764316	0.4690256	0.4726601	0.7711951	0.2635102	0.4876854	0.3843055	0.0003924	0.8238356	0.4255797	0.6505787	0.6192353	0.2060348	0.5985939
300	0.0731999	0.7769412	0.0424843	0.4029265	0.8012741	0.0429374	0.7470018	0.4927778	0.8131768	0.6101554	0.0586617	0.6439408	0.1120571	0.2841075	0.4421959	0.5891556	0.0629501	0.3366065	0.6800146	0.8001337	0.6898918	0.4324105	0.5623026	0.0268591	0.1501265	0.3231372	0.5886815	0.6732164	0.0352505	0.2487326	0.3625949	0.3058040	0.6204579	0.7542083	0.6425939	0.4316412	0.2680871	0.4537435	0.3363202	0.6885991	0.2540416	0.4693167	0.3574335	0.0006253	0.7394016	0.4825546	0.5097521	0.7122971	0.2064525	0.6702421
350	0.0460869	0.8007302	0.0287396	0.3950326	0.8290735	0.0239895	0.8102110	0.4835243	0.7662984	0.7620654	0.0788793	0.7762710	0.1231836	0.3310150	0.3868172	0.6415194	0.0682998	0.3236593	0.6935435	0.5875395	0.7505197	0.4125358	0.5850474	0.0241774	0.1122026	0.5419616	0.5662842	0.6654488	0.0148722	0.2923324	0.4233900	0.2680441	0.5974215	0.7580540	0.7298841	0.5167343	0.2135771	0.5079505	0.4758197	0.6772127	0.1802918	0.4900147	0.3940507	0.0000362	0.6414730	0.5178582	0.4691824	0.7529687	0.1605379	0.6940659
400	0.0616597	0.6194279	0.1053730	0.4438522	0.6537749	0.0410398	0.8171947	0.4660538	0.7130196	0.6960099	0.0996998	0.6038134	0.1169199	0.3539694	0.2126721	0.5587828	0.0142879	0.3766289	0.6932013	0.5793220	0.7505871	0.4479091	0.6049914	0.0616568	0.2225686	0.3375817	0.8005028	0.6468342	0.0375788	0.3026754	0.3558731	0.2664827	0.4912693	0.7137250	0.7802694	0.4908447	0.2064836	0.4513842	0.4037021	0.9401860	0.2051054	0.5019476	0.3135971	0.0064742	0.7785741	0.4698341	0.5447503	0.7210111	0.2212067	0.5991217
