YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0584972	0.6908458	0.1114120	0.7678471	0.5953721	0.0000000	0.7847670	0.1889930	0.3239350	0.0000000	0.7012845	0.7084601	0.8051000	0.5241786	0.0153061	0.2515011	0.0087728	0.0148818	0.3478862	0.7413477	0.3034931	0.1192688	0.7577886	0.0234001	0.7570238	0.7066751	0.7801754	0.7504389	0.0208460	0.6279964	0.0364586	0.0337400	0.6044969	0.2348597	0.7493204	0.2217490	0.7459588	0.4522541	0.3636035	0.8107879	0.4745251	0.5497044	0.2722209	0.6747758	0.6460377	0.5906051	0.5004151	0.6383072	0.2765084	0.6485455
0.0000000	0.7665984	0.1018852	0.7127712	0.7318469	0.0000000	0.7555605	0.5272516	0.6490387	0.7036030	0.8136921	0.6285287	0.7089588	0.3191381	0.0227447	0.4805314	0.0208600	0.3546992	0.6590349	0.6096240	0.7433218	0.4761213	0.5840766	0.0214507	0.6729572	0.6798094	0.6617604	0.5939164	0.0163666	0.2438360	0.0547361	0.1805301	0.5438994	0.3354761	0.7031226	0.5050906	0.7384575	0.5435627	0.3303968	0.7746399	0.3340456	0.6348956	0.5660839	0.0824310	0.7391147	0.4597962	0.4726987	0.7973041	0.0027018	0.7194136
0.0735712	0.6247615	0.2571932	0.0000000	0.0000000	0.0869606	0.6803491	0.5121062	0.7881698	0.6689986	0.4602413	0.0231876	0.6196527	0.5557692	0.6719548	0.5097711	0.0818342	0.2932004	0.6319248	0.7084529	0.5947121	0.3956683	0.6579983	0.0437865	0.0798114	0.8373816	0.7138105	0.8278074	0.0171176	0.2469510	0.0232083	0.1828586	0.3828004	0.5514075	0.0396895	0.5353765	0.5859847	0.4319840	0.2836499	0.7329394	0.3470505	0.0035444	0.5347192	0.6855375	0.6546093	0.2086583	0.1538768	0.0375072	0.2336321	0.6265768
0.0502983	0.5681948	0.0000000	0.7755135	0.6611827	0.0000000	0.5966539	0.5166472	0.7091567	0.6549413	0.5976858	0.7562477	0.7836942	0.3398261	0.0196926	0.4679777	0.0108555	0.2620070	0.7123957	0.8025540	0.6144448	0.4110146	0.7094557	0.0733028	0.7444075	0.6744003	0.6802387	0.6057688	0.0211330	0.2188215	0.0513083	0.3375671	0.6940094	0.3142678	0.8374282	0.4957944	0.7418591	0.4728992	0.3773226	0.6108397	0.2320963	0.5188138	0.5195613	0.0361969	0.7416621	0.4325250	0.5134547	0.6434834	0.2357329	0.6420037
0.0598811	0.5544205	0.0000000	0.7126136	0.7108008	0.0739137	0.8423132	0.2721597	0.3414895	0.0000000	0.4450930	0.7811801	0.4696182	0.4293964	0.0310790	0.3529774	0.0248031	0.0130923	0.4198255	0.6675770	0.4054178	0.1172820	0.9510793	0.0330068	0.7249243	0.8054013	0.6055535	0.6566662	0.0866441	0.6926390	0.1067365	0.0646932	0.6697538	0.6492806	0.7527897	0.2858802	0.6610974	0.4146231	0.3400441	0.7571648	0.4172358	0.6236899	0.3404942	0.7242046	0.6124617	0.7793120	0.5657319	0.7472641	0.2057872	0.6663891
0.7710787	0.0000000	0.0678464	0.7220355	0.0000000	0.4351210	0.6292141	0.7043041	0.4120989	0.6328182	0.0320434	0.0175823	0.0191766	0.2994678	0.7526571	0.5654858	0.7192441	0.4999724	0.6772226	0.2575761	0.7343518	0.1989334	0.6958389	0.5341242	0.0234471	0.6741166	0.3314332	0.6210272	0.0400707	0.6309209	0.6421667	0.3799580	0.7309762	0.4456546	0.0551955	0.5583907	0.7438153	0.1244929	0.5560267	0.0720552	0.2918016	0.3463561	0.3140053	0.8040294	0.0146339	0.4756724	0.4904136	0.5254948	0.7735868	0.3571412
0.0000000	0.6985155	0.1268355	0.7363897	0.6260455	0.0161113	0.9147747	0.0000000	0.7206456	0.6820037	0.8046974	0.6773540	0.7460140	0.4135163	0.0335074	0.0053216	0.0451948	0.3330713	1.0000000	0.7487523	0.5468695	0.5015284	0.7195393	0.0177132	0.6174862	0.7568777	0.6604624	0.7114644	0.0211465	0.3142968	0.1023604	0.0026830	0.5854142	0.4310692	0.7149119	0.0325495	0.7564519	0.4188777	0.4014004	0.6093480	0.6878224	0.6091857	0.2460412	0.0250463	0.7280701	0.4062662	0.4950035	0.6778490	0.0017551	0.6821171
0.7686292	0.0000000	0.0000000	0.7809870	0.6503799	0.5476217	0.5176969	0.6530713	0.4984302	0.7229499	0.0381411	0.7009096	0.0275385	0.2462479	0.8094001	0.5356262	0.7893701	0.5314279	0.6001139	0.3130100	0.6120969	0.2436538	0.7502709	0.7024041	0.0479168	0.7043662	0.4164881	0.6714482	0.0102868	0.7630569	0.0438035	0.3139367	0.7969981	0.5012634	0.0356923	0.5377054	0.7186338	0.1487284	0.6087470	0.0357481	0.2595762	0.6424639	0.3315180	0.0219354	0.0103743	0.5177682	0.7524555	0.7595253	0.7168630	0.2697601
0.0472202	0.6375282	0.1047949	0.6679918	0.6735352	0.0000000	0.0000000	0.6497314	0.5781828	0.6261889	0.7981329	0.8489940	0.7435179	0.1189666	0.0064316	0.0247196	0.0286511	0.2963187	0.6960826	0.6024197	0.5058543	0.6527369	0.6790502	0.0468646	0.7960166	0.7458961	0.5564822	0.7292138	0.0088294	0.3598235	0.0617949	0.4990085	0.5791260	0.4201044	0.6973224	0.5556080	0.7751704	0.4548949	0.4009636	0.6915180	0.2276850	0.5690542	0.5995872	0.0434576	0.6420197	0.3806235	0.6047065	0.8470505	0.1694868	0.7978262
0.0480584	0.7019819	0.1001019	0.7304122	0.6978677	0.0000000	0.9173470	0.0000000	0.7189772	0.7917448	0.6318395	0.7914263	0.6705753	0.4148977	0.0187553	0.0388298	0.0279227	0.2763684	0.6658097	0.6875496	0.6406170	0.3983472	0.8294408	0.0334209	0.6510342	0.6820375	0.6204675	0.8179686	0.0094235	0.2923894	0.0277815	0.0017565	0.4520718	0.2583531	0.6923568	0.0203234	0.7938467	0.3960933	0.3491267	0.7517131	0.6727519	0.5812109	0.2479692	0.0374704	0.7387482	0.4629878	0.6145464	0.6033118	0.2154327	0.7028280
0.0527216	0.7784838	0.1096506	0.7400526	0.6637774	0.0130003	0.0000000	0.4070876	0.2784868	0.0000000	0.6442710	0.6821190	0.8605229	0.3047614	0.0952846	0.0239860	0.0427557	0.0298549	0.3955488	0.5876738	0.3578427	0.3640881	0.7364770	0.0451454	0.6934898	0.5885442	0.5568644	0.6584770	0.0546797	0.7188561	0.0704356	0.1714618	0.5372705	0.6578758	0.6471613	0.3836790	0.6565431	0.4328489	0.4007590	0.6695014	0.2404503	0.5384623	0.4455197	0.7139921	0.7472293	0.6947600	0.5955215	0.5369026	0.2421067	0.6172667
0.0000000	0.6350809	0.0000000	0.6868781	0.5861578	0.0102410	0.6260648	0.4383944	0.6129926	0.6815859	0.7414141	0.7451485	0.9026496	0.2466141	0.0178168	0.7248314	0.0156439	0.3736038	0.6849820	0.6478140	0.6632259	0.4006036	0.8005018	0.0045898	0.4468906	0.7513208	0.5686452	0.7492399	0.0182147	0.3032549	0.0844434	0.2788352	0.7319307	0.4292632	0.7433278	0.4776892	0.6795985	0.4125526	0.3508801	0.6612738	0.3839740	0.5535908	0.7434882	0.0400401	0.6013030	0.4293525	0.5694547	0.5607893	0.0026523	0.7929036
0.0000000	0.6537055	0.1271612	0.6277763	0.6707756	0.0066789	0.6479282	0.2146024	0.3608828	0.0000000	0.7251688	0.7087541	0.7770656	0.4070758	0.0488652	0.2109313	0.0255547	0.0269914	0.4152879	0.6977761	0.3735271	0.2138453	0.6045791	0.0314424	0.5979431	0.7796573	0.7501480	0.6622491	0.0124470	0.6635011	0.0372037	0.0594316	0.4874802	0.5255824	0.5890813	0.1774365	0.6376504	0.4797668	0.4243177	0.8486460	0.5037276	0.5180258	0.3164961	0.6611505	0.6774246	0.6919049	0.6085430	0.6068604	0.0120978	0.6981420
0.6697209	0.0000000	0.6400628	0.0000000	0.8840990	0.5318240	0.5420207	0.6388552	0.5441557	0.9480176	0.0432293	0.0197531	0.0144957	0.1319585	0.7664917	0.5623568	0.6243308	0.5478351	0.7145456	0.1301529	0.7271536	0.2166688	0.7607204	0.5103703	0.0326644	0.6771714	0.0088799	0.6525928	0.0152620	0.8074895	0.0374631	0.2158703	0.7801046	0.4166629	0.0432513	0.5924425	0.4190283	0.1330965	0.5060334	0.0419119	0.2052364	0.2969348	0.3088354	0.0378408	0.0159482	0.2739544	0.6715323	0.4951269	0.7128369	0.3443417
0.7416190	0.0000000	0.2830139	0.6871736	0.6841619	0.4605604	0.5052900	0.4309994	0.1405844	0.0000000	0.0214316	0.8381378	0.0173244	0.3617378	0.0133867	0.5510682	0.0274381	0.2900771	0.2923942	0.2949967	0.2712279	0.0199491	0.6745565	0.5520887	0.7229882	0.6988626	0.3243600	0.3164804	0.3116346	0.6702382	0.1090508	0.2942059	0.6597274	0.4476818	0.0472708	0.4905046	0.6501637	0.2125156	0.4778305	0.0315365	0.3178355	0.6420284	0.2490244	0.7178767	0.0155593	0.4676856	0.6907909	0.6461786	0.6768081	0.2351096
0.0554856	0.6612122	0.0550779	0.6682162	0.0000000	0.0538249	0.7373220	0.0000000	0.5915358	0.7157433	0.3742338	0.0224665	0.7392830	0.6667515	0.6075367	0.0322372	0.0865839	0.3540425	0.8346899	0.6975759	0.6478254	0.4772560	0.7169667	0.0186662	0.0991016	0.6063589	0.5355487	0.9086766	0.0187348	0.2958605	0.6418195	0.0018305	0.5525332	0.6877908	0.0387738	0.0150698	0.5740595	0.3836421	0.5036678	0.9086566	0.6300515	0.3720315	0.2873179	0.6592572	0.6566428	0.4302269	0.1502019	0.5700837	0.2566166	0.7692723
0.0963031	0.8760719	0.0597608	0.8113667	0.0000000	0.0209562	0.7155673	0.1832504	0.3807864	0.0000000	0.6083622	0.0162294	0.6465584	0.7425940	0.0232051	0.2699562	0.0287309	0.0075440	0.5295990	0.7809273	0.3337098	0.1593301	0.7596100	0.0221886	0.7148579	0.6845657	0.7198997	0.5446460	0.0370647	0.7735895	0.6719568	0.0383545	0.6337168	0.6867234	0.0188828	0.2204170	0.8185538	0.4113046	0.4160562	0.6862573	0.4793015	0.3297052	0.1822376	0.6493474	0.6817959	0.7176188	0.1663391	0.5233341	0.2016958	0.5290697
0.0573142	0.7057278	0.0998380	0.8204350	0.7803685	0.0775328	0.0000000	0.0000000	0.7047025	0.8087713	0.4384958	0.8807001	0.7166942	0.3743552	0.4744558	0.0157967	0.0404773	0.3129764	0.6043074	0.7624017	0.5335041	0.5587489	0.7315564	0.0437910	0.0451827	0.6474215	0.7168261	0.6755553	0.0269969	0.3383157	0.0454468	0.0005142	0.4807566	0.4752968	0.8102534	0.0521439	0.7440760	0.3755752	0.3677073	0.7321694	0.7287461	0.6152727	0.2655411	0.0484332	0.5926310	0.3861722	0.7225295	0.6982073	0.2819133	0.6768354
0.0391595	0.6798168	0.0994757	0.7095689	0.8287099	0.0309893	0.7534489	0.0000000	0.4048573	0.0000000	0.3542628	0.7256859	0.5723503	0.4886508	0.0215961	0.0334857	0.0303774	0.0238656	0.3705560	0.8420311	0.3249209	0.1519940	0.7237028	0.0276054	0.7595006	0.7570073	0.5934469	0.7336607	0.0210649	0.6798334	0.0776021	0.0006971	0.3839250	0.6786925	0.6719250	0.0185698	0.7411357	0.3930437	0.3658848	0.7632623	0.7107003	0.5220755	0.2063226	0.6211549	0.6401601	0.7923863	0.6625114	0.8469745	0.2147834	0.6472480
