YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0294158	0.6961965	0.0845790	0.6585440	0.6821889	0.0035419	0.7206968	0.4975143	0.7942170	0.7533432	0.7984435	0.7216361	0.6896687	0.3678192	0.1032185	0.6391150	0.0245311	0.4268151	0.7385994	0.7602772	0.7424017	0.4334200	0.6814049	0.0273906	0.4459489	0.6741657	0.8636399	0.6925134	0.0270182	0.2769660	0.0759184	0.3690391	0.4714476	0.4844840	0.8389869	0.4729740	0.7711467	0.3901693	0.4378173	0.7920489	0.2778268	0.6200188	0.6326793	0.0327812	0.6496406	0.4554447	0.6208437	0.6563715	0.0657338	0.7355723
0.1452254	0.2935892	0.1405750	0.7130380	0.8143930	0.2057257	0.6911443	0.5987702	0.6679626	0.8016701	0.3535453	0.6874310	0.1616606	0.2144877	0.7228827	0.5143187	0.4433203	0.3591979	0.6735907	0.3539585	0.7122132	0.3260626	0.7167142	0.0702213	0.0300176	0.6961835	0.6252822	0.7898809	0.0130193	0.6405794	0.0797233	0.4491182	0.5329323	0.5325111	0.7125392	0.6107841	0.6121678	0.4153387	0.3389670	0.6757834	0.3042390	0.5817056	0.5108947	0.0278447	0.3964220	0.3654827	0.5734172	0.5678680	0.2913733	0.6028637
0.0922410	0.7773449	0.0836932	0.6743273	0.7981990	0.0689588	0.7180358	0.6272092	0.6353418	0.7268228	0.5603135	0.6050503	0.6774737	0.2611591	0.2271084	0.4348109	0.0210559	0.2935827	0.6693187	0.6834343	0.7155357	0.5545614	0.6237450	0.0258610	0.1777026	0.6864609	0.6633295	0.6721349	0.0303382	0.2790820	0.0458140	0.1983834	0.5992219	0.5029267	0.6959660	0.5896596	0.6825726	0.3213345	0.3643995	0.5879361	0.2285323	0.4726840	0.5967945	0.0486512	0.7433839	0.4420222	0.6922607	0.6166826	0.2591126	0.6483968
0.0731235	0.8434524	0.2071073	0.3941898	0.6580166	0.0654974	0.7329276	0.5637646	0.8086482	0.7451651	0.3147678	0.8069760	0.7180883	0.3514751	0.6066986	0.4793867	0.1520706	0.3460029	0.6790936	0.5511874	0.7707501	0.3740935	0.7981825	0.0317249	0.0171684	0.6295021	0.6931955	0.6509844	0.0255175	0.2802585	0.0616154	0.2260375	0.4356526	0.5468385	0.7011126	0.4682192	0.4627968	0.3968020	0.2693255	0.6191481	0.3318430	0.4102480	0.5830992	0.0413002	0.5988849	0.1558893	0.5899862	0.7152486	0.2207171	0.6285512
0.0527292	0.7464459	0.0576168	0.7495048	0.3471069	0.0746432	0.7633788	0.5087569	0.6648408	0.6653364	0.4287329	0.7589939	0.6473066	0.3458495	0.7129472	0.6191645	0.1392897	0.2972998	0.6088412	0.7024883	0.6631740	0.4784151	0.6283931	0.0244843	0.0251970	0.9562795	0.7142629	0.7349254	0.0116808	0.3037449	0.1799406	0.2648777	0.6027181	0.7174712	0.6491704	0.4203461	0.7032907	0.3088011	0.3279801	0.6230576	0.2695138	0.3185178	0.4758557	0.0634660	0.5769832	0.4455030	0.3937994	0.6879463	0.2508731	0.6938053
0.0264843	0.8405287	0.1134304	0.5857227	0.6389386	0.0209313	0.5959231	0.4772007	0.6114921	0.6548662	0.7389927	0.7100285	0.7723856	0.3410555	0.3132397	0.5948202	0.0297172	0.4193173	0.6247612	0.7666866	0.6042890	0.4733387	0.6056330	0.0180747	0.2528937	0.8172840	0.6701532	0.6729014	0.0170667	0.2366155	0.0633425	0.2235565	0.4990591	0.5850733	0.7568298	0.4410108	0.7161661	0.4378401	0.3270624	0.7040124	0.2946291	0.6527282	0.5569466	0.0403400	0.6566048	0.4112258	0.5700611	0.6790337	0.1937220	0.7350336
0.0377878	0.7904654	0.1217508	0.6246706	0.7334602	0.0268884	0.2977975	0.4854960	0.7760617	0.6989717	0.5652610	0.6882304	0.6744078	0.2689677	0.5155623	0.4672064	0.0304006	0.3994234	0.5405417	0.6997394	0.6706639	0.4983370	0.7452024	0.0282902	0.0803744	0.7250818	0.6510998	0.6379778	0.0225180	0.2514574	0.0666216	0.3021806	0.5300327	0.6067956	0.7229610	0.5096306	0.7712029	0.4510993	0.3711814	0.6226652	0.2505764	0.7283334	0.6855906	0.0534804	0.6869031	0.4127978	0.5259367	0.6345416	0.2563690	0.6698515
0.0770458	0.7733677	0.1528093	0.8315209	0.7831479	0.1030740	0.7787770	0.3261218	0.8016643	0.9246702	0.3001753	0.6683548	0.8075425	0.5379343	0.6486459	0.3626385	0.1489115	0.3507666	0.7193850	0.6441064	0.6363562	0.3889685	0.7899327	0.0364781	0.0380479	0.6268405	0.6694872	0.8968006	0.0147546	0.2693050	0.0762807	0.0407067	0.4492537	0.5084995	0.7561635	0.2095803	0.6903236	0.4716855	0.3273493	0.7290952	0.4145720	0.5481285	0.2952240	0.0362461	0.6817902	0.5721377	0.5967208	0.6911118	0.2717926	0.6888015
0.0503727	0.7355206	0.0795803	0.6351147	0.7071846	0.1420386	0.6441311	0.4835067	0.4557540	0.7114985	0.4239030	0.6840920	0.7781316	0.3565084	0.3193922	0.5160609	0.0492111	0.3393850	0.7489349	0.7609618	0.7295151	0.3888031	0.6638545	0.0563011	0.1351993	0.7559474	0.6541096	0.5533439	0.0203984	0.2889311	0.0503321	0.2650420	0.5114692	0.5036355	0.8237966	0.4439413	0.7171779	0.3670102	0.3938058	0.7322675	0.3122843	0.5282508	0.6207955	0.0298248	0.7200514	0.4787060	0.6991695	0.6448355	0.3004404	0.6836499
0.0534589	0.6280141	0.1601215	0.6864381	0.7838517	0.0209559	0.7346833	0.3184506	0.5800945	0.4666968	0.6097173	0.6415772	0.6445148	0.4449433	0.2902482	0.4901171	0.0178506	0.2544275	0.6273928	0.6889904	0.3742204	0.3723200	0.7313978	0.0152007	0.2369745	0.7701999	0.7239138	0.6853251	0.0175997	0.4005564	0.0602135	0.1368195	0.4794844	0.5799513	0.6990471	0.3902945	0.8502684	0.4565266	0.3923692	0.7460954	0.3571610	0.4856809	0.3540022	0.0656457	0.8716473	0.5938421	0.6329583	0.6380520	0.1552182	0.6506933
0.0423686	0.7903424	0.1274824	0.8868259	0.7045856	0.0496206	0.7465630	0.5218951	0.7128979	0.6908217	0.1671570	0.7316174	0.6438115	0.2450204	0.6787623	0.4536174	0.1067227	0.3149060	0.6414071	0.6262772	0.6405777	0.5104475	0.6169611	0.0159461	0.0420352	0.7467575	0.5439257	0.7928593	0.0221431	0.2516165	0.0488569	0.2080399	0.4353734	0.6563950	0.6659151	0.4861497	0.5666523	0.3898184	0.4049932	0.7768621	0.2417990	0.5398393	0.5952430	0.0556508	0.6478164	0.4185731	0.5622304	0.8421807	0.2144168	0.6773666
0.1122639	0.7102217	0.1101858	0.7836471	0.8633167	0.1416361	0.7615005	0.5251877	0.6571004	0.8401582	0.3431796	0.3914517	0.6839482	0.1924349	0.4913628	0.5374020	0.0492311	0.3609367	0.7109250	0.7791940	0.5634550	0.5732187	0.8452289	0.0493095	0.0997385	0.7807125	0.7336279	0.7424182	0.0112033	0.3802437	0.0640317	0.2127396	0.6140072	0.5782921	0.6859059	0.5178229	0.7505035	0.4454103	0.3082764	0.8535825	0.3090356	0.7129633	0.5567403	0.0704134	0.6755413	0.4425972	0.7508808	0.6410669	0.2729684	0.7559518
0.0659155	0.6433919	0.1086806	0.7364735	0.8919974	0.0294929	0.6964874	0.5308439	0.6688838	0.7615618	0.4894519	0.7915078	0.3674402	0.1857983	0.5115192	0.4523371	0.0594203	0.2447840	0.6718660	0.6900227	0.6673104	0.4033714	0.7346106	0.0203435	0.1155885	0.6059916	0.6175158	0.6954996	0.0386168	0.3770192	0.0608614	0.2124642	0.4953107	0.5897051	0.6746993	0.6003926	0.6636857	0.4386250	0.3685304	0.6367140	0.3175320	0.6151178	0.5923305	0.0437307	0.6325440	0.4510897	0.5467306	0.7956637	0.1644918	0.6544305
0.0637800	0.7034340	0.1338041	0.6324856	0.7395970	0.0121071	0.6384920	0.4846680	0.6460420	0.7220892	0.6694021	0.7175263	0.8217656	0.1666062	0.0948541	0.4807970	0.0275061	0.3316033	0.7980850	0.7335375	0.7843699	0.3313420	0.7518632	0.0253096	0.5119490	0.6253583	0.6011744	0.8016890	0.0189099	0.3466959	0.0515754	0.2396971	0.6699494	0.4296730	0.7462093	0.4575263	0.6002063	0.3409339	0.4684622	0.6685654	0.3609226	0.6160897	0.5510311	0.0277866	0.6384827	0.4930461	0.5894761	0.6657877	0.1575122	0.7644508
