YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0000000	0.6322485	0.0417325	0.7695321	0.5797908	0.0091006	0.7881548	0.4894811	0.7349971	0.8634443	0.7050140	0.6015921	0.6664939	0.2996600	0.0853636	0.5337941	0.0360250	0.3540382	0.7932043	0.6172950	0.5956887	0.3266235	0.7949962	0.0051399	0.4708027	0.7862311	0.7225582	0.6680430	0.0142333	0.3020378	0.0730715	0.2321751	0.5628100	0.5257089	0.7940979	0.4192589	0.5694395	0.4335812	0.3816700	0.7109733	0.3271135	0.6398461	0.5610836	0.0520227	0.6975313	0.5097342	0.4745408	0.6730334	0.0024079	0.7468680
0.7620771	0.0000000	0.2619500	0.6128800	0.5973562	0.4490345	0.4838754	0.5141046	0.4074964	0.7137051	0.0379034	0.7767805	0.0133375	0.1607825	0.7894169	0.6128503	0.5874053	0.6850901	0.5758257	0.1899800	0.5034746	0.1879938	0.6608542	0.6684758	0.0400613	0.5989008	0.3682464	0.8577316	0.0287318	0.6411039	0.0323285	0.3838264	0.6788445	0.5726813	0.0469407	0.6499898	0.6048055	0.0799258	0.5363588	0.0414577	0.2722820	0.6646444	0.3696940	0.0431095	0.0105471	0.3745489	0.6561480	0.6278014	0.7677926	0.2312279
0.0581040	0.6927442	0.0000000	0.7333247	0.6814351	0.0111540	0.7108649	0.5046836	0.7180443	0.6658788	0.5872589	0.5852030	0.7618810	0.2645038	0.4374212	0.5400069	0.0521394	0.2796415	0.6557737	0.6566222	0.6969702	0.5416151	0.5802770	0.0797616	0.1391454	0.7262419	0.7221404	0.7044830	0.0165525	0.3055399	0.0427701	0.2434994	0.6200788	0.6278085	0.7214918	0.4996034	0.6510177	0.4015139	0.3182444	0.6647153	0.3249986	0.5764327	0.5976816	0.0515480	0.6104028	0.5323343	0.6396591	0.7101419	0.2072273	0.6409460
0.0663441	0.7933054	0.3847828	0.0000000	0.7481978	0.1119748	0.7454926	0.6136026	0.6736493	0.7270346	0.2924142	0.0279890	0.6913539	0.2837015	0.6717006	0.4406821	0.1177031	0.3565200	0.7838224	0.4166932	0.6044571	0.4673940	0.5333955	0.0441408	0.0295815	0.6686535	0.3678803	0.8517223	0.0178676	0.2672547	0.0335003	0.1961259	0.2956008	0.6343096	0.6883637	0.4057255	0.5598961	0.4451513	0.1926575	0.8365984	0.3645515	0.2757734	0.6068280	0.0527543	0.6088409	0.0905170	0.5137928	0.4091179	0.2555075	0.6582829
0.0953881	0.7701539	0.0554131	0.7225146	0.0000000	0.0914885	0.6985845	0.6423399	0.7760276	0.7718407	0.2962456	0.0156929	0.5825487	0.4382138	0.6246139	0.5453986	0.2400659	0.2738563	0.6858176	0.7438022	0.5983430	0.4077510	0.7353757	0.0205816	0.0189678	0.8170993	0.7044213	0.7017977	0.0265394	0.3352825	0.6939451	0.2708744	0.6734730	0.6052618	0.0484938	0.4686721	0.6753124	0.3289495	0.5684181	0.7774647	0.2706591	0.2355594	0.5959919	0.6127680	0.5086457	0.5346932	0.1736751	0.5227812	0.2250075	0.6297324
0.0485034	0.7208930	0.0960003	0.8775101	0.7604248	0.0000000	0.7491124	0.4192550	0.6127442	0.7424080	0.7318205	0.8379807	0.6176309	0.2721657	0.0181638	0.5513765	0.0295400	0.3512265	0.7632003	0.7064105	0.6431331	0.4211053	0.7654489	0.0156100	0.7164238	0.6971839	0.7535861	0.7716606	0.0120600	0.2918678	0.0822334	0.2350616	0.4407644	0.4161878	0.6887386	0.5083159	0.7664491	0.4331930	0.3766070	0.7096899	0.3009608	0.5696992	0.5305349	0.0515974	0.5315605	0.4149045	0.5244971	0.5958183	0.1679478	0.5820638
0.0530664	0.7053503	0.0949867	0.5483778	0.6486614	0.0091174	0.0000000	0.6894844	0.6098943	0.7646185	0.4560745	0.7237821	0.7589495	0.1769009	0.5222255	0.0308298	0.0374556	0.3811375	0.8756829	0.6099414	0.7141867	0.6002460	0.7264884	0.0179594	0.0920489	0.7536908	0.5742520	0.7492268	0.0132458	0.2767590	0.0994391	0.3521643	0.5408299	0.6801901	0.7545748	0.6091531	0.6709806	0.4206770	0.3494324	0.5580141	0.1791760	0.5474318	0.6160598	0.0482756	0.5442924	0.3871853	0.4285330	0.6105099	0.1239170	0.5879395
0.0582416	0.7331410	0.1010342	0.7610389	0.6490262	0.0636806	0.7264031	0.0000000	0.7015560	0.7956868	0.3665112	0.6656380	0.5885450	0.4683287	0.5655054	0.0665097	0.0531473	0.3858101	0.7799809	0.6449350	0.7054325	0.5197453	0.7797331	0.0394168	0.0885093	0.7195029	0.6277739	0.7553665	0.0199800	0.3220294	0.0562682	0.0099504	0.5306264	0.7074523	0.7475475	0.0306506	0.7228695	0.4674105	0.3557780	0.7055116	0.6979498	0.6491226	0.2292858	0.0437376	0.7335379	0.5138423	0.5584574	0.6257953	0.3338503	0.6782339
0.1089029	0.7374508	0.1257004	0.7058376	0.7849053	0.0333750	0.6064742	0.4217061	0.0000000	0.7060206	0.5004669	0.5911922	0.8790178	0.3114906	0.4922232	0.4208011	0.0447582	0.4196908	0.6931358	0.7216484	0.7019062	0.4472385	0.8143910	0.0242834	0.0464014	0.6863368	0.6627986	0.0182015	0.0185981	0.3109591	0.0761485	0.2766927	0.4370577	0.7525888	0.7361392	0.5023680	0.6041888	0.3584410	0.3524215	0.7590867	0.3353434	0.5189685	0.5517090	0.0165903	0.6749182	0.3872003	0.5515881	0.6827625	0.2151024	0.5256716
0.0824126	0.6778619	0.1358271	0.7116618	0.6737962	0.0724758	0.6518045	0.1437018	0.3162555	0.0000000	0.6721062	0.7215620	0.8420990	0.4039107	0.0105905	0.2654188	0.0241260	0.0212780	0.3353630	0.6875303	0.2334172	0.1470428	0.5875294	0.0282354	0.7636638	0.6695993	0.6625844	0.8308586	0.0223069	0.7820886	0.0444709	0.0433001	0.5705904	0.4270387	0.6447205	0.1416840	0.6330310	0.5238656	0.3205101	0.7473321	0.4799158	0.5802814	0.2131995	0.7304665	0.7211695	0.6457133	0.5399552	0.5856663	0.2230796	0.6855696
