YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0377422	0.6853442	0.1806608	0.7109456	0.6280859	0.2056611	0.7796604	0.4546332	0.5690813	0.4133526	0.3749342	0.6872377	0.3747742	0.1645156	0.7276696	0.5605687	0.4464218	0.4300586	0.6495963	0.5661277	0.4945095	0.3312358	0.6569757	0.0463804	0.0309297	0.6111189	0.5939923	0.6982769	0.0754535	0.1684016	0.2745927	0.3821892	0.3698802	0.6734302	0.6237976	0.5239365	0.5493617	0.4143707	0.2768941	0.7122023	0.2783715	0.4543426	0.4207482	0.0356199	0.2200566	0.4964924	0.6019237	0.5999439	0.1875291	0.5820328
0.0568284	0.6860836	0.1864196	0.4209351	0.6637268	0.0722497	0.8061096	0.6610962	0.6033997	0.5350607	0.3620464	0.6745991	0.7546078	0.1857661	0.6689077	0.7286837	0.1030229	0.4968257	0.7278383	0.4237605	0.6615240	0.2168524	0.7599744	0.0751693	0.0189185	0.6773134	0.5883658	0.6483291	0.0000681	0.4262903	0.0652996	0.4460532	0.2339149	0.5045000	0.6611985	0.6395108	0.7124058	0.1347970	0.4527092	0.5700774	0.1486114	0.3763432	0.4752434	0.0178379	0.4631028	0.3227440	0.2048057	0.5921234	0.2372987	0.2632496
0.0649359	0.4865563	0.1947993	0.7342363	0.8803644	0.1553280	0.6677827	0.6309198	0.4411020	0.6807786	0.1786825	0.8296872	0.2434739	0.1514833	0.8206648	0.5485412	0.3632360	0.4458766	0.7044285	0.2244177	0.6891204	0.5305675	0.2676821	0.0459472	0.0204340	0.5827552	0.4930961	0.6495446	0.0604398	0.4453393	0.1459205	0.3952259	0.3867502	0.7352355	0.7409650	0.5361343	0.6094711	0.3786931	0.2018682	0.7987790	0.2610493	0.7621853	0.5164104	0.0401428	0.3911718	0.2461516	0.8218981	0.9342087	0.3136781	0.7355683
0.0536183	0.8283801	0.2163326	0.6994133	0.8393504	0.0306539	0.7947831	0.6558651	0.7186083	0.7731836	0.2927074	0.7130657	0.9551782	0.1237994	0.6779886	0.6393644	0.5590647	0.2919071	0.4508119	0.6076315	0.3562125	0.5817099	0.6829055	0.0368262	0.0248914	0.7058889	0.6271765	0.7852413	0.0002452	0.3332285	0.2682438	0.3974538	0.3676250	0.4978911	0.7175539	0.6638071	0.7383407	0.3078557	0.3383956	0.6802878	0.2260595	0.7361668	0.4569038	0.0031847	0.7098051	0.3171242	0.7316914	0.8465431	0.1577721	0.5774012
0.0640212	0.5592426	0.2088216	0.3689494	0.6249122	0.2403903	0.5352922	0.6241760	0.4745356	0.5167036	0.0622052	0.7919810	0.0673461	0.1604011	0.8163607	0.6031147	0.5623647	0.4818179	0.6902593	0.2791500	0.3910352	0.4935184	0.6885370	0.2282650	0.0089750	0.7003348	0.5811810	0.7578092	0.0011145	0.4291161	0.3163980	0.4107895	0.3125047	0.6298676	0.7307320	0.4132594	0.5919807	0.3600816	0.4468093	0.5839851	0.2927105	0.5345404	0.4149020	0.0403198	0.0720639	0.2030304	0.5259002	0.7578620	0.2974845	0.7413627
0.0405258	0.7347103	0.4240482	0.4514832	0.6818802	0.4741186	0.5410489	0.5502109	0.5204244	0.5903217	0.3439202	0.7317309	0.0117455	0.1767780	0.7594687	0.5388394	0.6711525	0.5645615	0.5924529	0.2518324	0.6423336	0.3448218	0.7218912	0.0636495	0.0370891	0.5273040	0.2929480	0.6716889	0.0125132	0.2825913	0.0850582	0.3675630	0.2492282	0.7802197	0.6449924	0.4043517	0.3931559	0.5865746	0.3249631	0.7198691	0.1923771	0.5453426	0.6269288	0.0758201	0.4255753	0.1697349	0.6990389	0.6166395	0.2839539	0.5134218
0.0340161	0.6639673	0.4522536	0.5537389	0.7461287	0.2411957	0.6935379	0.5519667	0.4355559	0.7890651	0.3674131	0.6801597	0.1720588	0.1518384	0.7383963	0.5502896	0.6845990	0.3596368	0.4682343	0.1136302	0.5972401	0.1897449	0.6467251	0.0383708	0.0108352	0.5912400	0.4734527	0.6521010	0.0002527	0.2231889	0.1574824	0.3067387	0.2641595	0.7128050	0.7078019	0.5886066	0.4916109	0.1947497	0.2303730	0.7370547	0.2874623	0.5082243	0.6684403	0.0523534	0.2468365	0.0912997	0.5345825	0.5586146	0.6116611	0.7296708
0.0753641	0.7084765	0.1698275	0.6927664	0.6928989	0.2045015	0.6869469	0.6212644	0.7717963	0.6771154	0.2443645	0.8012237	0.4780724	0.1681206	0.6870012	0.5140121	0.3270007	0.3995967	0.2914471	0.3883351	0.6739488	0.4793207	0.6553405	0.4383353	0.0081303	0.7104644	0.7649251	0.7238415	0.2546806	0.2990583	0.0523550	0.4064528	0.4906370	0.2308502	0.6872999	0.4615379	0.6348901	0.4588390	0.4076595	0.6296311	0.2664674	0.5197002	0.3816189	0.0026000	0.3396391	0.3635629	0.4367033	0.7559399	0.2659334	0.6389852
0.0662198	0.6622717	0.1736459	0.7825647	0.7383495	0.0387509	0.3806621	0.2696364	0.8843788	0.5280904	0.2780630	0.7440468	0.4930473	0.4159043	0.6115999	0.2798956	0.2505485	0.3629000	0.6504251	0.6313483	0.6876824	0.3751054	0.4310382	0.0732098	0.0317609	0.4231133	0.6468698	0.7565750	0.1189782	0.1145553	0.1621375	0.0886479	0.3742530	0.4350259	0.6657023	0.3512410	0.6380898	0.3214133	0.3593757	0.6239439	0.2228100	0.7654142	0.3558527	0.0067583	0.2244336	0.2212831	0.5337720	0.5908233	0.2434132	0.4861171
0.0645642	0.7278290	0.0108176	0.7064444	0.7113751	0.2254594	0.7487569	0.7065237	0.6589146	0.6421945	0.2785220	0.6182218	0.3285983	0.2668663	0.6850136	0.5815771	0.3662554	0.3181673	0.3075622	0.4426096	0.6730802	0.4562554	0.7479776	0.0587496	0.0077021	0.5283651	0.7033251	0.6622905	0.1087391	0.2192827	0.1859575	0.2827881	0.6630384	0.6600400	0.6932310	0.5008271	0.6956260	0.3566067	0.4362968	0.6410201	0.2342259	0.6733486	0.7199646	0.0463055	0.4425743	0.3124164	0.9365767	0.7069515	0.4609047	0.5459555
