"Time"	YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C

0	0.0965931	0.9917858	0.1270408	0.9124610	1.0019637	0.0709991	0.9407448	0.7427249	0.9738304	1.0980755	0.6016177	1.0220409	1.0375011	0.3656601	0.6020683	0.6838302	0.0658622	0.5078126	1.0661622	0.9594600	0.8907052	0.6947893	0.9854344	0.0686459	0.1598035	0.9506475	0.9539769	0.9424369	0.0414072	0.4275502	0.0933668	0.4352808	0.6855586	0.8646546	0.9924055	0.7211094	0.9418581	0.5501219	0.4314392	1.0354821	0.3751695	0.8013462	0.8412306	0.0652802	0.9923989	0.5883233	0.8027609	0.9334344	0.3026118	0.8012736
50	0.0780138	1.0552082	0.0801607	0.7032589	0.9843240	0.0410650	0.9764856	0.7145489	1.0447481	0.9959648	0.2099447	1.0411743	0.4954380	0.3370826	0.7625596	0.7640588	0.0540055	0.3737902	0.9461578	0.9828853	0.8158473	0.5834208	1.0150535	0.0377109	0.1368845	0.6454955	0.8957291	0.9705056	0.0288601	0.4132622	0.4574208	0.3646929	0.7416830	0.8834570	1.0055784	0.7020426	0.5656527	0.6475404	0.4463512	0.9235721	0.2561989	0.7490094	0.6134591	0.0267450	0.9708605	0.6363490	0.7747101	0.9081028	0.2744241	0.9063810
100	0.0613743	1.0257626	0.0681492	0.6416111	1.1745925	0.0412361	1.0377054	0.6622736	1.0073314	0.9752513	0.1570551	0.9505568	0.3416676	0.4595395	0.5373711	0.6854803	0.0446997	0.4628155	1.0055543	0.9258709	0.8396340	0.6205354	1.0286613	0.0312579	0.2092266	0.5159828	0.9000400	0.9537571	0.0151173	0.4033529	0.5644188	0.2568274	0.7930303	0.8790873	1.0936271	0.6602314	0.3531956	0.5831908	0.5214428	0.9333547	0.2987096	0.7798286	0.4918647	0.0093605	0.9552703	0.6841438	0.7494357	1.0227284	0.2779325	0.8778810
150	0.0772985	0.9445908	0.0910359	0.6211396	0.9863087	0.0774633	1.0484616	0.7032564	0.9203569	0.9545824	0.1605199	1.0405860	0.2536743	0.4861744	0.4847653	0.7499277	0.0376057	0.5017353	0.9324004	0.9725553	0.8522279	0.5522035	1.0032347	0.0502873	0.1962811	0.5754891	0.9516166	0.9941048	0.0263796	0.3667444	0.5936113	0.3263506	0.7517507	0.8977373	0.9472648	0.6337924	0.3672072	0.5510807	0.5128050	0.9496183	0.2812764	0.7018735	0.5691456	0.0090440	0.9382722	0.6518799	0.8003128	0.9989834	0.2422588	0.8704050
200	0.0801686	0.9754340	0.1372483	0.6701986	1.0280698	0.0309920	1.0139158	0.6253982	0.9973523	1.1419739	0.1374217	1.0092631	0.2351324	0.4562493	0.4960815	0.7491885	0.0760115	0.5283797	0.9891058	0.9224609	0.8537449	0.5431511	0.9734560	0.0462974	0.2379838	0.5311654	0.8863899	0.9786455	0.0159189	0.4673591	0.5331013	0.3312420	0.8028546	0.9546840	0.9490829	0.6925942	0.3648474	0.5233233	0.4924079	0.9980653	0.3104936	0.7025955	0.5290168	0.0040275	1.0466387	0.7541609	0.7665522	0.9851223	0.2460470	0.9117842
250	0.0753858	1.0158880	0.1208676	0.7172978	0.9959428	0.0551008	1.0377692	0.7569968	1.0870319	1.0501946	0.1277602	0.9832126	0.1917579	0.4561931	0.5361336	0.7415454	0.0547694	0.4673155	0.8509838	0.9510264	0.8810800	0.5911355	1.0268612	0.0599107	0.1901009	0.4873248	0.9027533	0.9294393	0.0231768	0.3949675	0.5426133	0.3156671	0.8067476	1.0180608	1.0268295	0.6802658	0.3692062	0.5571629	0.5316397	1.0661131	0.3325304	0.6804967	0.4986454	0.0003018	1.0061710	0.6879762	0.7556576	0.9723164	0.3058979	0.9288967
300	0.0898559	1.0756534	0.1031822	0.7015991	1.1074620	0.0607928	1.0393011	0.6932475	1.0849636	0.9987282	0.0991705	0.9534477	0.1644644	0.3564634	0.5765590	0.8069557	0.0690842	0.4164746	0.8984198	1.0122301	0.9294962	0.5791693	0.9280171	0.0424642	0.1531499	0.5415134	0.8317542	0.8911778	0.0259227	0.3813546	0.5936935	0.3906072	0.8423863	0.9624903	0.9791968	0.6753483	0.3339326	0.5789117	0.4676232	1.0309034	0.2872808	0.5897725	0.4874880	0.0020768	1.0063230	0.6413442	0.7222540	0.9711570	0.2946045	0.9207471
350	0.0676852	1.0753177	0.0728190	0.6145723	1.0221901	0.0380537	1.0203313	0.7070981	1.0624308	1.0127086	0.1016361	0.9326769	0.1708339	0.3647994	0.5664547	0.8156018	0.0812471	0.4660455	1.0065050	0.9217978	1.0033003	0.5471342	0.9300169	0.0393980	0.1464313	0.5782047	0.8651525	0.9689679	0.0263287	0.4002661	0.5883367	0.3597583	0.8111940	0.9783737	1.0144485	0.6039013	0.3361466	0.6314124	0.5373406	1.0959631	0.2577177	0.6628058	0.5498875	0.0001758	0.9545965	0.6564363	0.7551967	1.0086321	0.2648473	0.8598182
400	0.0979540	0.9480600	0.1291949	0.6830528	0.9951342	0.0563238	1.0226033	0.6037384	1.0419576	1.0035586	0.1743393	0.9941829	0.1734792	0.3849200	0.3525223	0.7154236	0.0429953	0.4527291	1.0190030	0.9475177	0.9433620	0.6161312	0.9269357	0.0435486	0.3413792	0.5068114	0.9268279	0.9461043	0.0315999	0.4127993	0.6089422	0.3421313	0.7748350	0.9330788	1.0432372	0.6538879	0.2980081	0.6171278	0.5290800	1.0929483	0.2760760	0.6760554	0.4993094	0.0038112	0.9878722	0.6478183	0.7858445	1.0201761	0.2728976	0.9473712
