YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0960967	1.0970864	0.1689703	1.0384882	0.9351530	0.0000000	1.0855159	0.2579536	0.4761493	0.0000000	0.9650772	1.0347645	1.0930250	0.7126688	0.0211033	0.3376622	0.0276812	0.0321787	0.4967376	1.0578833	0.4233034	0.2118599	1.0402430	0.0459819	1.0433803	0.9186987	0.9381670	0.9194585	0.0372220	0.9526646	0.0683955	0.0495940	0.7920417	0.3786364	1.0746917	0.2905801	0.9102840	0.5859430	0.5146200	1.0637704	0.7126142	0.7336273	0.3940000	1.0076491	1.0036716	0.8860731	0.7353048	0.9602886	0.3443900	0.8623286
0.0000000	1.0367020	0.1631926	1.0377980	1.0042327	0.0000000	1.0738926	0.7015955	0.9936873	1.0123731	1.0909761	0.9559447	1.0699801	0.4759437	0.0429238	0.6899772	0.0277923	0.4679640	0.9108538	0.9835854	0.9812125	0.6004432	0.9617849	0.0255040	1.0257566	0.9661413	0.9532791	0.9616615	0.0341371	0.3767851	0.0661061	0.2624579	0.7475559	0.5205798	1.0575779	0.7006263	0.9461599	0.5854801	0.4718738	0.9851851	0.4019418	0.7777935	0.7646245	0.0662547	0.9565020	0.6434693	0.7042308	0.9693362	0.0045528	1.0190757
0.1332373	0.9630843	0.2575326	0.0000000	0.0000000	0.1279728	0.9483458	0.6742042	0.9464597	1.0586007	0.5140349	0.0286432	1.0204909	0.7940533	0.8305869	0.7108710	0.1422468	0.4405690	0.9111871	1.0091153	0.9284707	0.5810732	1.0153178	0.0743042	0.0977957	1.0827600	0.9240482	0.9501169	0.0199186	0.3786431	0.0400331	0.2918056	0.5671998	0.8395979	0.0460494	0.6596950	0.8553043	0.5722127	0.4303367	1.0171948	0.4572829	0.0028813	0.7723794	0.9924397	0.9438347	0.4076433	0.2178729	0.0834902	0.3517488	0.8818513
0.0917405	0.9660636	0.0000000	1.0284689	0.9783210	0.0000000	1.0094477	0.6757491	1.0068399	1.0408886	0.9653211	1.0240749	0.9773474	0.4130936	0.0349274	0.6979986	0.0260115	0.4243567	1.0173226	1.0738903	0.9522160	0.6681650	1.0515975	0.0554658	1.0679255	0.9902700	0.9587447	0.9677284	0.0320669	0.4225723	0.0835231	0.3929187	0.9738308	0.4329382	0.9849252	0.6518215	0.9897663	0.5865842	0.5630171	0.9688113	0.3375050	0.7325970	0.8079031	0.0772576	1.0086322	0.5467346	0.7007603	0.9003275	0.3290517	0.9407342
0.0850417	0.9617003	0.0000000	0.9337981	1.0286826	0.0933122	1.0239298	0.4087394	0.4936574	0.0000000	0.5028746	1.0060240	0.7621200	0.6991685	0.0282228	0.4348462	0.0317059	0.0284532	0.5319048	0.9614398	0.4875096	0.1699331	0.9437680	0.0701307	1.0211343	1.0345042	0.9174084	0.9034049	0.0704950	0.9834171	0.0934935	0.0862297	1.0658122	0.8971057	1.0712489	0.4038834	1.0260838	0.5906505	0.5660581	1.0816658	0.5772572	0.7714660	0.4788729	0.9656702	0.8061337	1.0743718	0.8064955	0.9640079	0.3556394	0.9288685
1.0943229	0.0000000	0.1291809	0.9944767	0.0000000	0.6784104	0.7712284	0.9794926	0.6750308	1.0285792	0.0636966	0.0320849	0.0228454	0.4191534	1.0045961	0.7017690	0.9886604	0.6596011	0.9586484	0.4006211	0.8531062	0.2830440	0.9606093	0.8422773	0.0369781	0.9453101	0.4669974	0.9620362	0.0319600	0.9544567	0.9572088	0.5499171	1.0308562	0.5918065	0.0657421	0.7348635	1.0187390	0.2220541	0.7662199	0.0512106	0.3364326	0.5191100	0.4981170	1.0295997	0.0231446	0.6125813	0.5482017	0.7760911	0.8978239	0.3599926
0.0000000	0.9990471	0.1066046	0.9932636	0.9820530	0.0086571	1.0798427	0.0000000	1.0278070	0.9934185	1.0160200	0.9370495	1.0473773	0.6493045	0.0323387	0.0133077	0.0514847	0.4792541	1.1099326	1.0958557	0.8529832	0.6680876	1.1225431	0.0196469	0.9351044	0.9841682	0.8179798	1.0069248	0.0352548	0.4098428	0.0847459	0.0089107	0.7492171	0.6087939	0.9769604	0.0409739	1.0425318	0.6306964	0.5553080	1.0235816	1.0135848	0.7750661	0.3215072	0.0540234	0.9504028	0.5584828	0.7581720	0.9176514	0.0097601	0.9835306
0.9469731	0.0000000	0.0000000	1.1322125	0.9621009	0.8138150	0.6675333	0.9256805	0.6237080	0.9530372	0.0435896	0.9906204	0.0225754	0.3217262	1.0025138	0.6862465	0.9695230	0.7464436	0.8473385	0.4650512	0.8201700	0.2896224	0.9917497	0.8715655	0.0392812	1.0270679	0.4970901	0.8377901	0.0250833	0.9593829	0.0872254	0.4665475	1.0358305	0.6906527	0.0466758	0.7346271	0.9359580	0.2158586	0.7675859	0.0458749	0.3708110	0.7952346	0.4489021	0.0536820	0.0198917	0.6984730	1.0027581	0.9571777	0.8782736	0.3780498
0.0574622	1.0694962	0.1359138	1.0296240	0.9590536	0.0000000	0.0000000	0.8936670	0.9376540	0.9913230	1.0518655	1.0423715	1.0006966	0.1790156	0.0269421	0.0367755	0.0412429	0.4564747	0.9885011	0.9178271	0.9104841	0.9372184	1.0311717	0.0411673	1.0801479	1.0076661	0.8763536	1.0390541	0.0178957	0.4932163	0.0934844	0.5334650	0.7314886	0.5213720	0.9777251	0.7186308	1.0233862	0.6321210	0.4895404	1.0412764	0.3365630	0.7174178	0.8915568	0.0595139	1.0027873	0.6222616	0.7162730	0.9543462	0.2554968	0.9511389
0.0822802	0.9832955	0.1570501	0.9884726	1.0496225	0.0000000	1.0167574	0.0000000	1.0043924	1.0495394	0.9591858	1.0163105	0.9349629	0.6031133	0.0152830	0.0432291	0.0256703	0.4818724	0.9323633	1.0913084	0.9191339	0.5868845	1.0564288	0.0379460	0.9323963	0.9739108	0.9294860	0.9494585	0.0155399	0.3546758	0.0720266	0.0038909	0.8122714	0.4453306	0.9797688	0.0350189	0.9795785	0.6010112	0.5446775	1.0567079	1.0075272	0.7152225	0.3063962	0.0766513	1.0494640	0.6529028	0.7853501	0.7993205	0.2889835	0.8914500
