YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0379191	0.9453437	0.1357485	1.0245507	1.0002826	0.0087335	1.0214019	0.7467216	0.9627352	0.9612318	0.9547652	0.9960030	1.0660906	0.3885167	0.0897638	0.7994761	0.0275509	0.4732471	0.9593161	1.1120533	0.9480689	0.6797946	0.9929036	0.0174516	0.5702126	0.8788828	0.9955863	0.9747608	0.0324636	0.4070196	0.0870579	0.3825816	0.7082973	0.7154975	1.0124299	0.6966257	1.1329345	0.5687969	0.5585325	1.0935066	0.4041686	0.7743191	0.8579326	0.0495008	0.9550386	0.6095178	0.8144200	0.9570253	0.0997811	0.9255642
0.1657280	0.4574107	0.2232737	1.0513845	1.0455746	0.3054798	0.9779700	0.8189164	0.9046330	1.0517893	0.4708605	0.9949564	0.1433980	0.2834397	1.0701504	0.6915144	0.6406745	0.5337586	0.9793387	0.5502261	0.9100751	0.4286572	1.0024234	0.0923456	0.0436288	0.9959250	0.8021507	1.0209744	0.0177128	0.9318556	0.0762174	0.5473596	0.7818601	0.7681978	1.0826720	0.7591186	0.9331825	0.6343441	0.5314543	0.9044930	0.3799571	0.7865718	0.9236039	0.0470451	0.5790245	0.5989607	0.9117922	0.9407997	0.4605247	0.8505435
0.0968283	1.0724839	0.1095810	0.9630131	1.0184773	0.0730782	0.9890947	0.7710194	0.8978014	1.0420646	0.8218136	1.0092482	0.9914332	0.4181117	0.3345106	0.6936004	0.0536793	0.4506769	0.9289925	1.0042036	0.9428338	0.6483272	1.0321753	0.0405994	0.2980310	0.9402115	0.9723818	0.9678289	0.0392350	0.4272952	0.0767245	0.3221199	0.8853930	0.7343897	0.9935087	0.7218606	0.9632299	0.5360331	0.4946273	1.0043819	0.3635111	0.7848318	0.7376506	0.0608504	0.9768559	0.7180921	0.8424986	0.9983966	0.3145149	0.8984116
0.1099132	1.0487585	0.3225916	0.5131977	0.9497762	0.1198500	0.9787187	0.7953623	1.1296840	1.0292819	0.4620464	0.9963528	0.9613103	0.4512877	0.9418571	0.7377967	0.2706425	0.4887819	0.9513634	0.7914123	0.9970288	0.6129215	1.0479832	0.0428997	0.0471527	1.0101459	0.8789217	0.9382281	0.0272821	0.3841478	0.0929210	0.3061430	0.5788901	0.7883877	0.9856247	0.6809944	0.7841296	0.5850886	0.3623091	0.9433804	0.4152391	0.6419832	0.7606836	0.0561471	0.8376332	0.2930930	0.7582013	0.9822604	0.3430738	0.8830482
0.1039169	1.0519357	0.0835546	1.0366674	0.4769225	0.0727238	1.0323699	0.7101538	0.9578013	1.0253129	0.5399519	1.0015417	0.9434844	0.5683547	0.9084182	0.7543113	0.2682120	0.4713019	0.9613936	0.9993502	0.9596415	0.6012871	0.9524157	0.0387089	0.0439566	1.0513201	0.9006155	1.0084427	0.0320042	0.4739160	0.2630687	0.3782121	0.8292421	0.9346905	0.9414109	0.6892945	1.0707032	0.5380660	0.4861997	0.9522809	0.3593805	0.5057358	0.7502523	0.1077460	0.8533088	0.5969903	0.5487379	0.8635521	0.3459553	0.8580963
0.0623308	1.0895084	0.1283941	0.9313063	0.9397840	0.0178499	0.9632097	0.6314798	0.9547507	0.9821029	0.8358644	0.9868273	0.9960919	0.4472781	0.3820842	0.6834804	0.0426874	0.4494232	0.9606712	0.9727824	0.8901252	0.6241143	1.0554264	0.0466537	0.3307451	1.1115853	0.8718973	1.0121437	0.0213722	0.3809273	0.0883310	0.3611852	0.7369581	0.7700540	0.9854959	0.6803526	1.0135514	0.5981858	0.5893201	1.0008656	0.4170353	0.7807688	0.7915913	0.0684272	1.0411065	0.6075511	0.8246964	0.9189896	0.2206556	0.9657689
0.0806580	1.0781088	0.1193576	1.0120301	1.0414129	0.0357527	0.4586602	0.7277081	1.0397191	1.0475311	0.7207470	0.9475215	1.0050803	0.3022685	0.6716848	0.6798306	0.0695396	0.5027467	0.9325495	1.0740989	0.9663982	0.7157489	1.0894156	0.0395263	0.1264761	0.9480115	0.9523236	0.9782206	0.0273564	0.4135559	0.0690967	0.4204858	0.7692348	0.8703124	1.0054707	0.8001069	0.9731089	0.6371457	0.4664217	1.0114204	0.3730861	0.8983505	0.8391528	0.0768354	0.9963818	0.7040694	0.8177287	0.9830613	0.3016252	0.9850934
0.1215270	1.0984892	0.1623040	1.0964597	1.1115892	0.1567336	1.0300231	0.3557115	1.1100261	1.0664131	0.4968987	0.9688845	1.0510847	0.6451263	0.8699476	0.4552405	0.1631011	0.4726438	0.9776552	0.9781016	0.9519388	0.6057042	1.0585412	0.0512173	0.0699610	1.0021962	0.8636074	1.1036768	0.0244227	0.3956673	0.1066329	0.0776864	0.7071590	0.8244384	0.9944496	0.3898615	0.9504736	0.6250387	0.4842144	1.0032394	0.5934940	0.8194471	0.4205012	0.0511886	0.9453306	0.7336426	0.8265335	0.9160257	0.3863237	0.9275614
0.0774138	1.1215394	0.1364322	0.9654967	1.0043254	0.1871882	1.0169469	0.7245071	0.5537103	1.0614810	0.7342056	0.9487390	0.9380046	0.4606794	0.4576308	0.7218918	0.0856500	0.4329193	1.0754051	0.9828688	1.0305269	0.6057456	0.9823682	0.0734645	0.2210069	1.0482514	0.8668919	0.8565452	0.0261379	0.4004155	0.0718783	0.3217643	0.7196161	0.6656529	1.1090759	0.7044928	0.9835659	0.6139147	0.4971119	0.9744898	0.4441281	0.8275896	0.8920509	0.0503076	1.0219839	0.6308901	0.7796239	1.0989901	0.3960173	0.9130666
0.0842780	0.9178749	0.1260043	0.8842824	1.0610850	0.0154141	1.0132631	0.5030452	0.7237017	0.5146195	0.8626506	1.0026060	0.9490408	0.6204109	0.3549399	0.5959700	0.0361196	0.3544252	0.8770539	1.0841992	0.5664040	0.4368518	1.0136465	0.0211301	0.3187047	0.9551324	0.9809579	1.0383305	0.0308502	0.4707555	0.1044588	0.1904299	0.7489205	0.8219209	1.0042040	0.5197542	0.9690839	0.5586566	0.5050578	1.0441112	0.5114207	0.7179544	0.4842939	0.1028750	1.0563598	0.8135971	0.8388224	0.9042342	0.1929477	0.9412146
