YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0000000	0.9645785	0.0856581	0.9739616	0.9792692	0.0130168	1.0198089	0.6966958	1.1008723	1.1028564	1.0226882	0.9551585	1.0174297	0.4230546	0.0677262	0.7855919	0.0440075	0.4674241	1.0574399	0.9896260	0.8038659	0.5805639	1.0221920	0.0123735	0.5602894	1.0480982	0.9240524	0.9902184	0.0280970	0.4492842	0.0927398	0.3885826	0.7876413	0.7479059	1.0283009	0.6807676	0.9307359	0.5999830	0.5184931	1.0283858	0.4291087	0.8667356	0.7773104	0.0979869	0.9650618	0.6763062	0.7439976	0.9420466	0.0035659	1.0138366
0.9502347	0.0000000	0.3525652	0.9152982	0.9702923	0.6762853	0.6426639	0.8161143	0.5532962	1.0127610	0.0646651	1.0361111	0.0205228	0.2137869	0.9590792	0.8032535	0.9256021	0.8132234	0.8051914	0.3181617	0.7889344	0.2463295	0.9907470	0.9014471	0.0389552	1.0091294	0.5233009	0.9853293	0.0398096	1.0034762	0.0681348	0.5259494	0.9015403	0.7095217	0.0502062	0.8318205	0.8614454	0.1735508	0.7571762	0.0418592	0.3181057	0.8457581	0.5162380	0.0445688	0.0178230	0.5033069	0.9591800	0.9427008	0.9837500	0.3606800
0.0870774	1.0627069	0.0000000	0.9590470	1.0694137	0.0284063	1.0581313	0.6698846	0.9800334	0.9566535	0.7717161	0.9208052	1.0417779	0.3741303	0.6739317	0.7427999	0.0796307	0.4700775	0.9681621	1.0175845	0.9065958	0.6655898	1.0213411	0.0549316	0.1560003	1.0473219	0.9955372	0.9663125	0.0256210	0.4718977	0.0821709	0.3194212	0.9646465	0.7855830	0.9573208	0.6791511	1.0046047	0.5168651	0.5044063	0.9486527	0.3847072	0.7140396	0.8105511	0.0556073	0.9649843	0.6866749	0.7906211	0.8968789	0.2785201	0.9064610
0.0921216	1.0647066	0.4795299	0.0000000	1.0526142	0.1328165	0.9330513	0.7884519	0.9882779	0.9883204	0.5301292	0.0385983	0.9455125	0.4138353	0.8562686	0.6220619	0.1924583	0.5247350	1.0874473	0.6498341	0.8451584	0.6445749	0.8124765	0.0537025	0.0472010	0.9491098	0.5074245	1.0419921	0.0166136	0.3908550	0.0218745	0.2946541	0.3916693	0.7967244	1.0518131	0.7002364	0.7551739	0.5591592	0.3118079	1.0317915	0.4393894	0.3907509	0.7393923	0.0633519	0.9164105	0.1466538	0.7664051	0.6211162	0.3309025	0.9056038
0.0971323	1.0840735	0.0475278	0.9941009	0.0000000	0.1325325	1.0824568	0.7465187	0.9426143	0.9957232	0.4114955	0.0274503	0.8541723	0.6670580	0.9745523	0.7913536	0.3643450	0.4327725	1.0390596	0.9847732	0.8751172	0.5696996	0.9777583	0.0603850	0.0378326	1.0480665	0.9343490	0.9635288	0.0292254	0.4585729	0.9430296	0.3977722	0.9674875	0.8849937	0.0527330	0.7322772	0.9802264	0.5829125	0.5596908	1.0501933	0.3814132	0.4840755	0.8564424	0.9994950	0.7937577	0.7027310	0.2363267	0.7157198	0.3571888	0.8239046
0.0793831	0.9534539	0.1627008	1.0600785	1.0009395	0.0000000	1.1285525	0.6384712	0.9522312	1.0285097	0.9948264	1.0824484	0.9208348	0.4642959	0.0200036	0.7437900	0.0352288	0.4413094	1.0182408	0.9738330	1.0256334	0.6139878	1.0559155	0.0305497	1.1057509	0.9677139	0.9264891	0.9533785	0.0264965	0.4530648	0.1124527	0.2963720	0.6532198	0.4706603	0.9277157	0.6169616	1.0077778	0.6041366	0.5588687	1.0542633	0.4330344	0.7441028	0.8233276	0.0656596	0.9411100	0.6117043	0.8451154	0.9477988	0.2277343	0.9444915
0.0694604	1.0508148	0.1342525	0.9264232	0.9932801	0.0222632	0.0000000	0.8827219	0.9438457	1.0370360	0.6734579	1.0162868	0.9683989	0.2561554	0.6768428	0.0392375	0.0722096	0.4768392	0.9754025	0.9635529	0.9909679	0.9152504	0.9883152	0.0320118	0.1718449	1.0537189	0.9173789	1.0065910	0.0264403	0.4089308	0.0835154	0.5038073	0.7907564	0.9162170	1.0467842	0.7824518	1.0452122	0.6072667	0.4993026	0.9706452	0.3582730	0.7753628	0.8542471	0.0733073	0.9115967	0.6029161	0.7127195	0.9183461	0.2143850	0.9608229
0.0881224	1.0332506	0.1431424	1.0107781	0.9787805	0.0591991	1.0717129	0.0000000	1.0326172	1.0642443	0.5718608	0.9889900	1.0827440	0.5997873	0.7579413	0.0452110	0.0822187	0.5011666	1.0396139	0.9699315	0.9271627	0.6286484	0.9899276	0.0365737	0.1065541	1.0075565	0.8307725	1.0091187	0.0283944	0.4309021	0.1001988	0.0061694	0.6856078	0.8402749	1.0191189	0.0462788	0.9492481	0.6278383	0.5074581	1.0421237	0.9938117	0.7975478	0.3330857	0.0335881	1.0075469	0.6756484	0.8161597	0.8328890	0.3625507	0.9369131
0.1053733	1.0456691	0.1426753	1.0128533	1.0942927	0.0569952	0.9243225	0.6702840	0.0000000	0.9428272	0.6272066	0.9974780	1.1136624	0.3983411	0.6327708	0.7287137	0.0685950	0.5072871	1.0047578	0.9841544	0.9306274	0.6306482	1.0179414	0.0339910	0.1022302	1.0661243	0.9882079	0.0319923	0.0198422	0.4061074	0.0835457	0.3678127	0.6538782	0.8897945	1.0568480	0.7216047	0.9531751	0.5654331	0.4925686	1.0213784	0.4134589	0.8378227	0.8452798	0.0441049	0.9499766	0.6007818	0.8321003	0.9540410	0.2599688	0.8335761
0.0892926	0.9415762	0.1390007	1.0081913	1.0177202	0.0946217	1.0310282	0.2828398	0.5254796	0.0000000	0.8269057	1.0056427	1.0227587	0.5898641	0.0177942	0.3304940	0.0451771	0.0209134	0.4519084	0.9340237	0.4153882	0.2335957	1.0036832	0.0536904	0.9779674	0.9720454	0.8984143	0.8998925	0.0299944	1.0056867	0.0739545	0.0524496	0.7208476	0.5914545	0.9978484	0.2662571	0.9758737	0.6434478	0.4994238	1.0058819	0.6719246	0.8318566	0.3508142	1.0049821	1.0625435	0.9601640	0.7561205	0.9452831	0.2847963	0.8913155
