YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0771003	0.9925349	0.2292778	0.8703678	1.0060568	0.2246084	0.9843804	0.7894021	0.8864502	0.6264267	0.4968550	1.0070691	0.6759740	0.3119679	1.0281331	0.7881484	0.6797108	0.6120123	1.0517318	0.7024193	0.6881662	0.5147416	0.9036452	0.1034137	0.0298874	0.8770524	0.7853568	0.9499033	0.0532052	0.2690988	0.3853162	0.4278555	0.6802302	0.8520147	1.0067869	0.9081617	0.8851337	0.6510739	0.3197712	0.9559957	0.3768016	0.6735576	0.6261408	0.0789491	0.3427048	0.6887824	0.8847016	0.8583872	0.2430273	0.8557959
0.0932693	0.9434968	0.2842224	0.5923908	0.8724236	0.0855194	1.0539136	0.9394157	0.7307996	0.8388676	0.5136120	0.9698021	1.0617386	0.2648171	0.8752919	0.8001454	0.1340550	0.6502319	1.0840009	0.6320552	0.9702709	0.3925125	0.9739975	0.1456962	0.0376451	0.7283867	0.8147722	0.9595160	0.0000763	0.5184774	0.0830962	0.7124497	0.3583169	0.7193089	0.9322921	0.8386238	0.7894385	0.1980864	0.6687496	0.9176597	0.2010316	0.5909928	0.6468094	0.0513979	0.6987063	0.3327024	0.3584945	0.8350293	0.3058490	0.4738635
0.1206206	0.6196183	0.3084318	0.9293670	1.0878816	0.2077453	0.9346876	0.9538262	0.6901020	0.9354065	0.3104991	0.9151480	0.3112740	0.2510892	1.0354959	0.7829485	0.5592707	0.5084732	0.9316143	0.2244735	0.9834858	0.6768333	0.4504533	0.0578311	0.0312724	0.7387405	0.8520049	0.9583731	0.0804674	0.7262016	0.1577258	0.5061622	0.4948739	0.9887927	0.9289844	0.7543001	0.8481428	0.6464733	0.2802279	0.9990472	0.4115991	0.9539090	0.6105627	0.0664715	0.5510052	0.2821051	0.9412788	1.0633114	0.3996132	0.9493589
0.0605702	1.0124662	0.1934423	1.0125344	0.9658025	0.0462861	0.9844261	1.0381936	1.0181339	1.0925596	0.4038797	1.0293522	1.0328949	0.1804129	0.8383975	0.9050960	0.7926350	0.4702409	0.6791590	0.7857665	0.5091646	0.9862495	0.9745472	0.0426256	0.0650872	1.0043966	0.9111604	1.0574823	0.0001079	0.4035518	0.4240686	0.5294701	0.5381605	0.7117564	0.9146404	0.8399955	0.9390853	0.4120488	0.4688138	1.0119251	0.3418540	0.9319794	0.6734039	0.0014498	0.9326684	0.5215459	1.0286472	1.1244542	0.2644934	0.7994141
0.0630216	0.8113153	0.3570547	0.6161227	1.1028496	0.3389378	0.7560469	0.8117953	0.6559359	0.8074295	0.0895443	0.9608025	0.1014279	0.1958355	1.0652962	0.8607904	0.8548971	0.5818394	0.9560038	0.4095272	0.5827320	0.6810920	0.9242417	0.1923700	0.0221150	0.9635770	0.9173681	1.0113470	0.0005274	0.6272937	0.4577386	0.5501345	0.3969895	0.7801963	0.9832470	0.6451887	0.7197308	0.5057162	0.5950468	0.9415056	0.3591651	0.7644928	0.5741333	0.0558888	0.1005585	0.2966269	0.7260685	1.0340473	0.3778911	0.9603133
0.0960400	1.0335173	0.5502961	0.6120222	0.9821070	0.6313192	0.8798441	0.7955697	0.6836949	0.9041731	0.4666994	1.0281529	0.0168289	0.3060525	1.0225209	0.7701766	1.0696714	0.9327953	0.7707170	0.3009915	0.8297954	0.5263747	1.0215543	0.0400112	0.0450887	0.8045159	0.4819497	0.9354648	0.0412676	0.3472845	0.1132491	0.4816502	0.3408930	0.9949575	1.0160060	0.7124688	0.6543658	0.8250094	0.4256115	0.9628013	0.1984431	0.6271331	0.8759084	0.0596702	0.5317074	0.2297797	0.9556219	0.9042942	0.2950000	0.6770438
0.0661778	0.9835909	0.5249985	0.8071629	1.0580795	0.3083198	0.9597236	0.7384164	0.6089605	0.9943517	0.4649156	0.9461894	0.2055068	0.2261325	1.0868356	0.8104997	0.8306174	0.6419399	0.6869329	0.1671815	0.8520659	0.2924705	1.0043562	0.0361261	0.0061172	0.8205210	0.6671732	0.8823515	0.0001189	0.3609367	0.2065692	0.3788771	0.3444815	0.9815149	1.0095162	0.7341967	0.6301426	0.2482463	0.2603984	1.0002637	0.3959464	0.8155582	0.9070310	0.0696875	0.3782284	0.1260740	0.6902907	0.9387856	0.7516463	0.9080537
0.0783929	0.9902773	0.2833545	0.9314686	1.0219189	0.3046594	0.8812674	0.8644794	0.9852777	1.0169358	0.4227227	1.1106621	0.7135587	0.2497682	0.9714774	0.7593367	0.4655712	0.4876837	0.4477606	0.6531686	0.9668139	0.6809124	0.8331563	0.6069356	0.0160614	1.0102972	1.0026201	1.0127094	0.3290152	0.3552715	0.0690116	0.6593939	0.6489037	0.3481005	1.0793267	0.7176488	0.9377991	0.6120610	0.5227004	0.9310260	0.3790700	0.8650511	0.5587297	0.0015577	0.5466777	0.5011107	0.6429564	0.9859243	0.3709671	0.8541677
0.0835751	1.0206875	0.2693661	1.0110414	0.9360301	0.0843524	0.6164706	0.4209962	1.0158134	0.8838565	0.3735131	1.0067172	0.7009858	0.5206867	0.8777517	0.3700468	0.3992586	0.4367658	0.9420645	0.8898748	0.9204744	0.6191674	0.6349779	0.1077984	0.0413549	0.6756503	0.9482876	1.0632578	0.1825119	0.1146640	0.2503072	0.1068649	0.5655854	0.5926709	0.9942348	0.5044826	0.9291164	0.4247876	0.4402588	1.0332724	0.4100808	0.9628152	0.4944300	0.0038691	0.4693314	0.2794165	0.8300113	0.8042195	0.3381912	0.6472615
0.1031764	1.0131123	0.0316058	1.0749980	0.9782625	0.2487112	1.0170304	0.8248470	0.8957675	1.1121785	0.4096465	0.9590573	0.4628152	0.3566614	0.9781714	0.7232327	0.5605345	0.4880649	0.4596233	0.6431499	0.9819181	0.5781185	1.0227161	0.0327345	0.0124075	0.8056059	0.9939616	0.9443718	0.1328542	0.3170277	0.3087580	0.4170480	0.9481289	0.9431474	1.0106273	0.7052579	0.9707829	0.4543628	0.6325617	1.0696567	0.3464849	0.8872295	0.8798191	0.0769289	0.6712783	0.4558485	1.0451842	0.9247172	0.6037476	0.8810195
