"Time"	YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C

0	0.1114714	0.9603664	0.1419447	0.8922141	1.0628798	0.0649773	0.9325763	0.7862507	0.9200390	1.0608927	0.5951957	0.9892164	0.9854048	0.3517046	0.5790233	0.8045548	0.0806735	0.5045607	0.9536133	0.9971581	1.0142094	0.6479126	0.9180047	0.0639307	0.1625609	1.0081432	0.9841762	0.9993590	0.0535949	0.3841819	0.0792137	0.3734518	0.6323887	0.7945144	1.0558147	0.7631670	0.9507313	0.5818947	0.5124507	1.0083705	0.3853041	0.7626434	0.7736082	0.0875995	1.0035152	0.6493233	0.7998206	0.8143964	0.2969910	0.8998032
50	0.0829247	1.0539667	0.1447865	0.8376524	1.0462556	0.0550667	0.9891082	0.6487994	0.9380178	0.9267395	0.3045253	0.9980514	0.6359263	0.3753162	0.7217402	0.7926755	0.0751654	0.3911127	0.9773349	1.0557818	0.8515536	0.6645418	0.9734421	0.0533905	0.1629680	0.8503531	0.9963533	0.8663503	0.0226097	0.4422989	0.2113930	0.3723469	0.7413782	0.9107622	1.0271473	0.7318270	0.7584318	0.6026523	0.4533663	0.9916655	0.2696172	0.8234391	0.6862216	0.0589114	0.9671534	0.6129667	0.7960892	0.9875677	0.2843632	0.8740161
100	0.0659587	1.1072044	0.1154388	0.7005155	1.1010236	0.0272044	0.9426049	0.6287323	1.0498754	0.9270625	0.1610568	0.9283522	0.4499673	0.4083661	0.7071510	0.7504928	0.0547772	0.4113838	1.0125540	0.9223892	0.7898699	0.6387711	0.9594706	0.0415638	0.1252631	0.7100861	1.0331288	0.9445100	0.0156495	0.3651287	0.4114163	0.3037363	0.8124280	0.9191544	0.9790169	0.6614519	0.5307145	0.6138582	0.5152887	0.9027582	0.2907202	0.7814375	0.5552110	0.0336045	1.0207069	0.6503715	0.7858894	0.9475625	0.2493669	0.8655032
150	0.0795780	1.0157294	0.0832530	0.6264829	1.0654587	0.0644163	1.0331515	0.6951741	0.9843695	0.9482013	0.1770542	0.9466667	0.3313357	0.3613806	0.4602149	0.7424852	0.0421882	0.4504432	0.9967441	0.8906575	0.7869033	0.5557368	0.9855619	0.0413606	0.1807764	0.6401200	0.9301619	0.8894336	0.0132834	0.4637894	0.4348656	0.2600844	0.7606968	0.8779641	1.0241567	0.6618086	0.4633839	0.5460095	0.5624086	0.9580867	0.3114134	0.6610903	0.5105045	0.0253066	0.9088446	0.6935151	0.8132527	1.0010894	0.3052229	0.7611752
200	0.0910551	0.9916603	0.1059801	0.6137887	1.0892654	0.0392930	1.0070214	0.6314135	0.9653081	0.9226895	0.1234087	0.8909858	0.2844370	0.4301887	0.4435969	0.7978589	0.0770884	0.5320515	0.9357789	0.9207998	0.8002080	0.5606453	0.9425860	0.0386704	0.2167045	0.5691551	0.9663607	0.9567011	0.0241883	0.4248679	0.4699137	0.2952136	0.8334950	0.9845036	1.0480618	0.6856771	0.3554484	0.4798485	0.4876982	1.0154948	0.3088290	0.6273448	0.5168747	0.0083620	0.9693415	0.8147975	0.7805483	1.0384797	0.2680351	0.8774872
250	0.0752780	1.1129547	0.1581871	0.6186550	1.0544002	0.0612083	1.0392090	0.7105268	1.0218560	1.0710723	0.1101616	0.9477374	0.1904627	0.4626154	0.5550678	0.7804201	0.0862383	0.5055410	0.8968384	0.9625565	0.8048153	0.6010889	0.9744441	0.0565128	0.1746503	0.5719829	0.9643306	1.0145473	0.0282806	0.3317074	0.4678678	0.2985024	0.8414264	0.9572668	1.0334236	0.7488244	0.3487396	0.6105441	0.4894717	1.0985161	0.3063098	0.6536298	0.4399971	0.0018035	1.0115152	0.7113175	0.7478716	1.0086542	0.2600526	0.9258996
300	0.0838894	1.0452431	0.1385988	0.6245801	0.9927478	0.0453189	1.1350360	0.7285724	1.0437325	1.0029384	0.1080200	0.9158931	0.1727347	0.4017430	0.5580315	0.7321789	0.0716370	0.4824253	0.8419638	0.9522004	0.9047571	0.5683023	0.9165081	0.0608425	0.1316499	0.5457577	0.9191332	1.0064514	0.0301688	0.3904934	0.5676384	0.3530906	0.8621308	0.9027022	0.9800425	0.6471525	0.3606202	0.6246302	0.5169741	1.0875193	0.3175989	0.6110731	0.5774744	0.0008364	0.9948183	0.6624146	0.7103531	1.0210498	0.2665292	0.9392248
350	0.0743801	1.0144122	0.0966064	0.5900260	1.0338298	0.0556923	1.0515435	0.6825837	1.0806128	1.0515425	0.1194325	0.8892478	0.1851942	0.4202346	0.5857939	0.7875103	0.0723670	0.4171869	0.9486259	1.0750776	0.9131763	0.6126619	0.9058759	0.0519538	0.1476781	0.5197126	0.8222169	0.9518316	0.0207548	0.4342314	0.6165770	0.3684384	0.7717766	0.9470767	1.0798189	0.6541489	0.3598888	0.6330504	0.4757317	0.9549692	0.2695657	0.6236782	0.5588039	0.0024750	1.0559977	0.6207129	0.6992659	0.9096834	0.2739893	0.8322130
400	0.1024843	1.0343457	0.1070415	0.6164322	1.0897538	0.0206706	0.9500798	0.6407494	1.0717138	1.0111554	0.1694932	1.0341597	0.2174138	0.3582792	0.4628566	0.7008869	0.0502394	0.4740727	1.0313654	1.0249682	0.8645405	0.5186960	0.9555968	0.0392464	0.2065382	0.5464431	0.9107960	0.9435300	0.0359036	0.4108737	0.6592896	0.3431705	0.8206241	0.9193140	1.1294008	0.6826628	0.3463167	0.6543830	0.5164307	0.9820410	0.2619676	0.7042384	0.5002851	0.0004642	1.0355555	0.5390082	0.7140971	1.0676117	0.2632095	0.8466079
