YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.1094395	1.0040546	0.1676930	1.0180937	0.9729420	0.0000000	1.0331064	0.2853037	0.4897614	0.0000000	0.9229028	0.9561459	1.1595309	0.6779189	0.0252457	0.3777093	0.0504382	0.0309934	0.5178790	1.0173907	0.4618635	0.2476371	1.0627461	0.0620084	1.0740272	0.9249486	0.9077968	0.9392873	0.0308023	0.9663518	0.0649486	0.0492051	0.7005983	0.3887457	1.0052306	0.3129156	0.9035074	0.5557280	0.5184634	1.0591365	0.7181747	0.7471661	0.3785186	1.0149466	0.9524650	0.9149746	0.8081335	0.9260889	0.3633174	0.8822122
0.0000000	1.1433524	0.2019656	1.0868741	0.9655765	0.0000000	0.9996184	0.6724999	1.0434065	0.9757026	1.0535821	1.0451311	1.1098882	0.4486346	0.0247429	0.5917195	0.0398167	0.4809088	1.0006847	1.0675270	0.9037848	0.6927078	1.0093132	0.0400283	1.0419555	1.1203959	0.9432082	0.9050850	0.0303552	0.3822004	0.0822906	0.2918092	0.7430541	0.5300515	1.0642533	0.7211880	0.9827902	0.5874232	0.4634825	1.0274745	0.3840485	0.7538502	0.8173841	0.0646897	0.9171437	0.6658164	0.7853051	0.9693247	0.0035141	1.0602888
0.1366524	1.0670524	0.2620773	0.0000000	0.0000000	0.0725763	1.0313930	0.6034711	0.9774263	0.8844301	0.5312891	0.0317303	1.0604770	0.7058065	0.7913466	0.7755101	0.1077749	0.4748243	1.0608445	0.9661397	0.8840742	0.6698136	0.9587573	0.0908683	0.1522218	1.0013554	0.9729455	1.0519149	0.0512194	0.3212384	0.0123901	0.2608281	0.5477217	0.8873704	0.0502194	0.6629512	0.8987796	0.6035791	0.4330417	0.9654076	0.4854953	0.0014667	0.8987315	1.0088408	0.9701337	0.4213942	0.2423761	0.0841881	0.4079143	0.8565793
0.0700833	1.0016514	0.0000000	0.9382726	0.9856317	0.0000000	0.9598815	0.7000630	0.9625821	1.0299978	0.9594508	0.9817122	1.0282255	0.4072205	0.0261824	0.7555419	0.0438411	0.3970749	1.1049231	1.0997372	1.0116241	0.6878707	0.9978920	0.0560249	1.0296545	1.0122989	0.8846367	0.9504269	0.0249314	0.4507847	0.0706383	0.3444383	1.0329774	0.4514149	0.9929663	0.7292042	1.0361784	0.5612300	0.5274934	0.9938700	0.4019415	0.7968182	0.8591724	0.0469354	1.0344999	0.5541993	0.8030356	0.9306736	0.3737786	0.9443950
0.0881829	0.9410697	0.0000000	1.0684916	0.9985513	0.1681460	1.0901109	0.3766674	0.4537723	0.0000000	0.5209302	1.0872178	0.8185783	0.5762165	0.0299721	0.5018970	0.0503970	0.0362828	0.5177398	0.8282400	0.4342525	0.1936350	0.9971897	0.0760818	0.8787383	1.1223183	0.8968376	0.8288631	0.0793619	1.0089192	0.0718242	0.0688706	1.1393522	0.8747887	1.0335992	0.4218144	1.0078675	0.6615252	0.5370146	1.1361183	0.5982590	0.6721560	0.4469532	0.8732432	0.8085900	1.0452499	0.8303464	0.9633896	0.4053895	0.8425946
1.0201188	0.0000000	0.1177312	1.0321314	0.0000000	0.7176853	0.7161440	0.8967081	0.6215572	1.0782442	0.0589484	0.0475224	0.0173812	0.4539823	1.0937180	0.7037213	0.8969742	0.7266771	0.8465146	0.4244661	0.9337585	0.2562089	1.0320109	0.7956317	0.0318753	0.9328335	0.3973443	0.9549087	0.0210752	0.9666054	0.9287532	0.4646808	1.0296014	0.6906894	0.0629707	0.8194934	0.8955398	0.2454600	0.7685505	0.0674111	0.3802632	0.5655614	0.4809160	0.9434798	0.0083920	0.6587525	0.6190962	0.7522069	0.8826010	0.3701808
0.0000000	0.8854462	0.1150047	0.9600041	0.8652137	0.0058961	1.0272186	0.0000000	0.9922216	1.1084762	1.0224866	0.9138688	1.0540649	0.6230678	0.0589733	0.0373344	0.0602275	0.4487392	1.0985620	1.0420705	0.9368728	0.6786037	1.1308798	0.0113769	0.9179303	0.9991682	0.8179615	0.9394106	0.0329046	0.3921358	0.0804070	0.0168694	0.7904304	0.6040775	1.0374986	0.0473482	1.0652793	0.5767877	0.5140471	0.9897672	1.0508025	0.6688970	0.3143863	0.0602237	1.0085161	0.5781006	0.7628565	0.9545850	0.0146912	0.9320128
1.0735981	0.0000000	0.0000000	1.0593857	0.9689420	0.7628827	0.6256961	0.8490449	0.6186743	0.9954419	0.0359534	0.9814904	0.0337476	0.2924787	1.0504203	0.7273717	0.9574807	0.7409705	0.8517092	0.4345285	0.8838447	0.2776024	0.9529452	0.8764934	0.0367235	0.9300672	0.5093441	0.8156669	0.0324011	0.9920770	0.0891037	0.4729666	1.0995731	0.7356240	0.0507148	0.7281195	0.9788052	0.1986468	0.7091481	0.0427839	0.3715701	0.8561329	0.4765991	0.0701434	0.0223471	0.7559870	1.0118578	1.0541367	0.8690600	0.3615407
0.0451792	0.9733768	0.1340084	1.0949575	0.9365069	0.0000000	0.0000000	0.8988276	1.0169235	0.9971455	1.0168814	0.9626352	1.0049655	0.1894791	0.0312521	0.0384652	0.0377419	0.4849647	0.9999837	0.9902569	0.9464603	0.9588838	1.0524683	0.0657226	0.9665214	0.9590199	0.8680627	1.1403909	0.0291724	0.4306009	0.0608143	0.5613893	0.6964199	0.5431401	0.8495175	0.7349864	0.9724818	0.6545507	0.5510413	1.0639816	0.3340754	0.7632684	0.8861435	0.0861913	0.9324687	0.5396839	0.8199580	0.9317518	0.2766775	1.0444603
0.0712716	1.0269284	0.1589486	1.0135518	1.0181606	0.0000000	0.9802345	0.0000000	1.0244886	1.0085806	1.0242011	1.0986927	0.9686768	0.6289681	0.0189296	0.0395896	0.0288992	0.5195205	0.8209811	1.0422367	0.9667893	0.5247533	0.9903432	0.0396542	0.9152220	0.9888322	1.0711988	0.9248294	0.0186029	0.3084915	0.0719540	0.0090197	0.8007981	0.4957297	1.0026653	0.0406855	0.9195541	0.5978341	0.5465005	0.9787920	0.9593705	0.7436445	0.3420517	0.0751421	0.9491906	0.6730174	0.7182063	0.8867583	0.2976415	0.8623339
0.0763138	1.1063542	0.1621103	1.1337553	1.0346584	0.0304612	0.0000000	0.5802730	0.4454277	0.0000000	1.0355351	0.9476301	1.0125474	0.5604307	0.0449323	0.0340682	0.0136015	0.0198159	0.5655782	0.9905909	0.4425723	0.5285162	1.0404218	0.0367586	0.9509141	0.9610952	0.9082478	0.9045614	0.0242026	0.9578819	0.0887435	0.2003022	0.8020310	0.8733990	0.9200666	0.5919518	0.9574729	0.6583404	0.4514953	0.9705235	0.4136364	0.7144642	0.6287908	1.0070346	0.9241403	0.8466068	0.7674755	0.8101062	0.2681660	0.8849096
0.0000000	1.0388423	0.0000000	0.9144432	0.9621245	0.0083925	0.9692857	0.6945692	1.0232594	0.9830713	1.1375594	0.9702317	1.0221843	0.3826030	0.0362777	0.7408652	0.0438707	0.4437517	1.0204034	1.0900990	1.0186490	0.6128665	1.0107457	0.0163055	0.6869275	1.0038001	0.9332573	1.0427791	0.0202336	0.3836278	0.0926905	0.4140795	0.9405547	0.6204921	0.9489692	0.7397265	0.8917863	0.5983514	0.5970057	1.0168647	0.4355280	0.8140857	0.8394603	0.0713456	1.0114063	0.7549504	0.7974018	0.9329076	0.0061678	1.0297984
