YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0437102	1.0136678	0.1454129	0.9701819	0.9089544	0.0152288	0.9261929	0.8194348	1.0244980	1.0604921	0.9891704	1.0429515	0.9127810	0.4544422	0.1134697	0.8532672	0.0199930	0.4880253	1.0073700	1.0679539	0.9896840	0.7276219	1.0573801	0.0191954	0.5566812	0.9679426	0.9989248	0.9511936	0.0359017	0.4296622	0.0907806	0.3205470	0.7525899	0.7481037	1.0618391	0.6915304	1.1231501	0.6057573	0.5905636	0.8778934	0.3724331	0.7192775	0.8634833	0.0656478	0.9389337	0.6851587	0.8776815	0.8904168	0.1374673	0.8611915
0.1632476	0.4726136	0.1642068	1.0974401	1.1119174	0.3181176	0.9302752	0.7956587	0.8178611	1.0011628	0.4685123	1.0258767	0.1326356	0.2487579	1.0674315	0.7593972	0.7036043	0.5623779	0.9911233	0.5045030	0.9402040	0.5080999	0.9786275	0.1169643	0.0522115	0.9497835	0.7355923	1.0075997	0.0292205	0.8933288	0.0671042	0.5772915	0.7703938	0.8340335	1.1080064	0.7178152	0.9325130	0.6521919	0.5288865	1.1534926	0.3831197	0.8346409	0.8798404	0.0604384	0.6897803	0.6661751	0.9120563	0.9155632	0.4145454	0.8406240
0.0901667	1.0260098	0.0902114	0.9382311	1.1701141	0.0567425	0.9469129	0.6834073	0.9868697	0.9222475	0.8723872	1.0231253	1.0169565	0.4423469	0.3130743	0.7485196	0.0482113	0.4225863	1.0502963	1.0118480	0.9429530	0.6390493	0.9443559	0.0418693	0.3469731	1.0483571	0.8869627	0.9615559	0.0359219	0.4854009	0.0699852	0.3495455	1.0433456	0.7305063	0.9836600	0.7020804	1.0101227	0.5986425	0.5188456	0.9729527	0.3766935	0.7249895	0.7511940	0.0472329	0.9499633	0.6532722	0.7956346	0.9866696	0.3075555	0.9465279
0.1131925	1.1264482	0.3438802	0.5122898	0.9262839	0.1459356	1.0062909	0.6450602	1.0508624	1.0323743	0.5089256	0.9769199	0.9802606	0.4522181	0.9814079	0.7724656	0.1922213	0.5062176	0.9446908	0.7978908	1.0059047	0.6473008	1.0049730	0.0225199	0.0577628	0.9395646	0.8040108	0.8406650	0.0437401	0.3982578	0.1058029	0.3465327	0.5314086	0.7635524	1.1230600	0.7144493	0.8033156	0.5439264	0.3713826	1.0210150	0.3832285	0.6128511	0.7665777	0.0620609	0.8676809	0.3007376	0.8304372	0.9601004	0.3126552	0.8777992
0.0990712	0.9745331	0.0611997	0.9908303	0.4661635	0.1304278	1.0136209	0.6913285	0.9950285	1.0858430	0.5344472	1.0001220	0.9111833	0.4971829	0.9372877	0.7792777	0.3295704	0.4711233	0.9217463	0.9274286	0.9215966	0.6155346	1.0396387	0.0541256	0.0449961	1.0851944	0.8705807	0.9684665	0.0335169	0.4197996	0.2513448	0.3891238	0.8755968	0.8193876	0.9786532	0.7400124	1.1136237	0.5811781	0.4980119	0.9900186	0.3966328	0.5664488	0.8114555	0.1060645	0.7839112	0.6755451	0.5815099	0.8680299	0.3348768	0.8598210
0.0469738	1.1677891	0.1336160	1.0929858	0.9560153	0.0275231	0.9556582	0.6255905	0.8700369	1.0273485	0.7659221	1.1066081	1.0698217	0.4469772	0.5597982	0.8019816	0.0491251	0.4234755	1.0514127	0.9785583	0.8449141	0.6738545	1.0349914	0.0354412	0.2174299	1.0659857	0.9833454	0.9461116	0.0237867	0.3877997	0.1004370	0.4279887	0.7164478	0.8158759	0.9708254	0.6902152	0.9634187	0.5320427	0.5262575	1.0635275	0.4513281	0.8843385	0.9375240	0.0450622	1.0628726	0.5889775	0.8856404	0.9182876	0.2542716	1.1096231
0.0922764	0.9812591	0.1332336	1.0014399	1.0195421	0.0496863	0.5450430	0.7967038	0.9722652	0.9943103	0.7274925	0.9752418	1.0539710	0.3193401	0.7678766	0.6885991	0.0679995	0.4816831	0.9356932	1.0978791	0.9658339	0.7117329	1.0700233	0.0402852	0.1045927	1.0413797	0.9608954	1.0711673	0.0395232	0.4295817	0.0447822	0.4371192	0.8268441	0.8414009	1.0144696	0.7044535	0.9749593	0.5983296	0.5266616	1.0332696	0.3345754	0.8701776	0.8170582	0.0339399	0.9160013	0.7365501	0.8588947	1.0206622	0.3527500	1.0148328
0.1394574	1.1080526	0.1573114	1.0191725	1.0706880	0.1073591	1.0170980	0.3801577	1.1266111	1.0008673	0.5361616	0.9744847	0.9911482	0.6984390	0.8283041	0.4992912	0.0977112	0.4655484	1.0121968	0.9866748	0.9708318	0.6287828	1.0393404	0.0365409	0.0559075	0.9388373	0.8475682	1.0440132	0.0295845	0.3929622	0.1031972	0.0853652	0.7268410	0.8918410	1.0893071	0.4179151	0.9668532	0.6811405	0.5184679	1.0465639	0.6098698	0.8418527	0.4202292	0.0512962	0.8168162	0.7460231	0.8712794	0.9514199	0.3593810	1.0105176
0.1028961	1.0824292	0.1488364	0.9510317	0.9581305	0.1097075	1.0231244	0.7167924	0.5428727	1.0276961	0.7566011	0.9655495	0.9730815	0.4298344	0.3369921	0.8090274	0.0636579	0.4404690	1.0235138	0.9184098	1.0069014	0.5906201	1.0060733	0.0741058	0.3070407	1.0503396	0.8872853	0.9726116	0.0314991	0.3907506	0.0755216	0.3298999	0.6588257	0.6452835	1.0032985	0.6562248	0.9515795	0.5720668	0.5094423	0.8868028	0.4672131	0.7688895	0.7772419	0.0618086	1.0468336	0.6348022	0.8358083	0.9968567	0.3282787	0.8683217
0.0700326	1.0351428	0.1301153	0.9749266	0.9830773	0.0298126	1.0549877	0.4630153	0.7467244	0.4994766	0.8606479	0.9907458	1.0137885	0.5895325	0.5735517	0.5917132	0.0324808	0.3509359	0.8731483	1.1660436	0.6085733	0.4695997	1.1267707	0.0209014	0.2382383	0.8923568	0.9638473	1.0037802	0.0292830	0.4260480	0.0842776	0.1896398	0.7048434	0.8971584	1.0434161	0.4944024	0.9255968	0.6111251	0.4747901	1.0250548	0.4827101	0.7390299	0.5291270	0.1231248	0.9641295	0.7438600	0.8084341	0.8955007	0.2076110	1.0018876
