YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0000000	1.0006347	0.1315357	1.0415782	0.9806274	0.0215299	0.9623891	0.6644319	1.0545071	0.9300023	0.9501951	1.0602554	1.0490335	0.3735497	0.0520173	0.7569063	0.0437700	0.5155317	0.9678299	0.9608399	0.8530212	0.5916537	0.9953966	0.0265459	0.5965111	1.0328744	0.9060457	0.9536578	0.0262324	0.4103002	0.0764299	0.4047279	0.8089894	0.6835845	1.0577340	0.7290265	1.0011371	0.6487893	0.5206659	1.0163368	0.4426292	0.8272443	0.8709850	0.0814195	1.0107561	0.7008401	0.7880395	0.9145626	0.0070066	0.9588025
1.0241505	0.0000000	0.3617062	0.9485700	1.1154095	0.8075923	0.6321413	0.9081302	0.5335994	0.9870122	0.0459260	0.9982252	0.0341292	0.2254151	0.9597022	0.7785723	0.9320633	0.7744804	0.8154549	0.3090409	0.8108653	0.2478197	1.0603383	0.8327910	0.0357921	1.0757176	0.5084012	0.9676880	0.0322496	0.9965322	0.0578782	0.5163458	0.9437038	0.7256239	0.0420998	0.7760345	0.8766042	0.1655457	0.7780091	0.0394031	0.2912893	0.8681360	0.4566301	0.0552721	0.0109266	0.4493245	1.0081773	0.8800209	0.8993819	0.3260921
0.0847406	1.0425879	0.0000000	1.0222649	1.1374866	0.0330211	1.0654765	0.6791649	0.9740240	1.0504497	0.6309370	0.9693969	0.9775474	0.4627579	0.7625310	0.7981252	0.0946048	0.4987279	1.1013201	0.9991925	1.0276850	0.6976595	0.9800907	0.0652093	0.0950482	1.0034008	0.9520722	1.0219067	0.0184646	0.4405811	0.0799138	0.2856769	0.9393083	0.8788617	1.0202501	0.7008718	0.9613345	0.5364478	0.5458465	0.8932119	0.3601722	0.8228121	0.7949439	0.0719861	1.0214328	0.6607770	0.7160975	0.9187783	0.2617691	0.9797068
0.1042469	1.1068210	0.4897165	0.0000000	1.0330467	0.1352414	0.9364542	0.7209474	1.0148451	1.0325059	0.4784260	0.0421164	1.0246235	0.3784044	0.9310071	0.7200224	0.1471284	0.5338994	0.9977997	0.6715317	0.8220734	0.6404358	0.7966312	0.0527866	0.0651316	0.9521597	0.5470992	1.0417973	0.0163016	0.3322248	0.0238998	0.2626213	0.3911446	0.8107742	1.0758955	0.6444856	0.7980675	0.5939881	0.3883505	1.1118140	0.4341264	0.4518780	0.6527077	0.0595607	0.9382822	0.1494755	0.7917973	0.6920284	0.3586674	0.9013736
0.1132627	0.9900422	0.0315717	1.0819442	0.0000000	0.1541921	1.1510298	0.7637546	0.9889680	1.0161419	0.3381203	0.0233466	0.8933748	0.6666696	0.9150518	0.8489214	0.3504503	0.5127315	1.0691685	1.0777155	0.9100273	0.6161790	0.8797634	0.0737507	0.0515660	1.0396797	0.9141168	1.0139894	0.0235037	0.4420893	0.9380084	0.4412637	0.9650432	0.7978471	0.0454793	0.7279664	1.0858505	0.6336537	0.5327064	1.0012614	0.3670818	0.4945625	0.7712011	1.0317349	0.7518848	0.6883054	0.2210363	0.7625254	0.3928166	0.8858936
0.0710164	1.0411388	0.1335293	0.9784067	0.9394526	0.0000000	1.0753159	0.6603513	1.0116240	1.0166676	0.9695913	1.0244409	0.8325590	0.4721898	0.0215760	0.6846708	0.0190164	0.4989354	1.0489765	1.0200691	0.9367573	0.6269031	1.0883804	0.0291249	1.0664047	0.9800777	0.8479605	0.9454393	0.0207045	0.5000017	0.1177649	0.2813806	0.6490955	0.4427441	0.9348573	0.6786097	1.0241425	0.5471371	0.5605656	1.0415200	0.4080401	0.7607919	0.8083426	0.0422872	1.0273528	0.6626454	0.8381001	0.9081110	0.2345885	0.9146119
0.0756213	1.1281252	0.1720616	1.0224443	1.0297453	0.0378907	0.0000000	0.8780848	0.9504598	1.0137726	0.6363130	1.0102719	0.9196683	0.2287988	0.8022344	0.0373947	0.0720788	0.4027060	1.1049822	1.0402220	0.9706075	0.9762284	0.9909183	0.0286702	0.1836280	1.0576358	0.8776546	1.0126466	0.0440895	0.3695870	0.0714324	0.4816484	0.7259501	0.9151175	0.9743372	0.7781641	1.0431499	0.5969546	0.5124926	0.9916054	0.3032116	0.6917033	0.8444638	0.0774981	0.9791191	0.5727098	0.7504197	0.8902423	0.2487371	0.9930794
0.0924284	0.9823357	0.1505505	1.0132933	0.9697670	0.0712632	1.0246751	0.0000000	1.0486903	1.0697939	0.5316480	1.0395401	1.0345491	0.6747826	0.7323200	0.0446025	0.0801979	0.4800898	0.9937286	0.9956487	0.9938022	0.5316807	0.9140779	0.0540290	0.1068434	1.0376380	0.9220328	1.0078028	0.0304477	0.3910480	0.0898526	0.0034712	0.6860920	0.9231631	1.0398325	0.0293820	0.9449380	0.6027500	0.4804543	1.1347424	1.1010744	0.8156974	0.3092539	0.0646453	1.0724043	0.6568037	0.7599388	0.8749761	0.3201451	0.8864513
0.0954922	1.0530972	0.1715541	1.1660044	1.0721607	0.0594088	0.9557313	0.6670543	0.0000000	0.9265915	0.6867804	0.9690531	1.0162407	0.3520218	0.8241211	0.6719077	0.0787103	0.4695155	1.0153089	1.0022807	0.7945128	0.6330671	0.9905665	0.0457971	0.0939443	1.0010866	0.9684041	0.0336143	0.0245808	0.3773901	0.0668080	0.4663084	0.6981227	0.9096635	0.9543686	0.7193499	0.9088402	0.5508414	0.4604176	0.9931486	0.4513616	0.8537594	0.8313733	0.0583087	0.9484925	0.5888143	0.8507850	0.8734281	0.2976946	0.8183846
0.1172743	0.9684635	0.1674141	0.9867355	0.9741923	0.0599224	1.0736348	0.2808960	0.5111879	0.0000000	0.8518874	1.0905411	1.0074753	0.6696179	0.0396159	0.3605913	0.0423419	0.0228332	0.4865358	0.9827605	0.4327721	0.2063672	0.9802692	0.0322803	0.9580502	0.9493586	0.8607675	0.8891720	0.0206493	0.9472620	0.0948606	0.0555572	0.7560623	0.5809090	1.0748648	0.3001288	1.0792516	0.6411877	0.5243793	0.9987241	0.6994265	0.8593484	0.3366387	0.8527700	0.9720063	0.8555258	0.7591598	0.9741039	0.2423000	0.9795181
0.1069437	1.0786963	0.1545954	0.9505773	0.9830426	0.0738135	0.9705887	0.6888967	1.0173094	1.0056063	0.0000000	1.0121503	1.0058068	0.4838409	0.3640248	0.7842343	0.0593983	0.3945382	1.0431491	0.9573691	0.9052553	0.5873105	1.0152337	0.0469592	0.3368107	1.0365711	0.9265666	1.0824945	0.0350699	0.4162310	0.0801539	0.3536721	0.7192992	0.7297112	0.9197026	0.7371436	0.9902647	0.5684030	0.5325561	1.0285615	0.3968098	0.8402086	0.8166038	0.0478099	0.9451008	0.6562735	0.7645699	0.8936101	0.3173377	0.8974251
0.0885215	0.9516944	0.1329698	1.0400850	1.0679985	0.0690885	0.9047810	0.6165348	1.0140703	0.9221058	0.5941658	0.0000000	1.0580323	0.5203624	0.7180227	0.7333596	0.0979728	0.4575018	0.9498904	1.0487968	0.8497696	0.4926201	1.0199991	0.0531964	0.1614611	1.1016510	0.8744733	1.0548412	0.0483209	0.4404901	0.0780530	0.3629559	0.7729560	0.8698839	1.0269159	0.8096889	0.9410605	0.6081905	0.5560905	1.0722759	0.4180429	0.6934272	0.6742875	0.0951004	0.9731003	0.6845342	0.8117827	0.8135515	0.3738745	0.9142595
0.0531396	1.1258954	0.1669256	0.9588308	0.9684749	0.0908344	1.0043243	0.6908940	1.0327929	1.0405245	0.5749146	0.9955545	0.0000000	0.4303799	0.7675823	0.8152776	0.1145880	0.4229349	0.9685572	1.0255118	0.9032773	0.5518253	1.0613226	0.0688264	0.0991855	1.0553831	0.9562100	0.9532793	0.0306902	0.4601857	0.0751866	0.3153939	0.6810958	0.9248686	0.9549074	0.6738642	0.9043245	0.5704969	0.5305212	1.0518062	0.4138110	0.7534753	0.8430430	0.0802257	0.9141469	0.6241329	0.8616843	0.9100666	0.3344419	0.9821792
