YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0779686	1.0387303	0.1701167	0.8977852	1.0011127	0.2313064	0.9934678	0.8680820	0.8851024	0.6501152	0.5165531	0.9867800	0.6027164	0.2711934	1.0620443	0.7554934	0.6527387	0.6731261	1.0070407	0.6892099	0.6987351	0.4290749	0.9756238	0.1071267	0.0545976	0.9581701	0.8556125	0.9107811	0.0575712	0.2370991	0.3791329	0.4325468	0.6637820	0.8795102	1.0408921	0.9019275	0.9657370	0.6451662	0.3514243	0.9588671	0.4288192	0.7399313	0.5745285	0.0787996	0.2916262	0.6965124	0.9028689	0.9464180	0.2300157	0.8207390
0.1150674	0.8585584	0.3020311	0.6322344	0.8795577	0.0827915	0.9804791	0.9513589	0.7321545	0.8976022	0.4522992	0.9920885	1.0653480	0.2507769	0.7762080	0.7280295	0.1382058	0.6767644	0.9538207	0.7123094	0.9314059	0.4080796	0.8838388	0.1548807	0.0621221	0.8092044	0.8639355	0.8948477	0.0032443	0.5085630	0.0939035	0.6042252	0.4317839	0.7043558	0.9495804	0.7786979	0.7981643	0.2110417	0.6716942	0.9973653	0.1937004	0.6797469	0.6491793	0.1075033	0.7489154	0.3973469	0.3705151	0.8518746	0.2916372	0.4911180
0.1319755	0.6116717	0.3266297	0.9619170	1.0019741	0.2193215	1.0250924	0.8770867	0.7386263	0.9632222	0.3420980	0.9795485	0.2504061	0.2594398	0.9496350	0.7756756	0.6616509	0.5253843	1.0318230	0.1996606	1.0184269	0.6976877	0.4592661	0.0417336	0.0392467	0.8038400	0.7523964	0.9081771	0.0766938	0.7482032	0.1318251	0.5692778	0.5632418	0.9253696	0.8673321	0.8077005	0.8651407	0.5836571	0.2198581	1.0228589	0.3878298	0.9479729	0.6916012	0.0576485	0.6312091	0.3634566	0.9451736	0.9837029	0.3861147	0.9062118
0.0588612	0.9668470	0.2229631	0.9919887	1.0623131	0.0901100	0.9990750	0.8766460	1.0457498	0.9539655	0.4165768	1.0181576	1.0027018	0.2306278	0.8312849	0.8331053	0.8066364	0.4448612	0.6178665	0.8022656	0.4489098	0.9994462	0.8424868	0.0513330	0.0758187	0.9818767	0.8589037	0.9878234	0.0003464	0.4380086	0.3772835	0.5460030	0.5694174	0.7039873	0.9130311	0.7409490	0.8177775	0.3847848	0.5494588	1.0379992	0.3525232	0.9420843	0.6951359	0.0059396	0.9502593	0.5014739	1.0424754	0.9714613	0.3141230	0.7757693
0.0833974	0.8199095	0.3547118	0.6947766	1.0975735	0.3835525	0.8018797	0.7496342	0.6665765	0.7369377	0.0962181	0.9023114	0.1219264	0.1657256	1.0715836	0.7988633	0.7922070	0.6248965	1.0897895	0.4665153	0.5454588	0.6961591	0.9934538	0.1890127	0.0100564	1.0432012	0.9192212	0.9351971	0.0011739	0.7402922	0.4568398	0.4976478	0.3974182	0.6904806	0.9455141	0.7387898	0.6734464	0.5200745	0.6621307	0.8849365	0.3326690	0.7171409	0.5288405	0.0560641	0.0608455	0.3236079	0.7261730	0.9345662	0.3745326	0.9135716
0.1025617	1.0776335	0.5789885	0.5758485	1.0265615	0.5626991	0.8337750	0.7944505	0.6861148	0.9112466	0.4872844	0.9938846	0.0210222	0.3042872	0.9615109	0.7741351	1.0407437	0.9591119	0.7867888	0.2796278	0.8956056	0.4724853	1.0420793	0.0316442	0.0382349	0.7712830	0.4687259	0.8904220	0.0280524	0.3253353	0.0885929	0.5145504	0.3618970	1.0275904	1.0256163	0.6412900	0.6447047	0.8874342	0.3674781	1.0349772	0.1953405	0.6342050	0.8279248	0.0312752	0.5857253	0.2833170	0.9594558	0.8279359	0.2662092	0.6832790
0.0892594	1.1183231	0.5548536	0.7664536	1.0091854	0.3131606	0.8509708	0.6810415	0.5847477	0.8707133	0.4617209	1.1475318	0.2005883	0.2264339	1.0301870	0.7596410	0.8522440	0.5894917	0.7964337	0.1570733	0.8783860	0.2589631	0.9452891	0.0297002	0.0068882	0.8849369	0.6615435	0.9278224	0.0005400	0.3877593	0.1583003	0.3868377	0.3982363	0.9555762	0.9706269	0.7682578	0.6170309	0.2820518	0.2650079	1.1010287	0.3722032	0.8479843	0.8996336	0.0623288	0.3955464	0.1602324	0.7265826	0.9018698	0.6964918	0.8938045
0.1079938	1.0969712	0.2661506	0.9181041	0.9877968	0.2392154	0.8916704	0.8405427	0.9110912	0.9436334	0.4455199	0.9116449	0.7763143	0.2525553	0.9868292	0.8494169	0.3981734	0.5192478	0.5778348	0.6706735	0.8881567	0.6971477	0.8144872	0.6682807	0.0097659	0.9141591	1.0991668	1.0603788	0.3864717	0.3756228	0.0749865	0.6105740	0.6378976	0.3887931	1.0928223	0.6517791	0.9196120	0.6789531	0.5009036	0.8934149	0.4175836	0.9124905	0.6489212	0.0018134	0.6797982	0.4258566	0.6730336	0.9765445	0.3491310	0.9449711
0.1078188	0.9849336	0.2699452	0.9894380	0.9626846	0.0993252	0.5426194	0.3967685	0.9477130	0.9928876	0.3444723	1.0335642	0.7594686	0.5473583	0.7433746	0.4779083	0.3590550	0.4123081	0.9696640	0.7943021	0.9171305	0.6879930	0.5991860	0.1114047	0.0545454	0.7918564	0.9864127	1.0438397	0.2128008	0.1500681	0.2487404	0.1130178	0.5782226	0.6133906	0.8805273	0.5780609	0.9406244	0.3700311	0.4710848	1.0095555	0.3776931	0.9116407	0.5306779	0.0047977	0.4513258	0.2565093	0.9506445	0.8139302	0.3720065	0.6741699
0.0762202	0.9128738	0.0421569	0.9595688	1.0010621	0.2782372	1.0046956	0.7976636	0.8644055	1.0600897	0.4314824	1.0767971	0.4594075	0.3521644	0.9272052	0.6938710	0.5341210	0.4792291	0.4548272	0.7901794	0.9585914	0.6174412	0.9494822	0.0423695	0.0116545	0.7489818	0.8351859	0.9004813	0.1426710	0.3000366	0.3244889	0.3616547	0.9432355	0.9060198	0.9247994	0.6659058	0.9813230	0.4189887	0.5767906	1.0459620	0.3277783	0.9137658	0.8472649	0.0638575	0.6763593	0.4940690	0.9787484	0.9352455	0.5658433	0.9323434
