"Time"	YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C

0	0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.6753024	0.9912254	1.0000000	0.7428197	0.9992916	0.9998716	0.4214133	0.4958323	0.7357653	0.0504387	0.4543611	0.9765579	0.9901748	0.9152925	0.6183821	0.9993615	0.0412435	0.1775212	0.9982781	0.9174901	0.9870771	0.0254279	0.4222236	0.0836278	0.3354677	0.7310429	0.8200885	0.9999561	0.6618629	0.9538408	0.5893946	0.4963461	0.9997479	0.4061692	0.7858837	0.7768889	0.0587032	0.9758988	0.6159908	0.7810867	0.9262032	0.2988307	0.9062253
50	0.0865671	1.0000000	0.0750625	0.7454911	1.0000000	0.0452519	0.9993334	0.6752946	0.9958624	1.0000000	0.3121168	0.9991041	0.5108246	0.4214283	0.4955929	0.7357627	0.0504176	0.4543608	0.9765580	0.9926453	0.9152925	0.6183831	0.9995476	0.0412435	0.1776030	0.6546630	0.8650569	0.9870983	0.0276600	0.4222235	0.4477278	0.3354594	0.7537646	0.9378258	0.9999626	0.6618586	0.5451757	0.5893946	0.5019834	0.9997480	0.3368092	0.7738478	0.6045979	0.0266196	0.9759129	0.6255601	0.7810867	0.9849184	0.2988307	0.8855447
100	0.0865671	1.0000000	0.0714245	0.6863202	1.0000000	0.0449871	0.9993374	0.6752343	0.9971065	1.0000000	0.1822597	0.9984522	0.3161971	0.4214422	0.4939251	0.7357578	0.0502631	0.4543589	0.9765588	0.9964720	0.9152926	0.6183926	0.9997972	0.0412435	0.1782671	0.5755725	0.8514202	0.9871565	0.0282617	0.4222235	0.5406183	0.3354488	0.8057171	0.9573886	0.9999645	0.6618506	0.3986243	0.5893945	0.5124365	0.9997480	0.3120894	0.7394870	0.5559288	0.0129895	0.9760213	0.6441072	0.7810867	0.9969126	0.2988307	0.8810026
150	0.0865671	1.0000000	0.0811413	0.6725635	1.0000000	0.0448731	0.9993436	0.6751465	0.9974453	1.0000000	0.1439073	0.9977300	0.2387408	0.4214783	0.4911237	0.7357418	0.0500593	0.4543559	0.9765601	0.9983050	0.9152928	0.6184077	0.9999129	0.0412435	0.1793199	0.5573654	0.8478666	0.9872133	0.0284239	0.4222235	0.5642981	0.3354167	0.8368890	0.9603654	0.9999651	0.6618245	0.3460466	0.5893944	0.5175051	0.9997480	0.3032885	0.7078277	0.5421512	0.0071990	0.9761951	0.6552786	0.7810867	0.9993597	0.2988307	0.8800050
200	0.0865671	1.0000000	0.0881575	0.6693652	1.0000000	0.0448453	0.9993485	0.6750820	0.9975398	1.0000000	0.1329169	0.9972623	0.2079155	0.4215363	0.4886609	0.7357171	0.0499242	0.4543534	0.9765611	0.9989087	0.9152930	0.6184198	0.9999570	0.0412435	0.1801723	0.5531549	0.8469397	0.9872525	0.0284676	0.4222235	0.5703291	0.3353656	0.8429805	0.9606739	0.9999652	0.6617843	0.3267604	0.5893943	0.5182758	0.9997481	0.3001665	0.6885630	0.5382132	0.0047391	0.9763388	0.6597583	0.7810867	0.9998576	0.2988307	0.8797858
250	0.0865671	1.0000000	0.0915240	0.6686217	1.0000000	0.0448495	0.9993512	0.6750497	0.9975666	1.0000000	0.1298441	0.9970388	0.1956479	0.4215961	0.4871247	0.7356935	0.0498643	0.4543521	0.9765618	0.9989914	0.9152931	0.6184265	0.9999705	0.0412435	0.1806486	0.5521634	0.8466973	0.9872754	0.0284794	0.4222235	0.5718638	0.3353146	0.8383856	0.9606491	0.9999653	0.6617457	0.3193928	0.5893943	0.5174877	0.9997481	0.2990668	0.6789829	0.5370600	0.0036940	0.9764218	0.6607280	0.7810867	0.9999585	0.2988307	0.8797377
300	0.0865671	1.0000000	0.0928816	0.6684488	1.0000000	0.0448608	0.9993522	0.6750390	0.9975741	1.0000000	0.1289664	0.9969491	0.1907657	0.4216418	0.4863913	0.7356769	0.0498487	0.4543516	0.9765621	0.9989060	0.9152931	0.6184292	0.9999720	0.0412435	0.1808392	0.5519178	0.8466336	0.9872876	0.0284826	0.4222235	0.5722540	0.3352771	0.8325584	0.9606299	0.9999653	0.6617187	0.3164348	0.5893942	0.5165729	0.9997481	0.2986832	0.6747253	0.5367082	0.0032501	0.9764570	0.6603479	0.7810867	0.9999789	0.2988307	0.8797271
350	0.0865671	1.0000000	0.0933780	0.6684086	1.0000000	0.0448702	0.9993524	0.6750384	0.9975759	1.0000000	0.1286766	0.9969167	0.1888227	0.4216696	0.4861441	0.7356679	0.0498514	0.4543515	0.9765621	0.9988037	0.9152931	0.6184297	0.9999702	0.0412435	0.1808777	0.5518505	0.8466165	0.9872936	0.0284835	0.4222235	0.5723532	0.3352555	0.8284658	0.9606345	0.9999653	0.6617040	0.3151947	0.5893942	0.5159469	0.9997481	0.2985505	0.6729589	0.5365963	0.0030615	0.9764658	0.6597050	0.7810867	0.9999830	0.2988307	0.8797248
400	0.0865671	1.0000000	0.0935484	0.6683993	1.0000000	0.0448760	0.9993523	0.6750410	0.9975762	1.0000000	0.1285509	0.9969058	0.1880495	0.4216831	0.4861227	0.7356641	0.0498585	0.4543515	0.9765621	0.9987302	0.9152931	0.6184294	0.9999681	0.0412435	0.1808581	0.5518295	0.8466119	0.9872965	0.0284837	0.4222235	0.5723784	0.3352457	0.8261573	0.9606470	0.9999653	0.6616979	0.3146603	0.5893942	0.5156002	0.9997481	0.2985046	0.6722582	0.5365605	0.0029813	0.9764638	0.6591887	0.7810867	0.9999838	0.2988307	0.8797243
450	0.0865671	1.0000000	0.0936044	0.6683971	1.0000000	0.0448791	0.9993521	0.6750436	0.9975761	1.0000000	0.1284831	0.9969023	0.1877417	0.4216879	0.4861756	0.7356633	0.0498645	0.4543516	0.9765621	0.9986871	0.9152931	0.6184289	0.9999666	0.0412435	0.1808274	0.5518221	0.8466105	0.9872978	0.0284838	0.4222235	0.5723848	0.3352428	0.8250045	0.9606581	0.9999653	0.6616965	0.3144275	0.5893942	0.5154300	0.9997481	0.2984883	0.6719886	0.5365501	0.0029473	0.9764592	0.6588600	0.7810867	0.9999839	0.2988307	0.8797242
500	0.0865671	1.0000000	0.0936222	0.6683966	1.0000000	0.0448805	0.9993520	0.6750455	0.9975759	1.0000000	0.1284442	0.9969012	0.1876192	0.4216886	0.4862349	0.7356635	0.0498684	0.4543517	0.9765621	0.9986646	0.9152931	0.6184285	0.9999658	0.0412435	0.1808029	0.5518193	0.8466102	0.9872984	0.0284838	0.4222235	0.5723864	0.3352428	0.8244727	0.9606656	0.9999653	0.6616970	0.3143262	0.5893942	0.5153528	0.9997481	0.2984822	0.6718871	0.5365482	0.0029328	0.9764552	0.6586749	0.7810867	0.9999840	0.2988307	0.8797242
550	0.0865671	1.0000000	0.1932936	0.9229054	1.0000000	0.0450284	0.9993516	0.6750515	0.9929586	1.0000000	0.5624346	0.9976057	0.6766241	0.4216876	0.4863976	0.7356642	0.0498840	0.4543519	0.9765620	0.9968410	0.9152931	0.6184276	0.9998720	0.0412435	0.1807359	0.8957453	0.8990754	0.9872788	0.0262517	0.4222235	0.2082182	0.3352440	0.7886931	0.8418935	0.9999588	0.6616980	0.7290338	0.5893942	0.5080901	0.9997481	0.3678623	0.6907116	0.7088309	0.0350102	0.9764447	0.6496540	0.7810867	0.9412562	0.2988307	0.9004047
600	0.0865671	1.0000000	0.1823805	0.9820762	1.0000000	0.0455219	0.9993471	0.6751202	0.9917126	1.0000000	0.6920977	0.9985709	0.8712336	0.4216797	0.4882375	0.7356681	0.0500616	0.4543540	0.9765611	0.9894866	0.9152929	0.6184171	0.9992644	0.0412435	0.1799783	0.9740877	0.9125886	0.9872218	0.0256499	0.4222235	0.1153706	0.3352514	0.7275519	0.8225679	0.9999569	0.6617043	0.8669589	0.5893943	0.4938481	0.9997481	0.3925890	0.7307686	0.7574962	0.0486376	0.9763249	0.6201825	0.7810867	0.9292737	0.2988307	0.9049469
650	0.0865671	1.0000000	0.1649966	0.9958329	1.0000000	0.0457965	0.9993368	0.6752698	0.9913548	1.0000000	0.7273427	0.9990276	0.9486800	0.4216372	0.4927452	0.7356881	0.0504221	0.4543590	0.9765591	0.9845181	0.9152925	0.6183921	0.9987486	0.0412435	0.1782386	0.9918342	0.9160247	0.9871653	0.0254877	0.4222235	0.0917114	0.3352907	0.7035474	0.8205913	0.9999563	0.6617369	0.9138181	0.5893945	0.4883881	0.9997481	0.4013860	0.7593350	0.7712806	0.0544269	0.9760395	0.5999825	0.7810867	0.9268292	0.2988307	0.9059445
700	0.0865671	1.0000000	0.1557957	0.9990312	1.0000000	0.0457608	0.9993276	0.6753904	0.9912424	1.0000000	0.7352787	0.9992010	0.9794994	0.4215481	0.4971515	0.7357273	0.0506822	0.4543636	0.9765571	0.9845087	0.9152922	0.6183695	0.9987442	0.0412435	0.1767015	0.9961954	0.9169875	0.9871257	0.0254440	0.4222235	0.0856853	0.3353706	0.7053315	0.8210680	0.9999561	0.6618009	0.9331829	0.5893947	0.4895230	0.9997481	0.4044903	0.7742805	0.7752498	0.0568864	0.9757750	0.5967737	0.7810867	0.9263307	0.2988307	0.9061636
750	0.0865671	1.0000000	0.1519432	0.9997748	1.0000000	0.0456388	0.9993241	0.6754269	0.9912102	1.0000000	0.7373152	0.9992618	0.9917644	0.4214488	0.4993003	0.7357672	0.0507349	0.4543653	0.9765562	0.9863032	0.9152921	0.6183605	0.9989364	0.0412435	0.1760977	0.9974819	0.9173013	0.9871022	0.0254322	0.4222235	0.0841512	0.3354561	0.7141993	0.8212346	0.9999561	0.6618659	0.9429265	0.5893947	0.4921278	0.9997481	0.4055679	0.7811082	0.7764416	0.0579313	0.9756624	0.6012906	0.7810867	0.9262291	0.2988307	0.9062117
800	0.0865671	1.0000000	0.1504989	0.9999476	1.0000000	0.0455410	0.9993249	0.6754078	0.9912066	1.0000000	0.7387394	0.9992821	0.9966462	0.4213811	0.4994271	0.7357908	0.0506711	0.4543650	0.9765562	0.9879553	0.9152922	0.6183622	0.9991140	0.0412435	0.1762064	0.9979452	0.9174153	0.9870896	0.0254290	0.4222235	0.0837609	0.3355108	0.7217895	0.8210094	0.9999561	0.6619045	0.9482059	0.5893947	0.4941291	0.9997481	0.4059376	0.7839962	0.7768133	0.0583752	0.9756734	0.6067252	0.7810867	0.9262085	0.2988307	0.9062223
