YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0000000	1.0000000	0.2601109	0.4703663	0.0000000	0.9883912	0.9992916	1.0000000	0.6048029	0.0293366	0.2962151	0.0306177	0.0258638	0.5330422	1.0000000	0.4266643	0.1909739	1.0000000	0.0412435	0.9999999	0.9954490	0.9174901	0.9092945	0.0254275	0.9999912	0.0836278	0.0472185	0.7310430	0.4097766	0.9999561	0.2596102	0.9538410	0.5893826	0.4963458	0.9997481	0.6796002	0.7858837	0.3300250	0.9999543	0.9983964	0.9206781	0.7810867	0.9262032	0.2988307	0.9062253
0.0000000	1.0000000	0.1497449	1.0000000	1.0000000	0.0000000	1.0000000	0.6536055	0.9931312	1.0000000	1.0000000	0.9992916	1.0000000	0.4422907	0.0293385	0.7270393	0.0306177	0.4540908	0.9766976	0.9902154	0.9153088	0.6198042	0.9989690	0.0176739	0.9999994	0.9982781	0.9174901	0.9871452	0.0254275	0.4222235	0.0836278	0.3176591	0.7310430	0.5675551	0.9999561	0.6481679	0.9538410	0.5924767	0.4963458	0.9997481	0.4154237	0.7858837	0.7562511	0.0587030	1.0000000	0.6159918	0.7810867	0.9262032	0.0032618	1.0000000
0.0865671	1.0000000	0.2736933	0.0000000	0.0000000	0.0506288	0.9991374	0.6777075	0.9907115	1.0000000	0.6655964	0.0263965	0.9997823	0.7127567	0.5796457	0.7366610	0.0562862	0.4544599	0.9765154	0.9009220	0.9152856	0.6178940	0.9765410	0.0412435	0.1509814	0.9866939	0.9068838	0.9870606	0.0254280	0.4222235	0.0201755	0.3374208	0.5749892	0.8384407	0.0516296	0.6633308	0.8753927	0.5893982	0.4427580	0.9997481	0.4051814	0.0003126	0.7790463	0.9999903	0.9703772	0.4076272	0.2207798	0.0687896	0.2988307	0.9062253
0.0865671	1.0000000	0.0000000	1.0000000	1.0000000	0.0000000	1.0000000	0.6536055	0.9931312	1.0000000	0.9883912	0.9992916	1.0000000	0.4422907	0.0293385	0.7270393	0.0306177	0.4540908	0.9766976	1.0000000	0.9153088	0.6198042	1.0000000	0.0412435	0.9999994	1.0000000	0.9176242	0.9871452	0.0254275	0.4222235	0.0836278	0.3176591	0.9999994	0.4097766	0.9999561	0.6481679	0.9999998	0.5893826	0.5316016	0.9997481	0.4154237	0.7858837	0.7562511	0.0587030	0.9983964	0.6708244	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.0000000	1.0000000	1.0000000	0.0447591	0.9993560	0.2981901	0.4692006	0.0000000	0.7535170	0.9992916	0.9998857	0.6032811	0.0293407	0.3654569	0.0306178	0.0261306	0.5328375	0.9999625	0.4266448	0.1904958	1.0000000	0.0412435	0.9999993	1.0000000	0.9176242	0.9087366	0.0277352	0.9999912	0.0836278	0.0640320	0.9999998	0.8172909	0.9999561	0.3075412	0.9999999	0.5894040	0.5316018	0.9997481	0.6429929	0.7858837	0.3497665	0.9999543	0.9765715	0.9999977	0.7810867	0.9262032	0.2988307	0.9062253
1.0000000	0.0000000	0.1282868	1.0000000	0.0000000	0.7231123	0.6812689	0.8537595	0.5930542	1.0000000	0.0539350	0.0263968	0.0261526	0.4750369	0.9992393	0.7232040	0.9463564	0.7655816	0.8929645	0.4277306	0.8218058	0.2370248	0.9999968	0.8399636	0.0295872	0.9989874	0.5153691	0.9495805	0.0254911	1.0000000	0.9144819	0.4746744	1.0000000	0.6627610	0.0516295	0.7518030	0.9646055	0.1991091	0.7787523	0.0470836	0.3424799	0.4581941	0.4685804	0.9999997	0.0174184	0.6386340	0.5826494	0.7541050	0.9012195	0.3798370
0.0000000	1.0000000	0.1497449	1.0000000	1.0000000	0.0108214	0.9999778	0.0000000	0.9930509	1.0000000	0.9998400	0.9992916	1.0000000	0.6061075	0.0382617	0.0355707	0.0312260	0.4540951	0.9766935	0.9902154	0.9153086	0.6197761	0.9990082	0.0176739	0.7947297	0.9982781	0.9174901	0.9871424	0.0254275	0.4222235	0.0836278	0.0031220	0.7310430	0.6111372	0.9999561	0.0318750	0.9538410	0.5924767	0.4963458	0.9997481	0.9999932	0.7858837	0.3016243	0.0587030	0.9988906	0.6159918	0.7810867	0.9262032	0.0032618	1.0000000
0.9999998	0.0000000	0.0000000	1.0000000	1.0000000	0.7229288	0.6813981	0.8537292	0.5931582	1.0000000	0.0539354	0.9992916	0.0261545	0.2643880	0.9992387	0.7232334	0.9463265	0.7654900	0.8930001	0.4308778	0.8218617	0.2370488	1.0000000	0.8399631	0.0295874	1.0000000	0.5154091	0.9496219	0.0254910	0.9999994	0.0836278	0.4746361	1.0000000	0.6627609	0.0516309	0.7517841	1.0000000	0.1991057	0.8016848	0.0470882	0.3425005	0.7858837	0.4685623	0.0587030	0.0174269	0.6708247	0.9775230	0.9262032	0.9012190	0.3798373
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0000000	0.0000000	0.8911015	0.9931312	1.0000000	0.9883912	0.9992916	1.0000000	0.2402721	0.0293366	0.0355711	0.0306177	0.4540908	0.9766976	0.9902154	0.9153088	0.8957569	0.9989690	0.0412435	0.9999998	0.9982781	0.9174901	0.9871452	0.0254275	0.4222235	0.0836278	0.5012567	0.7310430	0.4097766	0.9999561	0.7664219	0.9538410	0.5893826	0.4963458	0.9997481	0.3314555	0.7858837	0.9088405	0.0587030	0.9983964	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0000000	1.0000000	0.0000000	0.9931312	1.0000000	0.9883912	0.9992916	1.0000000	0.6061075	0.0293385	0.0355707	0.0306177	0.4540908	0.9766976	0.9902154	0.9153088	0.6198042	0.9989690	0.0412435	0.9999994	0.9982781	0.9174901	0.9871452	0.0254275	0.4222235	0.0836278	0.0031220	0.7310430	0.4097766	0.9999561	0.0318750	0.9538410	0.5893826	0.4963458	0.9997481	0.9999932	0.7858837	0.3016243	0.0587030	0.9983964	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.0000000	0.5683086	0.4691619	0.0000000	0.7428394	0.9992916	0.9998765	0.5155775	0.0293407	0.0355711	0.0306178	0.0261423	0.5328299	0.9999594	0.4266438	0.5112495	1.0000000	0.0412435	0.9999993	0.9954490	0.9174901	0.9087180	0.0278086	0.9999912	0.0836278	0.2477485	0.7310430	0.8200870	0.9999561	0.5871854	0.9538410	0.5894649	0.4963461	0.9997481	0.4557600	0.7858837	0.6591604	0.9999543	0.9759015	0.9206782	0.7810867	0.9262032	0.2988307	0.9062253
0.0000000	1.0000000	0.0000000	1.0000000	1.0000000	0.0101347	0.9999810	0.6583921	0.9930618	1.0000000	0.9998888	0.9992916	1.0000000	0.4377300	0.0365822	0.7290535	0.0311360	0.4540944	0.9766941	1.0000000	0.9153087	0.6197807	1.0000000	0.0176739	0.8162388	1.0000000	0.9176242	0.9871428	0.0254275	0.4222235	0.0836278	0.3215915	0.9999994	0.6048671	0.9999561	0.6512477	0.9999998	0.5924770	0.5316016	0.9997481	0.4133514	0.7858837	0.7609850	0.0587030	0.9990348	0.6708244	0.7810867	0.9262032	0.0032618	1.0000000
