YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0432836	1.0000000	0.1497449	1.0000000	1.0000000	0.0116941	0.9999733	0.6591503	0.9930359	1.0000000	0.9976367	0.9992916	1.0000000	0.4370065	0.0407489	0.7293678	0.0313527	0.4540962	0.9766926	0.9902153	0.9153086	0.6197694	0.9990142	0.0229619	0.7669794	0.9982781	0.9174901	0.9871419	0.0254275	0.4222235	0.0836278	0.3222135	0.7310430	0.6088706	0.9999561	0.6517320	0.9538410	0.5919260	0.4963458	0.9997481	0.4130257	0.7858837	0.7617267	0.0587030	0.9986380	0.6159918	0.7810867	0.9262032	0.1528706	0.9563941
0.1491884	0.5000000	0.1987936	1.0000000	1.0000000	0.3596073	0.9172254	0.7815523	0.8450983	1.0000000	0.4447922	0.9992916	0.0961736	0.3210682	0.9980150	0.7568139	0.7711363	0.5408511	0.9561045	0.5049357	0.9024406	0.4040067	0.9998205	0.0910095	0.0312964	0.9954656	0.7849967	0.9801867	0.0254500	0.8924585	0.0836278	0.4204116	0.6766107	0.7318818	0.9998572	0.7197721	0.9256330	0.5824620	0.4917145	0.9968758	0.3658907	0.7858837	0.8501707	0.0587030	0.5687197	0.5473582	0.8799383	0.9262032	0.4567255	0.8360674
0.0865671	1.0000000	0.0748729	1.0000000	1.0000000	0.0448140	0.9993540	0.6750175	0.9912815	1.0000000	0.7525711	0.9992916	0.9998849	0.4217015	0.4853048	0.7356571	0.0498052	0.4543507	0.9765625	0.9994530	0.9152932	0.6184334	0.9999907	0.0412435	0.1811520	0.9998405	0.9176233	0.9870804	0.0254279	0.4222235	0.0836278	0.3352304	0.8584102	0.8175340	0.9999561	0.6616865	0.9861099	0.5893942	0.5203778	0.9997481	0.4062948	0.7858837	0.7766257	0.0587030	0.9765118	0.6647832	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.3474980	0.5000000	1.0000000	0.0584858	0.9987860	0.6812886	0.9898077	1.0000000	0.5799478	0.9910621	0.9995373	0.4156469	0.6845629	0.7379702	0.0667198	0.4546494	0.9764382	0.8138079	0.9152718	0.6169782	0.9227057	0.0412435	0.1220620	0.9710821	0.8613598	0.9870292	0.0254281	0.4222235	0.0829659	0.3403328	0.5066820	0.8576518	0.9999561	0.6655033	0.8209212	0.5894047	0.4080783	0.9997481	0.4037092	0.5899663	0.7822438	0.0587030	0.9610336	0.2815719	0.7810867	0.9259393	0.2988307	0.9062253
0.0865671	1.0000000	0.0751805	1.0000000	0.5000000	0.0448146	0.9993541	0.6750167	0.9912817	1.0000000	0.7526211	0.9981900	0.9998850	0.6357028	0.4851967	0.7356539	0.0498041	0.4543507	0.9765625	0.9994500	0.9152932	0.6184336	0.9999909	0.0412435	0.1811711	0.9998389	0.9176233	0.9870805	0.0254279	0.4222235	0.2232975	0.3352221	0.8579715	0.8175281	0.9978664	0.6616813	0.9860811	0.5893942	0.5203157	0.9997481	0.4063001	0.5209097	0.7766163	0.1074277	0.9765157	0.6648032	0.5930638	0.8610035	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0227140	0.9998712	0.6645068	0.9927184	1.0000000	0.9787399	0.9992916	0.9999967	0.4318664	0.1176770	0.7315542	0.0343261	0.4541276	0.9766721	0.9902144	0.9153071	0.6195899	0.9991138	0.0412435	0.4544497	0.9982781	0.9174901	0.9871308	0.0254276	0.4222235	0.0836278	0.3266108	0.7310430	0.6270386	0.9999561	0.6551325	0.9538410	0.5893848	0.4963458	0.9997481	0.4107315	0.7858837	0.7668913	0.0587030	0.9930733	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.4996666	0.7558179	0.9912255	1.0000000	0.7428394	0.9992916	0.9998765	0.3442097	0.4957346	0.6430101	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.6948719	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.9870786	0.0254279	0.4222235	0.0836278	0.4002562	0.7310430	0.8200870	0.9999561	0.7070032	0.9538410	0.5893968	0.4963461	0.9997481	0.3749922	0.7858837	0.8405573	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.3376510	0.9912255	1.0000000	0.7428394	0.9992916	0.9998765	0.6004116	0.4957346	0.4328748	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.6183820	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.9870786	0.0254279	0.4222235	0.0836278	0.0843723	0.7310430	0.8200870	0.9999561	0.3560383	0.9538410	0.5893857	0.4963461	0.9997481	0.6082185	0.7858837	0.3783899	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.6753020	0.4956130	1.0000000	0.7428394	0.9992916	0.9998765	0.4214379	0.4957346	0.7357613	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.6183820	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.9204927	0.0254279	0.4222235	0.0836278	0.3354547	0.7310430	0.8200870	0.9999561	0.6618563	0.9538410	0.5893946	0.4963461	0.9997481	0.4061817	0.7858837	0.7768740	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.4782370	0.7612640	0.5000000	0.7428394	0.9992916	0.9998765	0.5676926	0.4886661	0.6128709	0.0503247	0.3587499	0.8839015	0.9960597	0.5332470	0.4772212	0.9995133	0.0412435	0.1988670	0.9972472	0.9174901	0.9738599	0.0254400	0.5025092	0.0836278	0.1771605	0.7310430	0.8200870	0.9999561	0.5089001	0.9538410	0.5894039	0.4963461	0.9997481	0.5064862	0.7858837	0.5395316	0.0774775	0.9759015	0.7756584	0.7810867	0.9262032	0.2988307	0.9062253
