YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0000000	1.0000000	0.1497449	1.0000000	1.0000000	0.0108214	0.9999778	0.6587258	0.9930509	1.0000000	0.9998400	0.9992916	1.0000000	0.4374111	0.0382617	0.7291921	0.0312260	0.4540951	0.9766935	0.9902154	0.9153086	0.6197761	0.9990082	0.0176739	0.7947297	0.9982781	0.9174901	0.9871424	0.0254275	0.4222235	0.0836278	0.3218656	0.7310430	0.6111372	0.9999561	0.6514611	0.9538410	0.5924770	0.4963458	0.9997481	0.4132077	0.7858837	0.7613120	0.0587030	0.9988906	0.6159918	0.7810867	0.9262032	0.0032618	1.0000000
0.9999998	0.0000000	0.2898413	1.0000000	1.0000000	0.7263844	0.6789736	0.8542774	0.5912096	1.0000000	0.0539354	0.9992916	0.0261503	0.2640098	0.9992409	0.7226797	0.9468837	0.7672001	0.8923391	0.3579553	0.8208089	0.2365413	0.9995360	0.8399631	0.0295823	0.9839189	0.5004976	0.9491928	0.0254914	0.9999994	0.0836278	0.4750327	1.0000000	0.6627622	0.0516309	0.7520071	0.8637728	0.1991933	0.7236419	0.0470882	0.3423344	0.7858837	0.4687487	0.0587030	0.0172741	0.4730411	0.9775230	0.9262032	0.9012190	0.3798373
0.0865671	1.0000000	0.0000000	1.0000000	1.0000000	0.0447591	0.9993560	0.6749907	0.9912868	1.0000000	0.7535161	0.9992916	0.9998857	0.4217393	0.4842255	0.7356439	0.0497471	0.4543497	0.9765629	0.9999625	0.9152932	0.6184383	1.0000000	0.0412435	0.1815092	1.0000000	0.9176242	0.9870807	0.0254279	0.4222235	0.0836278	0.3352002	0.9999942	0.8172910	0.9999561	0.6616649	0.9999986	0.5893942	0.5316018	0.9997481	0.4063113	0.7858837	0.7765920	0.0587030	0.9765714	0.6708224	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.4714956	0.0000000	1.0000000	0.0842523	0.9971189	0.6925970	0.9857276	1.0000000	0.4857174	0.0263965	0.9968857	0.4046752	0.8735319	0.7419006	0.1141721	0.4556843	0.9760635	0.7098940	0.9151879	0.6122319	0.8357505	0.0412435	0.0744494	0.9280604	0.6329682	0.9868858	0.0254288	0.4222235	0.0201755	0.3495245	0.4195689	0.8863385	0.9999561	0.6722564	0.7265481	0.5894365	0.3516085	0.9997481	0.3991134	0.4561770	0.7921486	0.0587030	0.9234042	0.1504573	0.7810867	0.6205908	0.2988307	0.9062253
0.0865671	1.0000000	0.0563507	1.0000000	0.0000000	0.0447787	0.9993553	0.6749998	0.9912850	1.0000000	0.7532040	0.0263968	0.9998855	0.7167897	0.4845594	0.7356472	0.0497670	0.4543501	0.9765628	0.9998152	0.9152932	0.6184367	0.9999985	0.0412435	0.1813912	0.9999403	0.9176241	0.9870807	0.0254279	0.4222235	0.9144819	0.3352073	0.8941022	0.8173742	0.0516295	0.6616703	0.9916523	0.5893942	0.5246768	0.9997481	0.4063078	0.4581941	0.7765999	0.9999997	0.9765520	0.6685088	0.2207783	0.7541050	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0000000	1.0000000	0.6536055	0.9931312	1.0000000	0.9883912	0.9992916	1.0000000	0.4422907	0.0293385	0.7270393	0.0306177	0.4540908	0.9766976	0.9902154	0.9153088	0.6198042	0.9989690	0.0412435	0.9999994	0.9982781	0.9174901	0.9871452	0.0254275	0.4222235	0.0836278	0.3176591	0.7310430	0.4097766	0.9999561	0.6481679	0.9538410	0.5893826	0.4963458	0.9997481	0.4154237	0.7858837	0.7562511	0.0587030	0.9983964	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.0000000	0.8990192	0.9912255	1.0000000	0.7428394	0.9992916	0.9998765	0.2356237	0.4957346	0.0355711	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.8940825	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.9870786	0.0254279	0.4222235	0.0836278	0.5067568	0.7310430	0.8200870	0.9999561	0.7693691	0.9538410	0.5894005	0.4963461	0.9997481	0.3292016	0.7858837	0.9114634	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.0000000	0.9912255	1.0000000	0.7428394	0.9992916	0.9998765	0.6061073	0.4957346	0.0355707	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.6183820	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.9870786	0.0254279	0.4222235	0.0836278	0.0031221	0.7310430	0.8200870	0.9999561	0.0318750	0.9538410	0.5893826	0.4963461	0.9997481	0.9999810	0.7858837	0.3014711	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.6753020	0.0000000	1.0000000	0.7428394	0.9992916	0.9998765	0.4214379	0.4957346	0.7357613	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.6183820	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.0335814	0.0254279	0.4222235	0.0836278	0.3354547	0.7310430	0.8200870	0.9999561	0.6618563	0.9538410	0.5893946	0.4963461	0.9997481	0.4061817	0.7858837	0.7768740	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.2987437	0.4691619	0.0000000	0.7428394	0.9992916	0.9998765	0.6032514	0.0293407	0.3664395	0.0306178	0.0261423	0.5328299	0.9999594	0.4266438	0.1904758	1.0000000	0.0412435	0.9999993	0.9954490	0.9174901	0.9087180	0.0278086	0.9999912	0.0836278	0.0642971	0.7310430	0.8200870	0.9999561	0.3082321	0.9538410	0.5894049	0.4963461	0.9997481	0.6424837	0.7858837	0.3501060	0.9999543	0.9759015	0.9206782	0.7810867	0.9262032	0.2988307	0.9062253
