YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0744283	1.0000000	0.1917492	0.9204162	1.0000000	0.1928455	0.9798016	0.8336472	0.9036727	0.6207306	0.4703682	0.9993603	0.7852598	0.2787406	0.9847484	0.7420895	0.5592327	0.5564501	0.9304433	0.7363176	0.6489169	0.4874305	0.9996255	0.1069242	0.0491003	0.8824280	0.7974791	0.9498872	0.0437263	0.2975055	0.3276131	0.4568612	0.6712228	0.8930116	0.9999667	0.8406276	0.8564934	0.5681140	0.3180384	0.9997721	0.3486742	0.7645721	0.6638738	0.0679706	0.3614311	0.6620947	0.9309423	0.8574097	0.2577158	0.8789478
0.0865671	1.0000000	0.2941542	0.5905876	0.8612157	0.0422195	0.9994393	0.9207077	0.7532259	0.8571887	0.7944398	0.9676450	0.9999159	0.2597105	0.4096382	0.7596579	0.0166153	0.6709613	0.9865072	0.6564798	0.9663173	0.4348430	0.9258512	0.1373824	0.1758562	0.7984324	0.9018165	0.9394920	0.0000006	0.4276949	0.0941464	0.6449007	0.4031600	0.6504068	0.9698726	0.8182028	0.8606356	0.2203413	0.6805931	0.9532039	0.2271649	0.5930351	0.6171661	0.0650465	0.9163126	0.3332740	0.3242732	0.8443913	0.3131906	0.4984627
0.1263973	0.6108691	0.2894344	1.0000000	1.0000000	0.2756675	0.9179941	0.9400540	0.6424211	1.0000000	0.2965885	0.9728951	0.2705272	0.2139679	0.9971011	0.8085721	0.6427893	0.4725585	0.9001889	0.2296585	0.9358612	0.6852904	0.4508797	0.0522489	0.0329589	0.7574744	0.8450945	0.9254792	0.0640325	0.7963282	0.1522175	0.5313413	0.5673660	0.9677396	0.9482689	0.7519720	0.8201129	0.5419625	0.2543904	0.9514062	0.3179657	0.8638271	0.6586801	0.0587030	0.5907581	0.3178173	0.8842906	0.9879610	0.4026952	0.8609637
0.0803846	1.0000000	0.2261987	1.0000000	1.0000000	0.0545178	0.9963789	0.9393146	0.9942928	1.0000000	0.5644403	0.9995998	0.9997084	0.2143238	0.6057177	0.8123654	0.7177874	0.4286837	0.6710362	0.8011161	0.4886205	0.9296657	0.9272528	0.0295124	0.1352785	0.9929744	0.8418330	0.9951675	0.0000005	0.4222235	0.4122009	0.5308552	0.6050583	0.6059154	0.9483265	0.7875529	0.8481830	0.4203397	0.4993231	0.9998030	0.3181624	0.9083524	0.7817157	0.0026721	0.9663689	0.4980214	0.9664777	0.9999961	0.2766046	0.8005560
0.0571255	0.7421864	0.3023312	0.6205966	1.0000000	0.3269186	0.7858151	0.7516411	0.7517919	0.7583543	0.1074160	0.9962970	0.3233594	0.2055505	0.9926723	0.8116169	0.6966405	0.5670158	0.9784475	0.5056263	0.6528401	0.7190408	0.9826576	0.1657470	0.0107293	0.9771624	0.8858855	0.9800578	0.0000805	0.6640694	0.4052581	0.5205800	0.4534482	0.8165905	0.9999416	0.6730036	0.6663333	0.4746987	0.5714271	0.9521723	0.3330645	0.7444832	0.6332855	0.0627305	0.1116983	0.2974404	0.7286939	0.9999556	0.2800228	0.9404408
0.0873320	0.9877160	0.5381495	0.6301803	1.0000000	0.5832249	0.7796932	0.8207167	0.6832785	0.8752831	0.4673598	0.9982413	0.0113994	0.2887155	0.9988663	0.8039025	0.9203874	0.9301950	0.7309011	0.2651941	0.8856058	0.4953989	0.9925849	0.0240155	0.0318022	0.8404893	0.4889187	0.9316034	0.0248359	0.3035117	0.1204505	0.4471386	0.3832098	0.9560127	0.9483256	0.7059125	0.6772054	0.8896197	0.4281187	0.9526533	0.1857854	0.6538671	0.9279397	0.0602976	0.5166304	0.2533031	0.9806684	0.8573397	0.2978700	0.6327901
0.0865671	1.0000000	0.5480744	0.8128863	1.0000000	0.3414342	0.8640289	0.7293342	0.5979236	0.9675358	0.4675521	0.9987711	0.1917715	0.2325061	0.9978058	0.7188344	0.8729472	0.6139501	0.8366193	0.1730698	0.8985767	0.3081940	0.9787103	0.0235696	0.0053041	0.8907635	0.5741494	0.9170859	0.0000244	0.4231431	0.1374687	0.3761180	0.3310463	0.9911000	0.9999698	0.8150167	0.6700278	0.2784108	0.2569936	0.9998016	0.3847336	0.7819254	0.8759850	0.0590496	0.3831267	0.1020371	0.6559099	0.8573994	0.6591881	0.9062253
0.0865671	1.0000000	0.2260188	0.8989398	1.0000000	0.1761763	0.9142905	0.8052242	0.9650520	1.0000000	0.4678549	0.9993528	0.8709620	0.3010650	0.9868386	0.7634304	0.3523035	0.4412538	0.4884949	0.6753752	0.9539276	0.7216436	0.8756441	0.6508987	0.0126615	0.9929938	0.9125978	0.9903577	0.3712282	0.4222235	0.0633875	0.6439433	0.6279568	0.4619489	0.9999714	0.6989841	0.9082134	0.6089853	0.5116497	0.9997697	0.3578961	0.8715856	0.5685619	0.0034493	0.6813944	0.4984239	0.6002516	0.9562204	0.2955691	0.9062253
0.0865671	1.0000000	0.2880924	1.0000000	0.8979801	0.0416760	0.5815727	0.3791235	0.9954956	1.0000000	0.6759104	0.9992068	0.7389696	0.4709213	0.4784054	0.4045311	0.2809128	0.4284380	0.9593478	0.8842364	0.8334609	0.6878859	0.6629567	0.0825992	0.1568896	0.7158742	0.9254497	0.9856725	0.2317182	0.1275615	0.2892525	0.1055729	0.5604528	0.5857347	0.9482902	0.5366527	0.8650341	0.3757684	0.4471692	0.9526656	0.4705769	0.9076585	0.4381384	0.0049667	0.5410351	0.2609439	0.8284749	0.8482255	0.2955691	0.7343809
0.0865671	1.0000000	0.0403049	1.0000000	0.9141829	0.2037245	0.9770584	0.7837282	0.8939527	0.9840868	0.4676830	0.9992070	0.6280143	0.3467915	0.9921261	0.7306637	0.4348245	0.4467022	0.4376866	0.8069707	0.9408918	0.6287137	1.0000000	0.0235696	0.0104352	0.7856562	0.9530622	0.9493799	0.1450892	0.2621936	0.3093139	0.4189673	0.9256730	0.9076406	0.9999303	0.6889392	0.9953931	0.4471697	0.5855073	0.9998202	0.3651495	0.8565453	0.8835790	0.0605402	0.7234952	0.4176418	0.9639852	0.9368784	0.6132715	0.9062253
