"Time"	YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C

0	0.0865671	1.0000000	0.1497450	1.0000000	1.0000000	0.0454282	0.9993325	0.6753060	0.9912224	1.0000000	0.7428094	0.9992916	0.9998608	0.4213780	0.4960283	0.7357792	0.0504392	0.4543613	0.9765578	0.9901694	0.9152921	0.6183820	0.9993615	0.0412435	0.1775082	0.9982775	0.9174900	0.9870739	0.0254279	0.4222237	0.0836278	0.3355046	0.7310425	0.8200947	0.9999561	0.6618883	0.9538402	0.5893946	0.4963460	0.9997459	0.4061497	0.7858835	0.7769055	0.0587051	0.9758625	0.6159898	0.7810866	0.9262032	0.2988310	0.9062252
50	0.0865671	1.0000000	0.1158400	0.8639158	1.0000000	0.0453730	0.9993329	0.6753020	0.9932127	1.0000000	0.4124693	0.9992423	0.7547579	0.4214133	0.4958186	0.7357685	0.0504328	0.4543611	0.9765579	0.9908407	0.9152923	0.6183823	0.9994233	0.0412435	0.1775409	0.8717281	0.8941475	0.9870821	0.0264749	0.4222236	0.2400411	0.3354749	0.7379004	0.8847788	0.9999597	0.6618692	0.7579495	0.5893946	0.4980766	0.9997471	0.3698383	0.7831004	0.6721543	0.0463962	0.9758877	0.6197002	0.7810867	0.9663114	0.2988308	0.8944648
100	0.0865671	1.0000000	0.0869458	0.7443493	1.0000000	0.0451630	0.9993347	0.6752764	0.9954072	1.0000000	0.2169929	0.9988985	0.4774637	0.4214308	0.4950261	0.7357630	0.0503461	0.4543601	0.9765583	0.9935691	0.9152925	0.6183866	0.9996347	0.0412435	0.1778813	0.7248996	0.8692982	0.9871167	0.0275586	0.4222235	0.4098409	0.3354604	0.7726659	0.9348805	0.9999630	0.6618595	0.5374752	0.5893946	0.5056695	0.9997476	0.3319469	0.7655282	0.5866171	0.0293730	0.9759363	0.6348124	0.7810867	0.9908686	0.2988307	0.8849643
150	0.0865671	1.0000000	0.0806519	0.6939081	1.0000000	0.0449802	0.9993392	0.6752131	0.9966176	1.0000000	0.1543363	0.9982867	0.3198103	0.4214552	0.4930052	0.7357536	0.0501652	0.4543579	0.9765593	0.9962442	0.9152926	0.6183978	0.9998117	0.0412435	0.1787209	0.6372277	0.8561755	0.9871689	0.0281102	0.4222235	0.5018066	0.3354403	0.8123258	0.9532302	0.9999645	0.6618442	0.4143000	0.5893945	0.5131157	0.9997479	0.3123395	0.7375401	0.5528291	0.0173809	0.9760508	0.6490905	0.7810867	0.9978559	0.2988307	0.8813247
200	0.0865671	1.0000000	0.0837886	0.6763500	1.0000000	0.0448883	0.9993445	0.6751411	0.9971769	1.0000000	0.1359080	0.9976964	0.2446231	0.4215002	0.4905004	0.7357357	0.0499988	0.4543553	0.9765605	0.9978548	0.9152928	0.6184109	0.9999084	0.0412435	0.1796550	0.5923765	0.8503991	0.9872172	0.0283429	0.4222235	0.5434818	0.3354029	0.8339676	0.9587039	0.9999650	0.6618151	0.3569288	0.5893944	0.5167832	0.9997480	0.3038674	0.7116872	0.5415965	0.0103649	0.9761945	0.6569721	0.7810867	0.9995187	0.2988307	0.8801766
250	0.0865671	1.0000000	0.0879630	0.6707664	1.0000000	0.0448584	0.9993486	0.6750872	0.9974159	1.0000000	0.1306824	0.9972961	0.2114259	0.4215575	0.4884287	0.7357131	0.0499005	0.4543533	0.9765613	0.9985866	0.9152930	0.6184208	0.9999512	0.0412435	0.1803326	0.5707466	0.8480581	0.9872521	0.0284328	0.4222235	0.5609323	0.3353549	0.8387622	0.9601554	0.9999652	0.6617783	0.3321416	0.5893943	0.5175515	0.9997480	0.3004954	0.6936072	0.5380971	0.0066089	0.9763164	0.6599566	0.7810867	0.9998857	0.2988307	0.8798462
300	0.0865671	1.0000000	0.0907992	0.6690815	1.0000000	0.0448569	0.9993509	0.6750571	0.9975136	1.0000000	0.1292092	0.9970777	0.1973526	0.4216105	0.4871182	0.7356925	0.0498601	0.4543522	0.9765618	0.9988205	0.9152930	0.6184264	0.9999664	0.0412435	0.1806957	0.5605813	0.8471513	0.9872738	0.0284658	0.4222235	0.5679368	0.3353100	0.8358449	0.9605108	0.9999653	0.6617447	0.3217483	0.5893943	0.5170932	0.9997480	0.2992150	0.6828691	0.5370264	0.0047002	0.9763960	0.6604366	0.7810867	0.9999637	0.2988307	0.8797561
350	0.0865671	1.0000000	0.0923346	0.6685902	1.0000000	0.0448640	0.9993520	0.6750444	0.9975523	1.0000000	0.1287593	0.9969742	0.1915251	0.4216492	0.4864605	0.7356778	0.0498515	0.4543517	0.9765621	0.9988361	0.9152931	0.6184287	0.9999698	0.0412435	0.1808361	0.5558597	0.8468095	0.9872861	0.0284776	0.4222235	0.5706795	0.3352771	0.8315212	0.9606002	0.9999653	0.6617206	0.3174154	0.5893942	0.5164247	0.9997481	0.2987436	0.6771267	0.5366957	0.0037630	0.9764377	0.6600162	0.7810867	0.9999798	0.2988307	0.8797323
400	0.0865671	1.0000000	0.0930712	0.6684504	1.0000000	0.0448711	0.9993522	0.6750414	0.9975673	1.0000000	0.1285879	0.9969296	0.1891463	0.4216722	0.4862131	0.7356693	0.0498552	0.4543516	0.9765621	0.9987853	0.9152931	0.6184293	0.9999691	0.0412435	0.1808612	0.5536785	0.8466829	0.9872927	0.0284817	0.4222235	0.5717371	0.3352574	0.8281863	0.9606312	0.9999653	0.6617066	0.3155975	0.5893942	0.5159144	0.9997481	0.2985737	0.6742686	0.5365918	0.0033139	0.9764546	0.6594675	0.7810867	0.9999831	0.2988307	0.8797262
