YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0000000	1.0000000	0.2601117	0.4703697	0.0000018	0.9883912	0.9992916	1.0000000	0.6048018	0.0293396	0.2962481	0.0306177	0.0258647	0.5330440	0.9999999	0.4266675	0.1909761	1.0000000	0.0412435	0.9999995	0.9954494	0.9174901	0.9093447	0.0254275	0.9999818	0.0836278	0.0472285	0.7310430	0.4097766	0.9999561	0.2596353	0.9538410	0.5893826	0.4963458	0.9997481	0.6795737	0.7858837	0.3300283	0.9996192	0.9983962	0.9206761	0.7810867	0.9262032	0.2988307	0.9062253
0.0000000	1.0000000	0.1497449	1.0000000	1.0000000	0.0000000	1.0000000	0.6536059	0.9931311	1.0000000	0.9999999	0.9992916	1.0000000	0.4422862	0.0293460	0.7270414	0.0306177	0.4540908	0.9766976	0.9902154	0.9153088	0.6198042	0.9989690	0.0176739	0.9999979	0.9982781	0.9174901	0.9871452	0.0254275	0.4222235	0.0836278	0.3176639	0.7310430	0.5675551	0.9999561	0.6481713	0.9538410	0.5924766	0.4963458	0.9997481	0.4154210	0.7858837	0.7562533	0.0587030	0.9999993	0.6159918	0.7810867	0.9262032	0.0032630	1.0000000
0.0865671	1.0000000	0.2736932	0.0000000	0.0000006	0.0506287	0.9991375	0.6777068	0.9907118	1.0000000	0.6656001	0.0263970	0.9997823	0.7127621	0.5796056	0.7366595	0.0562858	0.4544598	0.9765154	0.9009283	0.9152856	0.6178941	0.9765421	0.0412435	0.1509851	0.9866966	0.9068847	0.9870606	0.0254280	0.4222235	0.0201809	0.3374170	0.5749903	0.8384387	0.0516302	0.6633281	0.8753959	0.5893982	0.4427584	0.9997481	0.4051832	0.0003179	0.7790442	0.9999100	0.9703818	0.4076325	0.2207824	0.0687896	0.2988307	0.9062253
0.0865671	1.0000000	0.0000004	1.0000000	1.0000000	0.0000000	1.0000000	0.6536059	0.9931311	1.0000000	0.9883912	0.9992916	1.0000000	0.4422862	0.0293460	0.7270414	0.0306177	0.4540908	0.9766976	0.9999999	0.9153088	0.6198042	1.0000000	0.0412435	0.9999979	0.9999999	0.9176242	0.9871452	0.0254275	0.4222235	0.0836278	0.3176639	0.9999963	0.4097767	0.9999561	0.6481713	0.9999990	0.5893826	0.5316016	0.9997481	0.4154210	0.7858837	0.7562533	0.0587030	0.9983958	0.6708240	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.0000002	1.0000000	1.0000000	0.0447591	0.9993560	0.2981907	0.4692040	0.0000018	0.7535170	0.9992916	0.9998857	0.6032797	0.0293531	0.3654823	0.0306179	0.0261315	0.5328393	0.9999625	0.4266480	0.1904979	1.0000000	0.0412435	0.9999975	0.9999999	0.9176242	0.9087872	0.0277352	0.9999818	0.0836278	0.0640414	0.9999988	0.8172909	0.9999561	0.3075612	0.9999996	0.5894040	0.5316018	0.9997481	0.6429728	0.7858837	0.3497701	0.9996192	0.9765714	0.9999953	0.7810867	0.9262032	0.2988307	0.9062253
1.0000000	0.0000000	0.1282868	1.0000000	0.0000000	0.7231123	0.6812690	0.8537591	0.5930547	1.0000000	0.0539350	0.0264025	0.0261528	0.4750408	0.9992392	0.7232042	0.9463564	0.7655815	0.8929645	0.4277308	0.8218061	0.2370244	0.9999968	0.8399635	0.0295872	0.9989874	0.5153691	0.9495841	0.0254911	0.9999999	0.9144817	0.4746711	1.0000000	0.6627610	0.0516295	0.7518013	0.9646055	0.1991094	0.7787523	0.0470871	0.3424814	0.4581941	0.4685798	0.9999966	0.0174190	0.6386340	0.5826494	0.7541050	0.9012194	0.3798371
0.0000000	1.0000000	0.1497449	1.0000000	1.0000000	0.0108214	0.9999778	0.0000004	0.9930509	1.0000000	0.9998399	0.9992916	1.0000000	0.6061072	0.0382800	0.0355725	0.0312260	0.4540951	0.9766935	0.9902154	0.9153086	0.6197761	0.9990083	0.0176739	0.7947174	0.9982781	0.9174901	0.9871423	0.0254275	0.4222235	0.0836278	0.0031227	0.7310430	0.6111394	0.9999561	0.0318776	0.9538410	0.5924766	0.4963458	0.9997481	0.9999759	0.7858837	0.3016244	0.0587030	0.9988889	0.6159918	0.7810867	0.9262032	0.0032630	1.0000000
0.9999997	0.0000000	0.0000000	1.0000000	1.0000000	0.7229287	0.6814014	0.8537228	0.5931673	1.0000000	0.0539357	0.9992916	0.0261584	0.2644193	0.9992376	0.7232388	0.9463265	0.7654880	0.8930010	0.4308806	0.8218665	0.2370421	1.0000000	0.8399612	0.0295874	1.0000000	0.5154094	0.9496613	0.0254910	0.9999988	0.0836278	0.4745956	1.0000000	0.6627609	0.0516372	0.7517626	0.9999999	0.1991129	0.8016835	0.0471287	0.3425177	0.7858837	0.4685539	0.0587030	0.0174370	0.6708247	0.9775228	0.9262032	0.9012171	0.3798382
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0000000	0.0000002	0.8910992	0.9931312	1.0000000	0.9883912	0.9992916	1.0000000	0.2402933	0.0293396	0.0355825	0.0306177	0.4540908	0.9766976	0.9902154	0.9153088	0.8957506	0.9989690	0.0412435	0.9999994	0.9982781	0.9174901	0.9871452	0.0254275	0.4222235	0.0836278	0.5012270	0.7310430	0.4097766	0.9999561	0.7664074	0.9538410	0.5893826	0.4963458	0.9997481	0.3314690	0.7858837	0.9088347	0.0587030	0.9983962	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0000000	1.0000000	0.0000004	0.9931311	1.0000000	0.9883912	0.9992916	1.0000000	0.6061072	0.0293460	0.0355725	0.0306177	0.4540908	0.9766976	0.9902154	0.9153088	0.6198042	0.9989690	0.0412435	0.9999979	0.9982781	0.9174901	0.9871452	0.0254275	0.4222235	0.0836278	0.0031227	0.7310430	0.4097767	0.9999561	0.0318776	0.9538410	0.5893826	0.4963458	0.9997481	0.9999759	0.7858837	0.3016244	0.0587030	0.9983958	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.0000002	0.5683064	0.4691653	0.0000018	0.7428394	0.9992916	0.9998765	0.5155961	0.0293532	0.0355810	0.0306179	0.0261432	0.5328317	0.9999593	0.4266471	0.5112441	1.0000000	0.0412435	0.9999975	0.9954494	0.9174901	0.9087686	0.0278086	0.9999818	0.0836278	0.2477227	0.7310430	0.8200870	0.9999561	0.5871623	0.9538410	0.5894649	0.4963461	0.9997481	0.4557767	0.7858837	0.6591441	0.9996192	0.9759015	0.9206761	0.7810867	0.9262032	0.2988307	0.9062253
0.0000000	1.0000000	0.0000004	1.0000000	1.0000000	0.0101347	0.9999810	0.6583925	0.9930617	1.0000000	0.9998888	0.9992916	1.0000000	0.4377245	0.0365999	0.7290560	0.0311360	0.4540944	0.9766941	0.9999999	0.9153087	0.6197807	1.0000000	0.0176739	0.8162262	0.9999999	0.9176242	0.9871427	0.0254275	0.4222235	0.0836278	0.3215973	0.9999963	0.6048692	0.9999561	0.6512518	0.9999990	0.5924770	0.5316016	0.9997481	0.4133482	0.7858837	0.7609876	0.0587030	0.9990331	0.6708240	0.7810867	0.9262032	0.0032630	1.0000000
0.0000000	1.0000000	0.1497449	1.0000000	1.0000000	0.0108214	0.9999778	0.2692381	0.4703189	0.0000018	0.9998400	0.9992916	1.0000000	0.6045202	0.0293427	0.3130449	0.0306177	0.0258692	0.5330377	0.9999999	0.4266673	0.1909670	1.0000000	0.0176739	0.9999987	0.9954494	0.9174901	0.9093204	0.0255419	0.9999818	0.0836278	0.0510006	0.7310430	0.6111376	0.9999561	0.2711703	0.9538410	0.5924772	0.4963458	0.9997481	0.6705105	0.7858837	0.3341488	0.9996192	0.9988900	0.9206761	0.7810867	0.9262032	0.0032620	1.0000000
