YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0432836	1.0000000	0.1497449	1.0000000	1.0000000	0.0116941	0.9999733	0.6591506	0.9930359	1.0000000	0.9976367	0.9992916	1.0000000	0.4370033	0.0407601	0.7293693	0.0313527	0.4540962	0.9766926	0.9902153	0.9153086	0.6197694	0.9990143	0.0229619	0.7669709	0.9982781	0.9174901	0.9871419	0.0254275	0.4222235	0.0836278	0.3222169	0.7310430	0.6088724	0.9999561	0.6517345	0.9538410	0.5919260	0.4963458	0.9997481	0.4130238	0.7858837	0.7617283	0.0587030	0.9986369	0.6159918	0.7810867	0.9262032	0.1528710	0.9563941
0.1491884	0.5000000	0.1987936	1.0000000	1.0000000	0.3596067	0.9172329	0.7815426	0.8451215	1.0000000	0.4447922	0.9992916	0.0962138	0.3211114	0.9980135	0.7568102	0.7711336	0.5408435	0.9561062	0.5049854	0.9024443	0.4040140	0.9998205	0.0910094	0.0312965	0.9954659	0.7849968	0.9802016	0.0254500	0.8924580	0.0836278	0.4203635	0.6766111	0.7318818	0.9998572	0.7197435	0.9256337	0.5824616	0.4917130	0.9968759	0.3659116	0.7858837	0.8501533	0.0587030	0.5687520	0.5473592	0.8799382	0.9262032	0.4567252	0.8360674
0.0865671	1.0000000	0.0749047	1.0000000	1.0000000	0.0448149	0.9993537	0.6750212	0.9912804	1.0000000	0.7525436	0.9992916	0.9998848	0.4216915	0.4854771	0.7356619	0.0498075	0.4543508	0.9765624	0.9994214	0.9152931	0.6184329	0.9999897	0.0412435	0.1811237	0.9998280	0.9176231	0.9870803	0.0254279	0.4222235	0.0836278	0.3352410	0.8580048	0.8175528	0.9999561	0.6616945	0.9859371	0.5893942	0.5203261	0.9997481	0.4062899	0.7858837	0.7766325	0.0587030	0.9764969	0.6646829	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.3474968	0.5000000	1.0000000	0.0584843	0.9987868	0.6812814	0.9898108	1.0000000	0.5799742	0.9910621	0.9995381	0.4156728	0.6842972	0.7379587	0.0667142	0.4546491	0.9764383	0.8138481	0.9152718	0.6169798	0.9227087	0.0412435	0.1220889	0.9711026	0.8613843	0.9870297	0.0254281	0.4222235	0.0829659	0.3403053	0.5066894	0.8576362	0.9999561	0.6654834	0.8209419	0.5894047	0.4080820	0.9997481	0.4037221	0.5899701	0.7822282	0.0587030	0.9610758	0.2815971	0.7810867	0.9259393	0.2988307	0.9062253
0.0865671	1.0000000	0.0751869	1.0000000	0.5000020	0.0448147	0.9993540	0.6750171	0.9912816	1.0000000	0.7526182	0.9981902	0.9998850	0.6356913	0.4852175	0.7356546	0.0498043	0.4543507	0.9765625	0.9994467	0.9152932	0.6184336	0.9999909	0.0412435	0.1811681	0.9998372	0.9176233	0.9870805	0.0254279	0.4222235	0.2232627	0.3352236	0.8579111	0.8175301	0.9978668	0.6616824	0.9860568	0.5893942	0.5203081	0.9997481	0.4062994	0.5209706	0.7766172	0.1073549	0.9765139	0.6647905	0.5931076	0.8610043	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0227141	0.9998711	0.6645074	0.9927183	1.0000000	0.9787394	0.9992916	0.9999967	0.4318604	0.1177237	0.7315569	0.0343261	0.4541276	0.9766721	0.9902144	0.9153071	0.6195899	0.9991138	0.0412435	0.4544390	0.9982781	0.9174901	0.9871307	0.0254276	0.4222235	0.0836278	0.3266173	0.7310430	0.6270427	0.9999561	0.6551370	0.9538410	0.5893848	0.4963458	0.9997481	0.4107280	0.7858837	0.7668943	0.0587030	0.9930701	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.4996695	0.7557977	0.9912255	1.0000000	0.7428394	0.9992916	0.9998765	0.3443556	0.4957346	0.6430014	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.6948498	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.9870786	0.0254279	0.4222235	0.0836278	0.4000996	0.7310430	0.8200870	0.9999561	0.7069075	0.9538410	0.5893968	0.4963461	0.9997481	0.3750633	0.7858837	0.8404985	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.3376529	0.9912255	1.0000000	0.7428394	0.9992916	0.9998765	0.6004039	0.4957346	0.4329483	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.6183820	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.9870786	0.0254279	0.4222235	0.0836278	0.0844070	0.7310430	0.8200870	0.9999561	0.3560996	0.9538410	0.5893857	0.4963461	0.9997481	0.6081629	0.7858837	0.3784063	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.6753020	0.4956501	1.0000000	0.7428394	0.9992916	0.9998765	0.4214379	0.4957346	0.7357613	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.6183820	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.9207808	0.0254279	0.4222235	0.0836278	0.3354547	0.7310430	0.8200870	0.9999561	0.6618563	0.9538410	0.5893946	0.4963461	0.9997481	0.4061817	0.7858837	0.7768740	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.4782519	0.7613445	0.5000023	0.7428394	0.9992916	0.9998765	0.5676456	0.4886693	0.6129801	0.0503247	0.3587603	0.8839116	0.9960589	0.5333010	0.4772336	0.9995133	0.0412435	0.1988651	0.9972477	0.9174901	0.9739258	0.0254400	0.5024877	0.0836278	0.1772607	0.7310430	0.8200870	0.9999561	0.5090178	0.9538410	0.5894040	0.4963461	0.9997481	0.5064044	0.7858837	0.5396091	0.0774568	0.9759015	0.7756464	0.7810867	0.9262032	0.2988307	0.9062253
