YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0000000	1.0000000	0.1497449	1.0000000	1.0000000	0.0108214	0.9999778	0.6587263	0.9930509	1.0000000	0.9998399	0.9992916	1.0000000	0.4374058	0.0382800	0.7291945	0.0312260	0.4540951	0.9766935	0.9902154	0.9153086	0.6197761	0.9990083	0.0176739	0.7947174	0.9982781	0.9174901	0.9871423	0.0254275	0.4222235	0.0836278	0.3218712	0.7310430	0.6111394	0.9999561	0.6514651	0.9538410	0.5924770	0.4963458	0.9997481	0.4132046	0.7858837	0.7613146	0.0587030	0.9988889	0.6159918	0.7810867	0.9262032	0.0032630	1.0000000
0.9999997	0.0000000	0.2898410	1.0000000	1.0000000	0.7263842	0.6789778	0.8542703	0.5912199	1.0000000	0.0539357	0.9992916	0.0261542	0.2640425	0.9992398	0.7226863	0.9468836	0.7671975	0.8923402	0.3579647	0.8208145	0.2365341	0.9995360	0.8399612	0.0295823	0.9839232	0.5005000	0.9492343	0.0254914	0.9999988	0.0836278	0.4749903	1.0000000	0.6627622	0.0516372	0.7519846	0.8637779	0.1992004	0.7236406	0.0471287	0.3423523	0.7858837	0.4687399	0.0587030	0.0172844	0.4730417	0.9775228	0.9262032	0.9012171	0.3798382
0.0865671	1.0000000	0.0000032	1.0000000	1.0000000	0.0447592	0.9993560	0.6749908	0.9912868	1.0000000	0.7535156	0.9992916	0.9998857	0.4217384	0.4842344	0.7356442	0.0497471	0.4543497	0.9765629	0.9999618	0.9152932	0.6184383	1.0000000	0.0412435	0.1815085	0.9999994	0.9176242	0.9870807	0.0254279	0.4222235	0.0836278	0.3352011	0.9999665	0.8172913	0.9999561	0.6616655	0.9999928	0.5893942	0.5316014	0.9997481	0.4063109	0.7858837	0.7765925	0.0587030	0.9765706	0.6708200	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.4714945	0.0000000	1.0000000	0.0842485	0.9971222	0.6925773	0.9857412	1.0000000	0.4857278	0.0263993	0.9968964	0.4047541	0.8732133	0.7418687	0.1141503	0.4556823	0.9760641	0.7099281	0.9151882	0.6122401	0.8356390	0.0412435	0.0744768	0.9281087	0.6330358	0.9868884	0.0254288	0.4222235	0.0201823	0.3494415	0.4195750	0.8863255	0.9999561	0.6721978	0.7265764	0.5894364	0.3516125	0.9997481	0.3991520	0.4561825	0.7921039	0.0587030	0.9235658	0.1504767	0.7810867	0.6205908	0.2988307	0.9062253
0.0865671	1.0000000	0.0563507	1.0000000	0.0000000	0.0447787	0.9993553	0.6749998	0.9912850	1.0000000	0.7532040	0.0264025	0.9998855	0.7167897	0.4845594	0.7356472	0.0497670	0.4543501	0.9765628	0.9998152	0.9152932	0.6184367	0.9999985	0.0412435	0.1813912	0.9999403	0.9176241	0.9870807	0.0254279	0.4222235	0.9144817	0.3352073	0.8941021	0.8173742	0.0516295	0.6616703	0.9916523	0.5893942	0.5246768	0.9997481	0.4063078	0.4581941	0.7765999	0.9999966	0.9765520	0.6685088	0.2207784	0.7541050	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0000000	1.0000000	0.6536059	0.9931311	1.0000000	0.9883912	0.9992916	1.0000000	0.4422862	0.0293460	0.7270414	0.0306177	0.4540908	0.9766976	0.9902154	0.9153088	0.6198042	0.9989690	0.0412435	0.9999979	0.9982781	0.9174901	0.9871452	0.0254275	0.4222235	0.0836278	0.3176639	0.7310430	0.4097767	0.9999561	0.6481713	0.9538410	0.5893826	0.4963458	0.9997481	0.4154210	0.7858837	0.7562533	0.0587030	0.9983958	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.0000002	0.8990170	0.9912255	1.0000000	0.7428394	0.9992916	0.9998765	0.2356437	0.4957346	0.0355825	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.8940761	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.9870786	0.0254279	0.4222235	0.0836278	0.5067282	0.7310430	0.8200870	0.9999561	0.7693552	0.9538410	0.5894005	0.4963461	0.9997481	0.3292146	0.7858837	0.9114580	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.0000013	0.9912255	1.0000000	0.7428394	0.9992916	0.9998765	0.6061065	0.4957346	0.0355766	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.6183820	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.9870786	0.0254279	0.4222235	0.0836278	0.0031244	0.7310430	0.8200870	0.9999561	0.0318831	0.9538410	0.5893826	0.4963461	0.9997481	0.9999341	0.7858837	0.3014714	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.6753020	0.0000005	1.0000000	0.7428394	0.9992916	0.9998765	0.4214379	0.4957346	0.7357613	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.6183820	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.0335989	0.0254279	0.4222235	0.0836278	0.3354547	0.7310430	0.8200870	0.9999561	0.6618563	0.9538410	0.5893946	0.4963461	0.9997481	0.4061817	0.7858837	0.7768740	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.2987442	0.4691653	0.0000018	0.7428394	0.9992916	0.9998765	0.6032500	0.0293532	0.3664647	0.0306179	0.0261432	0.5328317	0.9999593	0.4266471	0.1904779	1.0000000	0.0412435	0.9999975	0.9954494	0.9174901	0.9087686	0.0278086	0.9999818	0.0836278	0.0643064	0.7310430	0.8200870	0.9999561	0.3082519	0.9538410	0.5894049	0.4963461	0.9997481	0.6424638	0.7858837	0.3501096	0.9996192	0.9759015	0.9206761	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.6753020	0.9912255	1.0000000	0.0000024	0.9992916	0.9998765	0.4214379	0.4957346	0.7357613	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.6183820	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.9870786	0.0254279	0.4222235	0.0836278	0.3354547	0.7310430	0.8200870	0.9999561	0.6618563	0.9538410	0.5893946	0.4963461	0.9997481	0.4061817	0.7858837	0.7768740	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
0.0865671	1.0000000	0.1497449	1.0000000	1.0000000	0.0454281	0.9993329	0.6753020	0.9912255	1.0000000	0.7428394	0.0000046	0.9998765	0.4214379	0.4957346	0.7357613	0.0504384	0.4543610	0.9765579	0.9901751	0.9152925	0.6183820	0.9993615	0.0412435	0.1775286	0.9982781	0.9174901	0.9870786	0.0254279	0.4222235	0.0836278	0.3354547	0.7310430	0.8200870	0.9999561	0.6618563	0.9538410	0.5893946	0.4963461	0.9997481	0.4061817	0.7858837	0.7768740	0.0587030	0.9759015	0.6159918	0.7810867	0.9262032	0.2988307	0.9062253
