YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0744283	1.0000000	0.1917442	0.9204163	1.0000000	0.1928447	0.9798054	0.8336707	0.9037861	0.6207420	0.4703683	0.9993603	0.7853661	0.2786614	0.9847175	0.7421206	0.5592281	0.5564746	0.9304666	0.7364092	0.6491664	0.4874755	0.9996261	0.1069243	0.0490970	0.8824649	0.7974830	0.9499283	0.0437261	0.2974789	0.3276065	0.4569622	0.6712628	0.8930107	0.9999667	0.8406620	0.8565336	0.5681137	0.3180461	0.9997721	0.3486356	0.7645847	0.6639069	0.0679371	0.3615685	0.6621272	0.9309378	0.8574097	0.2577183	0.8789476
0.0865671	1.0000000	0.2941540	0.5905876	0.8612157	0.0422191	0.9994395	0.9207072	0.7532271	0.8571888	0.7944550	0.9676450	0.9999159	0.2597113	0.4095013	0.7596577	0.0166143	0.6709613	0.9865073	0.6564956	0.9663177	0.4348434	0.9258553	0.1373824	0.1758757	0.7984412	0.9018207	0.9394934	0.0000006	0.4276948	0.0941460	0.6448995	0.4031623	0.6503958	0.9698726	0.8182021	0.8606446	0.2203414	0.6805945	0.9532044	0.2271654	0.5930416	0.6171658	0.0650454	0.9163236	0.3332871	0.3242738	0.8443914	0.3131906	0.4984627
0.1263973	0.6108691	0.2894344	1.0000000	1.0000000	0.2756672	0.9179971	0.9400526	0.6424317	1.0000000	0.2965885	0.9728951	0.2705916	0.2139718	0.9971003	0.8085748	0.6427869	0.4725555	0.9001895	0.2297037	0.9358619	0.6852953	0.4508797	0.0522488	0.0329590	0.7574754	0.8450948	0.9254976	0.0640325	0.7963277	0.1522175	0.5313346	0.5673662	0.9677396	0.9482689	0.7519688	0.8201135	0.5419624	0.2543901	0.9514063	0.3179683	0.8638270	0.6586788	0.0587030	0.5907850	0.3178183	0.8842906	0.9879610	0.4026950	0.8609637
0.0803846	1.0000000	0.2261981	1.0000000	1.0000000	0.0545176	0.9963790	0.9393140	0.9942929	1.0000000	0.5644430	0.9995998	0.9997084	0.2143316	0.6057043	0.8123636	0.7177872	0.4286837	0.6710371	0.8011361	0.4886267	0.9296650	0.9272560	0.0295124	0.1352807	0.9929798	0.8418347	0.9951674	0.0000006	0.4222235	0.4121976	0.5308435	0.6050644	0.6059140	0.9483266	0.7875476	0.8481945	0.4203405	0.4993252	0.9998030	0.3181684	0.9083484	0.7817142	0.0026788	0.9663705	0.4980408	0.9664754	0.9999961	0.2766051	0.8005559
0.0571255	0.7421864	0.3023286	0.6205966	1.0000000	0.3269161	0.7858242	0.7516313	0.7518211	0.7583547	0.1074160	0.9962970	0.3234800	0.2055730	0.9926699	0.8116168	0.6966318	0.5670071	0.9784482	0.5057404	0.6528545	0.7190535	0.9826593	0.1657469	0.0107295	0.9771960	0.8859047	0.9800718	0.0000804	0.6640647	0.4052577	0.5205556	0.4534632	0.8165907	0.9999416	0.6729840	0.6663641	0.4746982	0.5714334	0.9521735	0.3330769	0.7444880	0.6332716	0.0627292	0.1117330	0.2974885	0.7286934	0.9999556	0.2800212	0.9404410
0.0873320	0.9877160	0.5381487	0.6301803	1.0000000	0.5832226	0.7797106	0.8207031	0.6833090	0.8752832	0.4673598	0.9982413	0.0114061	0.2887545	0.9988656	0.8039103	0.9203857	0.9301916	0.7309050	0.2652030	0.8856133	0.4953969	0.9925844	0.0240155	0.0318022	0.8405238	0.4889455	0.9316344	0.0248358	0.3035117	0.1204504	0.4470917	0.3832128	0.9560127	0.9483256	0.7058857	0.6772199	0.8896192	0.4281064	0.9526538	0.1857963	0.6538698	0.9279303	0.0602974	0.5166427	0.2532871	0.9806682	0.8573397	0.2978700	0.6327901
0.0865671	1.0000000	0.5480741	0.8128863	1.0000000	0.3414327	0.8640370	0.7293249	0.5979466	0.9675358	0.4675521	0.9987711	0.1918385	0.2325356	0.9978046	0.7188299	0.8729447	0.6139430	0.8366211	0.1731069	0.8985801	0.3082024	0.9787078	0.0235696	0.0053042	0.8907831	0.5741609	0.9171250	0.0000244	0.4231431	0.1374687	0.3760793	0.3310476	0.9911000	0.9999698	0.8150015	0.6700358	0.2784104	0.2569927	0.9998016	0.3847511	0.7819262	0.8759726	0.0590496	0.3831583	0.1020383	0.6559100	0.8573994	0.6591880	0.9062253
0.0865671	1.0000000	0.2260162	0.8989398	1.0000000	0.1761752	0.9142935	0.8052182	0.9650617	1.0000000	0.4678550	0.9993528	0.8710375	0.3010986	0.9868184	0.7634247	0.3522951	0.4412513	0.4884969	0.6754604	0.9539273	0.7216498	0.8756464	0.6508985	0.0126624	0.9930054	0.9126013	0.9903602	0.3712272	0.4222235	0.0633877	0.6439185	0.6279780	0.4619487	0.9999714	0.6989625	0.9082433	0.6089851	0.5116568	0.9997697	0.3579134	0.8715866	0.5685502	0.0034559	0.6814729	0.4984729	0.6002538	0.9562204	0.2955691	0.9062253
0.0865671	1.0000000	0.2880951	1.0000000	0.8979812	0.0416766	0.5815735	0.3791186	0.9954959	1.0000000	0.6759126	0.9992068	0.7389732	0.4709186	0.4783038	0.4044890	0.2809130	0.4284380	0.9593479	0.8842381	0.8334621	0.6878800	0.6629570	0.0825992	0.1568971	0.7159007	0.9254478	0.9856726	0.2317176	0.1275659	0.2892469	0.1055482	0.5604461	0.5857328	0.9482902	0.5366178	0.8650347	0.3757694	0.4471660	0.9526713	0.4706008	0.9076658	0.4381181	0.0049711	0.5410552	0.2609468	0.8284778	0.8482257	0.2955691	0.7343810
0.0865671	1.0000000	0.0403089	1.0000000	0.9141853	0.2037242	0.9770639	0.7837178	0.8939785	0.9840873	0.4676832	0.9992070	0.6281811	0.3468570	0.9920884	0.7306500	0.4348193	0.4466980	0.4376922	0.8070819	0.9408940	0.6287256	0.9999999	0.0235696	0.0104364	0.7856943	0.9530616	0.9493974	0.1450881	0.2621991	0.3093016	0.4188897	0.9256219	0.9076404	0.9999303	0.6888943	0.9953762	0.4471714	0.5855032	0.9998202	0.3651846	0.8565672	0.8835580	0.0605352	0.7236352	0.4176415	0.9639852	0.9368788	0.6132699	0.9062253
0.1320937	0.3677334	0.6192202	0.7658618	1.0000000	0.5369667	0.8113015	0.6674446	0.8396389	0.9705533	0.4525299	0.9891760	0.0096779	0.2112258	0.9989539	0.6681067	0.8956811	0.6281256	0.9159711	0.2372901	0.9093783	0.2282312	0.9897650	0.2831579	0.0043752	0.7089995	0.2163073	0.9896542	0.0000504	0.9642831	0.0632697	0.6066334	0.3026165	0.8088464	0.9998283	0.6250311	0.5603621	0.1325627	0.3852662	0.9944868	0.2893894	0.9431989	0.6749846	0.0590157	0.5174527	0.0528612	0.7606267	0.8573915	0.5913732	0.8546634
0.0460897	0.9303598	0.1028956	1.0000000	1.0000000	0.0014004	0.6634528	0.8955497	0.9931593	1.0000000	0.9975274	0.9728951	0.7719924	0.0897794	0.1192281	0.7337852	0.0000041	0.7409803	0.9392296	0.9980224	0.9483867	0.6168303	0.9998992	0.0060605	0.9965109	0.7339488	0.5017302	0.9937055	0.0000001	0.4117353	0.0634525	0.5012163	0.8078481	0.4176001	0.9483208	0.7458793	0.9758650	0.3801876	0.5983444	0.9997249	0.2535795	0.7855713	0.7306111	0.0587030	0.5464128	0.5389917	0.8528623	0.9999954	0.1983690	0.6657548
0.0867241	0.9974533	0.3136897	0.8569474	1.0000000	0.3921643	0.9002806	0.7393385	0.8712392	1.0000000	0.4675102	0.9989265	0.1138771	0.2411493	0.9690056	0.7493555	0.7750853	0.5345247	0.8423915	0.3972515	0.6931416	0.3005862	0.9976883	0.0236607	0.0058954	0.9791964	0.9553865	0.9876236	0.0000262	0.4240441	0.1389445	0.5323856	0.5361589	0.9099415	0.9483264	0.7278563	0.6265645	0.6661669	0.2908297	0.9526654	0.2853276	0.7451011	0.8047124	0.0032423	0.3067438	0.2022305	0.9372326	0.8877069	0.2960420	0.9060436
0.0457597	0.9327350	0.1716844	1.0000000	0.7253844	0.0023015	0.6210716	0.2544008	0.6494701	0.9350262	0.9975711	0.9725094	0.8188246	0.7608409	0.0000657	0.2239290	0.4080136	0.5388501	0.9744777	0.9838471	0.9999999	0.4122666	0.9776275	0.0060763	0.9393014	0.9970942	0.4765931	0.9266221	0.1361036	0.4759193	0.2862466	0.4373239	0.6990965	0.9856362	0.9480715	0.2205164	0.7293358	0.5016415	0.9028759	0.9525928	0.6853759	0.9204204	0.1746155	0.0401757	0.9998872	0.6035301	0.6140439	0.9144949	0.1587058	0.9535606
0.0865671	1.0000000	0.0907500	0.9655402	0.8790257	0.0347342	0.9996470	0.4613192	0.9921960	1.0000000	0.2265771	0.9726444	0.9999696	0.6323654	0.2730195	0.5607304	0.0103926	0.8341482	0.9818300	0.9988324	0.9301275	0.6307945	0.9999659	0.0235696	0.2191880	0.6060710	0.7902956	0.9923623	0.1536745	0.2590688	0.1352047	0.1615084	0.1638573	0.8918691	0.9999132	0.4605928	0.9805946	0.3211325	0.9845132	0.9997527	0.5062396	0.7280001	0.2153721	0.0611933	0.9854405	0.6596476	0.7213037	0.9347535	0.4438596	0.9062253
0.0865671	1.0000000	0.1159097	1.0000000	0.8239502	0.0919461	0.9964556	0.4955374	0.9723644	0.6549899	0.4788588	0.9995016	0.8975079	0.6466711	0.9113036	0.8095758	0.6928539	0.9459855	0.8365132	0.9178961	0.7563272	0.7055983	0.4245563	0.0235696	0.0253802	0.9990201	0.8933359	0.9908680	0.0000136	0.4490868	0.3737353	0.4829319	0.7852103	0.8386413	0.9999201	0.5356040	0.9702639	0.4067521	0.6566344	0.9997761	0.3608684	0.9394346	0.4309111	0.0072475	0.9105907	0.7515332	0.8833461	0.8404947	0.2955691	0.9062253
0.0921947	0.9164314	0.3906248	0.6710199	0.7350254	0.0681444	0.9982571	0.1891576	0.7382370	0.8448865	0.5208877	0.9970790	0.9988860	0.7561164	0.8813290	0.1349614	0.0515214	0.4158499	0.9697376	0.8071775	0.8631752	0.8041291	0.6510369	0.0269488	0.1006440	0.7988100	0.6496075	0.9380260	0.0000019	0.4933173	0.1082096	0.0204036	0.3353812	0.7891103	0.9480844	0.1396121	0.2691165	0.4945482	0.2865653	0.9998136	0.7343911	0.5277055	0.1902379	0.0740968	0.7691063	0.2417891	0.8027528	0.8297424	0.3418756	0.8628675
0.0442759	0.9979888	0.4040887	0.8509393	1.0000000	0.0248743	0.7196542	0.4810506	0.9962951	1.0000000	0.8078422	0.9723233	0.8733790	0.5665363	0.1921460	0.5921583	0.0046249	0.4282748	0.8865944	0.7573516	0.9225252	0.4243971	0.7459565	0.0055548	0.4093377	0.8334119	0.8131254	0.9536788	0.3170292	0.4236604	0.2461995	0.4455774	0.4633055	0.9936762	0.9999808	0.4796586	0.7777915	0.2560577	0.4342028	0.9526633	0.5048171	0.7731855	0.5483226	0.0033249	0.9242014	0.2096424	0.7897283	0.9549920	0.1532626	0.9241475
0.0865671	1.0000000	0.2564597	1.0000000	0.9108134	0.0392746	0.8827554	0.7254235	0.9947326	1.0000000	0.8403788	0.9727996	0.8362177	0.4049255	0.3562396	0.8680505	0.4239443	0.8523785	0.8203207	0.8835526	0.9252064	0.8418591	0.7688925	0.0235696	0.1859846	0.9892869	0.9161302	0.9536256	0.0000003	0.4222235	0.0750251	0.3865051	0.5262917	0.9629176	0.9482964	0.6590752	0.6361060	0.0000128	0.1949491	0.9997482	0.3862131	0.7515016	0.8457225	0.0049963	0.9817058	0.3267311	0.7593343	0.9347375	0.2955691	0.8170335
0.0875703	0.9839532	0.1462699	1.0000000	1.0000000	0.4208050	0.6340310	0.7196807	0.6378797	0.8810023	0.4673039	0.9728951	0.0869585	0.3783369	0.9983483	0.6446918	0.7996298	0.9549205	0.6970888	0.4601524	0.9840900	0.1275200	0.8965287	0.0516630	0.0170232	0.7654121	0.9999678	0.9247705	0.0540429	0.4380486	0.0634524	0.3683254	0.7154133	0.5529204	0.9483253	0.6558840	0.5899930	0.9113570	0.9684327	0.9998028	0.2982563	0.8459244	0.5980539	0.0602056	0.1534505	0.3344993	0.9796641	0.9999957	0.4187902	0.6767524
0.0435207	1.0000000	0.1160622	1.0000000	1.0000000	0.4332137	0.8489848	0.8394520	0.7976250	1.0000000	0.4505667	0.9728951	0.1477473	0.1830441	0.9987663	0.7658166	0.8096981	0.6789851	0.6332053	0.4664429	0.9287126	0.5619468	0.8253741	0.0053512	0.0045041	0.9868854	0.8480831	0.9816249	0.2103914	0.4222235	0.3290907	0.4887445	0.7311355	0.8924373	0.9483265	0.7139700	0.4626277	0.8636863	0.8988198	0.9526677	0.3469153	0.8467667	0.9252950	0.0587030	0.5479669	0.4861534	0.6966487	0.9824053	0.1504845	0.9561232
0.0901241	0.9454322	0.2257481	0.7092937	0.9737178	0.6631488	0.5703837	0.5667962	0.2759005	1.0000000	0.4666657	0.9751219	0.0318317	0.5285203	0.9913323	0.5640964	0.9445863	0.7080048	0.9111570	0.3167743	0.8595865	0.2530727	0.9230271	0.0256790	0.0296891	0.8727064	0.6798119	0.7294870	0.2324141	0.4637013	0.0707320	0.2433581	0.6086148	0.9999542	0.9999698	0.5540802	0.6332476	0.3718510	0.5385720	0.9997334	0.4426010	0.6793237	0.8405859	0.0036871	0.2630641	0.4187829	0.9059289	0.9918240	0.3061841	0.9021139
0.0865671	1.0000000	0.3897028	1.0000000	1.0000000	0.0551505	0.9989445	0.6204360	0.5709733	0.8148882	0.6114030	0.9728951	0.9996605	0.2155751	0.8544258	0.6761015	0.0367363	0.4119420	0.9007792	0.4629280	0.9664182	0.6530282	0.8694393	0.0330976	0.1318182	0.7017335	0.8798047	0.9476794	0.0580046	0.4000729	0.0634524	0.2872309	0.3095360	0.8662755	0.9999650	0.7036099	0.7888092	0.2619937	0.4331030	0.9997546	0.3144622	0.8699142	0.7617135	0.0613995	0.8209859	0.1720697	0.3760263	0.8830106	0.3101725	0.9062253
0.0753387	0.6580074	0.1625057	0.8888004	0.8280488	0.0395298	0.9995205	0.5901648	0.7587821	0.4926159	0.8396609	0.9721946	0.9999502	0.5792802	0.3548530	0.6982229	0.0141105	0.5479262	0.8418942	0.9550145	0.1536048	0.6231036	0.9991208	0.0175126	0.2396211	0.9963286	0.7541177	0.9400371	0.0000101	0.5889217	0.1140509	0.2624288	0.7158270	0.8653887	0.9786764	0.5720917	0.9469522	0.8272005	0.2642252	0.9517642	0.4447633	0.6783839	0.3846334	0.1019009	0.7474131	0.7491086	0.5431697	0.8409411	0.4664327	0.9192563
0.0865671	1.0000000	0.0382403	1.0000000	0.6597397	0.6312416	0.6893768	0.7214291	0.4815661	1.0000000	0.4675446	0.9723596	0.0339494	0.5114196	0.9993162	0.6801201	0.8972041	0.8827846	0.9647316	0.4338009	0.8276455	0.3826565	0.7335700	0.1681242	0.0036800	0.9999841	0.9427985	0.8810699	0.0000539	0.3382243	0.1308622	0.3696922	0.9297627	0.8638560	0.9995905	0.7561935	0.9958045	0.7879207	0.5456001	0.9998434	0.3877861	0.6104899	0.8270581	0.0164368	0.4870021	0.6701827	0.7497852	0.9699954	0.3440603	0.9062253
0.0483114	1.0000000	0.4220134	1.0000000	0.7387535	0.0293291	0.9997636	0.5366751	0.9930904	1.0000000	0.8174571	0.9993079	0.9999941	0.5939121	0.4210382	0.6258104	0.2167096	0.4283039	0.9807939	0.6988673	0.9207467	0.6921412	0.7189339	0.0067123	0.1786873	0.8802393	0.6765780	0.9876189	0.0000002	0.4222235	0.1081440	0.2191974	0.3729494	0.8690417	0.9999068	0.5295048	0.7640705	0.5940889	0.3440569	0.9796939	0.4725487	0.7152640	0.6911631	0.0116039	0.8749283	0.1913599	0.8170267	0.8302872	0.1680097	0.8366443
