"Time"	YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C

0	0.0846582	0.6891491	0.0873206	0.5752491	0.7959494	0.0352482	0.6166255	0.7297552	0.5255956	0.7940571	0.3994128	0.5882405	0.6324504	0.2570231	0.3737484	0.6236829	0.0482599	0.3165223	0.7008456	0.6890557	0.6346869	0.4312348	0.6549436	0.0592138	0.1272813	0.7425219	0.7467137	0.7740506	0.0421890	0.2424977	0.0592657	0.2978223	0.3662240	0.5796295	0.8333784	0.4876027	0.7329407	0.4828651	0.4233609	0.6757491	0.2458071	0.4936065	0.5894151	0.0547359	0.7001005	0.4626980	0.5765026	0.5024577	0.3005085	0.7728220
50	0.0254694	0.7427065	0.0968849	0.7010293	0.6807750	0.0573722	0.6943797	0.4434904	0.7421459	0.6626628	0.1980438	0.6590735	0.4486356	0.2191238	0.4886410	0.4863609	0.0378139	0.3231884	0.7565704	0.8553189	0.5145958	0.4080061	0.7346645	0.0358096	0.0954883	0.5372872	0.7248248	0.5370323	0.0423170	0.2704988	0.1209787	0.2653199	0.5680835	0.6388179	0.6022641	0.5267718	0.5515878	0.4131641	0.2661626	0.6871475	0.2129125	0.6021629	0.3915973	0.0337703	0.7274924	0.4088962	0.6736800	0.6732275	0.2224331	0.6177673
100	0.0314816	0.8391202	0.1150171	0.4389005	0.7862979	0.0134653	0.6385941	0.5510771	0.6563678	0.6928958	0.1110847	0.7174404	0.3391761	0.3508747	0.4946620	0.4773496	0.0471998	0.2495332	0.6543870	0.6358453	0.5593001	0.4797997	0.6628304	0.0249510	0.1118965	0.5632591	0.6719096	0.6198950	0.0227683	0.3038670	0.2891628	0.1837221	0.5857748	0.7010347	0.7272564	0.4932660	0.3299587	0.4336971	0.4337069	0.5299273	0.1803975	0.5449979	0.3575519	0.0237725	0.7385557	0.5110827	0.5328148	0.7215375	0.1809197	0.6543875
150	0.0758890	0.7554177	0.0738426	0.4711501	0.6990091	0.0500479	0.6944721	0.4682784	0.7302461	0.6239780	0.1325797	0.6160041	0.2230915	0.3047616	0.3436652	0.5630909	0.0220671	0.3501788	0.8500664	0.6789386	0.5282526	0.4897959	0.7332152	0.0382836	0.1269673	0.4374085	0.5883722	0.7682787	0.0191040	0.3531675	0.3430907	0.1607699	0.4642605	0.5969961	0.7444215	0.4629940	0.3815377	0.4006374	0.4045077	0.7064122	0.1937506	0.4208042	0.4139336	0.0132500	0.6907462	0.4810387	0.5607448	0.7671105	0.1606682	0.5604150
200	0.0467200	0.6904679	0.0701289	0.3856107	0.7544245	0.0324098	0.7269317	0.4543693	0.6883906	0.6009684	0.1347746	0.6799611	0.2733757	0.2839416	0.3033816	0.4779618	0.0888644	0.4515306	0.5969668	0.8101584	0.6375844	0.3218266	0.6096626	0.0388917	0.1708217	0.4291116	0.6302657	0.6461683	0.0165510	0.2995425	0.2712533	0.1848084	0.7031047	0.6231237	0.6693530	0.4903004	0.2488014	0.4334393	0.2922828	0.6942146	0.2330206	0.3224030	0.3195561	0.0046815	0.7043396	0.6139241	0.5088743	0.7340590	0.2056515	0.7282871
250	0.0546616	0.7563071	0.1205427	0.4442452	0.7455543	0.0368569	0.5985714	0.4895373	0.7154385	0.6924559	0.0950745	0.6081634	0.1173300	0.3379005	0.4198991	0.6130073	0.0954239	0.2856469	0.5845947	0.7285146	0.5769234	0.4089834	0.7082095	0.0252710	0.1235461	0.3923777	0.6001095	0.7313003	0.0280280	0.2529704	0.3906729	0.2296188	0.5684209	0.6504001	0.6640737	0.7070101	0.2692109	0.4345211	0.3051753	0.7668921	0.2726738	0.4604418	0.3538741	0.0006656	0.6049185	0.5119391	0.5157890	0.6074542	0.2434261	0.6725439
300	0.0614911	0.7828787	0.0951374	0.3731275	0.7253307	0.0895874	0.8761347	0.5172707	0.7528706	0.6220406	0.0658863	0.6899183	0.1052957	0.3506386	0.4731886	0.4838345	0.0670093	0.3800389	0.6847977	0.6868869	0.5727087	0.3688534	0.6609119	0.0292737	0.0869103	0.4026630	0.6962967	0.7893393	0.0217912	0.3922659	0.4670882	0.2774693	0.7048352	0.6144349	0.6232843	0.3641193	0.2159895	0.4820391	0.3266291	0.6307753	0.2248041	0.4469542	0.4700714	0.0002702	0.6367505	0.5030610	0.5095962	0.6981598	0.1564353	0.5585404
350	0.0495330	0.6656863	0.0575193	0.4053864	0.7089874	0.0367601	0.8211581	0.4937612	0.7973847	0.8066167	0.1083149	0.6687908	0.1574818	0.2738500	0.4116454	0.4704424	0.0433995	0.2765930	0.5852778	0.7065172	0.6214781	0.4137764	0.5829068	0.0303516	0.1142707	0.4372325	0.5303257	0.6760446	0.0278260	0.3211301	0.5464838	0.2810913	0.5630858	0.6582263	0.7041060	0.4351744	0.2443634	0.4061066	0.3346255	0.7624794	0.1649189	0.4697314	0.3957277	0.0038827	0.7850852	0.4370802	0.4927251	0.6070137	0.1728751	0.6499347
400	0.0579432	0.7035185	0.0919899	0.3732890	0.6839985	0.0075424	0.7740787	0.3850779	0.7581605	0.8081575	0.1144503	0.7877500	0.1370109	0.1867482	0.2665206	0.4150199	0.0261114	0.3660128	0.7240375	0.7892876	0.6804508	0.3329630	0.7033882	0.0188847	0.1401267	0.4875259	0.6099683	0.6940171	0.0243711	0.2422972	0.5032124	0.1993565	0.6398457	0.7052350	0.7561071	0.5018769	0.2438118	0.4464999	0.3960637	0.7192561	0.1959903	0.4244373	0.4267387	0.0002176	0.7272700	0.3660143	0.4421341	0.8086328	0.1848471	0.5960710
