YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0640804	0.6957199	0.1834550	0.6711750	0.7111629	0.0000000	0.6727147	0.1937673	0.4425373	0.0000000	0.7164616	0.6553095	0.8601123	0.5067893	0.0183462	0.2449574	0.0249933	0.0271314	0.3708966	0.8749238	0.2729056	0.1999305	0.7668566	0.0449084	0.8425735	0.6263890	0.5711177	0.6548342	0.0336783	0.7015565	0.0325741	0.0297717	0.4952802	0.2984705	0.6966851	0.2359409	0.6212165	0.4116182	0.3912684	0.7828166	0.5537889	0.6607397	0.1942672	0.6643145	0.6419263	0.6225279	0.6438552	0.6171329	0.3069041	0.6439244
0.0000000	0.7424759	0.1423394	0.7957400	0.6417164	0.0000000	0.7758797	0.5285687	0.7731476	0.7007369	0.8462648	0.7048603	0.7559222	0.3477251	0.0157020	0.4182086	0.0104878	0.3559508	0.7175365	0.7974586	0.6864308	0.3888662	0.6988038	0.0500580	0.8188011	0.7956947	0.6546876	0.6282350	0.0181579	0.2981882	0.0826561	0.1958908	0.5116036	0.3335429	0.8141425	0.4528086	0.7202401	0.4842339	0.3149406	0.7917973	0.2607575	0.5059344	0.6547946	0.0577392	0.7531776	0.5245339	0.4665443	0.7657123	0.0036842	0.7863174
0.0849974	0.6673296	0.1614419	0.0000000	0.0000000	0.0636344	0.7248760	0.4076279	0.7807579	0.5323269	0.4903782	0.0319009	0.8120493	0.4173768	0.5646649	0.6581960	0.0463281	0.3374211	0.8853312	0.5973644	0.5959200	0.4400123	0.6899055	0.0818933	0.0917909	0.7010565	0.7042559	0.7345731	0.0390475	0.2139917	0.0210208	0.1802676	0.4211358	0.6143480	0.0304661	0.4479839	0.6505245	0.4678812	0.2626552	0.8169489	0.3738965	0.0006261	0.7355238	0.6320508	0.7468609	0.2730490	0.1811698	0.0898527	0.3131878	0.5567581
0.0397971	0.7169653	0.0000000	0.6891375	0.8522914	0.0000000	0.7785858	0.4743624	0.5912489	0.8530598	0.6103929	0.7023625	0.8472393	0.2270938	0.0348874	0.4668003	0.0273345	0.2711484	0.8786584	0.6921938	0.6883291	0.5278764	0.7645005	0.0711623	0.8023481	0.6345507	0.7473363	0.7042055	0.0093415	0.2784102	0.0749447	0.2476034	0.7388838	0.2787290	0.7599090	0.4353176	0.7752734	0.3984851	0.4084098	0.6962185	0.2536825	0.5040465	0.5711443	0.0230366	0.7578466	0.3780457	0.5141856	0.6010860	0.2966795	0.6627305
0.0621367	0.7420358	0.0000000	0.7912679	0.6474884	0.1308348	0.7326514	0.2455219	0.2695030	0.0000000	0.3606672	0.7590520	0.5997138	0.3982497	0.0200496	0.3056420	0.0313461	0.0174346	0.3382168	0.6231319	0.3491800	0.1176817	0.6169834	0.0374582	0.5716583	0.7451583	0.6852972	0.5031125	0.0611545	0.7067939	0.0455232	0.0518664	0.8216020	0.6198792	0.7173035	0.2925354	0.6516913	0.4707716	0.3895363	0.7851897	0.3133937	0.4839453	0.2604101	0.7721389	0.5374748	0.8477938	0.6422646	0.6720162	0.2790390	0.5674456
0.6319793	0.0000000	0.0797931	0.7367365	0.0000000	0.4987316	0.5657035	0.7522025	0.4115458	0.7883104	0.0517478	0.0536038	0.0150455	0.3366367	0.9037384	0.4528513	0.7371065	0.5456380	0.5508799	0.3776675	0.6920549	0.1963548	0.6941272	0.5358540	0.0451035	0.7279486	0.2281818	0.7405586	0.0148427	0.6849098	0.7097563	0.3093027	0.6410109	0.5030640	0.0236317	0.5672936	0.6381090	0.1791678	0.5840173	0.0550174	0.2741040	0.3586755	0.3360568	0.6881907	0.0075887	0.4724055	0.4835770	0.5462676	0.6089974	0.2651170
0.0000000	0.6628847	0.1103921	0.8129599	0.6306521	0.0051791	0.6488819	0.0000000	0.7161695	0.7406219	0.6389047	0.6477426	0.7919276	0.4281221	0.0395490	0.0344050	0.0688728	0.3408073	0.7490246	0.7010787	0.6475474	0.4961390	0.6875826	0.0142110	0.6327469	0.7218341	0.7538082	0.6924439	0.0306441	0.2617536	0.0384736	0.0131923	0.5349013	0.4491537	0.8203931	0.0372309	0.7914875	0.4237549	0.4302424	0.7195198	0.6822208	0.6016192	0.3298363	0.0593506	0.6438728	0.3492996	0.5926520	0.7383013	0.0170396	0.6456871
0.7951081	0.0000000	0.0000000	0.6479117	0.6410405	0.5789536	0.4676357	0.7132867	0.4418388	0.7450855	0.0240192	0.6857049	0.0171088	0.1536377	0.7283774	0.4827408	0.6444787	0.4932530	0.5783977	0.3387378	0.5893990	0.1507526	0.7134434	0.6208673	0.0281365	0.7115848	0.3528585	0.5295010	0.0295556	0.7393404	0.0516711	0.3846271	0.7925169	0.5521401	0.0388381	0.5281848	0.6630505	0.1612211	0.4210157	0.0375310	0.2829184	0.6231687	0.4375676	0.0590634	0.0483777	0.5062788	0.6924601	0.7896368	0.5605003	0.2850672
0.0480297	0.6726838	0.0794497	0.9004333	0.7843391	0.0000000	0.0000000	0.7526446	0.7298457	0.7245163	0.7834272	0.6890070	0.7284250	0.1359214	0.0429251	0.0299244	0.0412780	0.3450157	0.6999368	0.6538448	0.6745401	0.6631059	0.7792538	0.0526831	0.7142459	0.6698725	0.5578899	0.7923129	0.0441458	0.3347344	0.0703275	0.4052908	0.4824503	0.3941517	0.7323927	0.6595210	0.8032898	0.4107421	0.4112298	0.7214049	0.3088841	0.5823269	0.6234014	0.0573464	0.6203384	0.3653252	0.6162776	0.6676269	0.2069718	0.7610012
0.0486387	0.7211511	0.0972015	0.8652520	0.7746588	0.0000000	0.7030572	0.0000000	0.7499578	0.7259198	0.6997338	0.8576035	0.6949843	0.4807514	0.0071141	0.0302182	0.0151537	0.3471014	0.5088248	0.7379814	0.7074689	0.3531636	0.8791589	0.0140084	0.5417313	0.5722825	0.7701408	0.5927287	0.0074542	0.2160262	0.0768435	0.0058140	0.5800636	0.3917462	0.7650186	0.0204847	0.6275623	0.3831003	0.3258764	0.7857136	0.6407407	0.4163792	0.2004920	0.0361144	0.7699504	0.5561732	0.5900565	0.5873166	0.1943495	0.5809255
