YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0285693	0.7353328	0.1101720	0.5853449	0.6359286	0.0096918	0.7456389	0.5153509	0.7325363	0.7688727	0.8213743	0.7353728	0.5627277	0.3343157	0.0873308	0.5735093	0.0208144	0.3724825	0.6687436	0.7660867	0.8011002	0.5184888	0.6591646	0.0143345	0.3986836	0.7523307	0.6527436	0.7686128	0.0231232	0.2941441	0.0583454	0.1788444	0.6028895	0.5381739	0.7764945	0.4986459	0.6989082	0.4553034	0.5243846	0.6300068	0.2185289	0.6050949	0.5752118	0.0388218	0.6202311	0.5405772	0.6562303	0.6688946	0.0954834	0.6935471
0.0949612	0.2926989	0.1192331	0.8579594	0.7897332	0.2505875	0.7763554	0.5220408	0.5770179	0.6950912	0.4031611	0.8126161	0.0829845	0.2302289	0.6280299	0.5503040	0.5403052	0.4005313	0.7081605	0.4203624	0.5853377	0.3593798	0.6161237	0.0873141	0.0200335	0.7289103	0.5275468	0.7305375	0.0146179	0.6435084	0.0386312	0.3658519	0.6283278	0.6180506	0.8925697	0.6088076	0.6173100	0.3959852	0.4178914	0.7595361	0.2503407	0.5887503	0.6032600	0.0436031	0.4894543	0.4449003	0.6786790	0.7578852	0.2641989	0.6438422
0.0960588	0.7432730	0.0847907	0.5736773	0.7611044	0.0353101	0.7341184	0.4588728	0.7297187	0.7181889	0.5563576	0.6753762	0.6460598	0.2455525	0.1935475	0.5499656	0.0290850	0.2916152	0.7435422	0.8309123	0.8044879	0.5102018	0.6062782	0.0289088	0.2387585	0.6979740	0.6947112	0.7134535	0.0296810	0.2832806	0.0563516	0.2434861	0.6686505	0.6018251	0.7327176	0.5186208	0.9059780	0.4100670	0.3729375	0.7607593	0.2604240	0.5054840	0.6098141	0.0495858	0.7307630	0.4001737	0.5435200	0.7088869	0.2986401	0.5935279
0.0721697	0.7901590	0.2282807	0.4208684	0.5670869	0.1990823	0.7420961	0.4638592	0.7461371	0.8197463	0.3960274	0.7245451	0.7420286	0.2931563	0.6862398	0.5992321	0.1279788	0.3264215	0.7241899	0.6508705	0.7616562	0.4278627	0.7635680	0.0108592	0.0223928	0.6643370	0.5355383	0.4899926	0.0604059	0.2505034	0.0913684	0.2522339	0.4447891	0.5849544	0.7611561	0.5455279	0.6594853	0.4299915	0.2415478	0.6580973	0.2364352	0.3907735	0.4933756	0.0570733	0.5510815	0.1781277	0.5166898	0.7445426	0.1830182	0.7172845
0.0653295	0.6783039	0.0401688	0.6942128	0.3121574	0.1066820	0.8195947	0.5047454	0.6793423	0.7432903	0.3593960	0.7673929	0.5833407	0.3177840	0.7642601	0.5554485	0.2108110	0.2961828	0.6383363	0.6594101	0.7616981	0.4469464	0.6660514	0.0483031	0.0452434	0.8377144	0.6142485	0.6176033	0.0251595	0.3104783	0.1833700	0.2270260	0.6162355	0.5573190	0.7910190	0.4919954	0.8345935	0.3984451	0.2912587	0.8289979	0.2969630	0.3552876	0.5133137	0.0549479	0.5715051	0.4748999	0.4684261	0.6193398	0.2603161	0.5941042
0.0450272	0.8358915	0.0665136	0.7305133	0.6803972	0.0197854	0.6746409	0.4197742	0.5756102	0.7430983	0.5472899	0.7578162	0.7527152	0.2983852	0.4680168	0.6222643	0.0344567	0.2838666	0.7253290	0.6815315	0.6173907	0.5147408	0.6962052	0.0119318	0.2040196	0.6430759	0.6569312	0.6119608	0.0270756	0.2352902	0.0537063	0.3220175	0.5005746	0.5210588	0.7369471	0.4108257	0.6636017	0.3690892	0.3935451	0.7789216	0.3088737	0.6000317	0.6855898	0.0316849	0.6966442	0.3995417	0.7555025	0.5479173	0.1280516	0.7892001
0.0763107	0.6879534	0.0758605	0.7589467	0.7274074	0.0485100	0.4153150	0.5816695	0.6447704	0.6996927	0.5233557	0.7618952	0.7443978	0.2614631	0.5307126	0.5501836	0.0573500	0.3359282	0.7166280	0.7659319	0.6499221	0.4044744	0.7825959	0.0399830	0.0718842	0.6048542	0.7166653	0.7420380	0.0230838	0.3343982	0.0277803	0.3072591	0.6202795	0.6034271	0.8270149	0.4902842	0.7258503	0.4733239	0.3586827	0.7305305	0.2912586	0.6005562	0.5713158	0.0538528	0.5538553	0.5019280	0.6148593	0.6634691	0.3272415	0.6768105
0.0776045	0.7167490	0.1579146	0.6724447	0.8203035	0.0569432	0.7324988	0.3580918	0.8807545	0.7756162	0.4169504	0.6630822	0.7005766	0.5265892	0.6160301	0.3540120	0.0880841	0.2493768	0.7454719	0.8225239	0.6825534	0.5031278	0.7947569	0.0324667	0.0455436	0.7533852	0.7049904	0.7821820	0.0198419	0.2733605	0.0972456	0.0414563	0.5544844	0.6409284	0.7404105	0.3443634	0.6269940	0.4929720	0.4730496	0.7332983	0.3798471	0.5387495	0.2715488	0.0318247	0.5099856	0.4761780	0.6040289	0.7053794	0.2049552	0.6490223
0.0731411	0.8055241	0.1112625	0.6646505	0.6468316	0.0808548	0.7910588	0.6168019	0.3843735	0.7381870	0.6149707	0.8465058	0.8176372	0.3616138	0.2937277	0.5221566	0.0835454	0.2464967	0.6909140	0.6455883	0.7555655	0.4221237	0.7383146	0.0556794	0.1956032	0.7073007	0.6408032	0.7810437	0.0210657	0.2672961	0.0425217	0.1832696	0.4474450	0.4855694	0.7275285	0.5058340	0.7096328	0.4425106	0.3449802	0.6032158	0.3604147	0.5687008	0.5436697	0.0545635	0.7341639	0.4585032	0.6598680	0.7774290	0.2129464	0.5885177
0.0490622	0.7590837	0.1594526	0.7397092	0.6761989	0.0189963	0.8137788	0.3546662	0.5548562	0.3469501	0.5598418	0.7172238	0.6755729	0.4580486	0.4542073	0.4548169	0.0169764	0.2629023	0.6432399	0.8268040	0.4283000	0.3176234	0.7694792	0.0128588	0.1840351	0.7081901	0.6285312	0.7696797	0.0171781	0.3074679	0.0894311	0.2010355	0.4734444	0.5902507	0.7140816	0.4111344	0.6163425	0.4961682	0.2879971	0.8175154	0.3725364	0.5941369	0.4666692	0.1417543	0.6192167	0.4603747	0.5431709	0.6359931	0.1065273	0.7468554
