YBR297W	YMR021C	YPL177C	YMR042W	YML099C	YIL101C	YJR147W	YGR249W	YER045C	YHL027W	YER190W	YPL265W	YER189W	YBR086C	YOL157C	YJR054W	YCR021C	YMR172CA	YJR094C	YIR020C	YMR173W	YKR042W	YDL246C	YBR298C	YJL221C	YDL245C	YPL198W	YPL078C	YJL219W	YMR319C	YFL023W	YOR258W	YJR101W	YHL029C	YHR193C	YPR197C	YFR005C	YCR107W	YBL043W	YPR123C	YOR280C	YFL024C	YCR105W	YAR050W	YMR135WA	YBL029W	YHR194W	YPL111W	YFL066C	YDR276C
0.0000000	0.7361653	0.0712316	0.7692794	0.7688633	0.0154566	0.6393630	0.4528378	0.6697851	0.7073858	0.8077244	0.6369674	0.6679213	0.2684608	0.0305357	0.4790321	0.0232918	0.3281450	0.6828314	0.7269029	0.5884971	0.4167712	0.6336799	0.0297184	0.4891392	0.6403875	0.6371614	0.7831657	0.0240507	0.2972803	0.0811533	0.3271618	0.6637733	0.4201511	0.7299900	0.5251786	0.6783903	0.3982192	0.3683510	0.7976368	0.2965622	0.6171926	0.6332109	0.0613074	0.8875942	0.4319471	0.5914722	0.7016489	0.0086752	0.7449452
0.6406410	0.0000000	0.2205689	0.7031974	0.7320068	0.6027422	0.4283950	0.6165317	0.4497662	0.7579852	0.0358073	0.5946152	0.0474576	0.1997400	0.5105940	0.5396056	0.6895748	0.6199509	0.5600117	0.2221075	0.5279132	0.1488753	0.7116035	0.6310445	0.0172204	0.8662735	0.3725943	0.6798750	0.0180312	0.6689552	0.0490356	0.3690593	0.6374433	0.5625531	0.0368032	0.6421819	0.7416377	0.0925700	0.6163141	0.0163613	0.2361605	0.6541372	0.3289032	0.0468286	0.0081870	0.2810181	0.6776824	0.5831853	0.5717648	0.2264618
0.0742221	0.7373524	0.0000000	0.8149947	0.9633610	0.0362535	0.7549524	0.4752551	0.7739264	0.8733055	0.4196261	0.7029516	0.6652315	0.3434729	0.4570613	0.5658532	0.0867070	0.4564554	0.8296593	0.7136818	0.7343115	0.5213246	0.7075965	0.0577307	0.0642483	0.7031468	0.7138366	0.7575884	0.0315848	0.3190241	0.0342135	0.1859590	0.6309814	0.5057429	0.7119584	0.5601812	0.6815535	0.3863507	0.3385627	0.7037221	0.2564553	0.5846650	0.5383659	0.0594964	0.6335585	0.4982439	0.5491292	0.7152173	0.1421476	0.7861539
0.0829230	0.7205929	0.3344293	0.0000000	0.7721338	0.0855557	0.7504341	0.4888198	0.6735500	0.6709924	0.3443626	0.0295492	0.6925060	0.2740820	0.5926559	0.5572791	0.1242064	0.4382800	0.7476466	0.5597418	0.6127273	0.5400785	0.5711099	0.0243058	0.0559686	0.5760638	0.3319761	0.7567072	0.0078314	0.2040538	0.0123131	0.1552507	0.2690974	0.6216909	0.9225675	0.4542918	0.5538622	0.5300162	0.2242236	0.7406738	0.2949804	0.3361209	0.5184965	0.0322654	0.6725841	0.1092902	0.5361778	0.5081523	0.2554523	0.5923246
0.0935809	0.7419831	0.0127358	0.7831544	0.0000000	0.0954893	0.8558466	0.5892524	0.8529031	0.6045515	0.3095082	0.0225943	0.5827774	0.3352262	0.6379747	0.6790340	0.2840079	0.4824857	0.7584711	0.7095532	0.6233677	0.4368475	0.6960437	0.0464793	0.0378181	0.6874542	0.6709224	0.7279349	0.0155475	0.3221063	0.7671394	0.3279818	0.7405627	0.5618728	0.0417495	0.5961388	0.8865619	0.5662917	0.3663835	0.8256872	0.3115961	0.3443793	0.5497591	0.7654782	0.4847518	0.4827953	0.1680902	0.6632382	0.3128724	0.6837326
0.0489734	0.8495049	0.1191521	0.7902066	0.6761154	0.0000000	0.7751231	0.4423453	0.8202272	0.6395716	0.7612603	0.7990869	0.6589318	0.4030276	0.0157990	0.5009381	0.0146981	0.4351520	0.6257925	0.7722281	0.6258635	0.3936338	0.6470474	0.0119494	0.6869829	0.6300170	0.6612588	0.6226553	0.0155260	0.2999544	0.0657866	0.1837266	0.5962379	0.3938349	0.7794610	0.5484677	0.7292048	0.4282869	0.4930452	0.7761219	0.2934640	0.5260713	0.5529083	0.0375645	0.8185460	0.4568286	0.6542780	0.6234068	0.1920805	0.7098756
0.0447455	0.7854191	0.1690575	0.6874425	0.7521214	0.0366049	0.0000000	0.5941097	0.5699247	0.7094544	0.5268444	0.7555968	0.5990396	0.1340873	0.5222798	0.0396181	0.0526280	0.2784102	0.7607810	0.7141055	0.7349596	0.7144740	0.7265636	0.0450053	0.1558404	0.7564298	0.6397620	0.7682744	0.0166673	0.2632864	0.0388510	0.4430354	0.5091009	0.6877740	0.7482807	0.7037324	0.8209553	0.4348630	0.4157771	0.6636787	0.1840668	0.4633420	0.6125500	0.0652661	0.7149388	0.3832523	0.4677097	0.5551568	0.2008487	0.7358228
0.0718775	0.6211698	0.1390625	0.7422510	0.6297195	0.0887318	0.7153505	0.0000000	0.7093367	0.7335844	0.3958104	0.7040132	0.7308117	0.4629217	0.5199048	0.0240898	0.0577525	0.4159531	0.6619361	0.6216963	0.6787719	0.4230635	0.6473912	0.0304125	0.0580476	0.7847312	0.6926769	0.7666618	0.0201235	0.2381622	0.0685141	0.0015793	0.4289509	0.6852642	0.7328737	0.0129852	0.6709376	0.3631326	0.3380943	0.8486618	0.7113320	0.5849357	0.1997452	0.0499492	0.7504962	0.4199018	0.5212713	0.6658155	0.2218333	0.6251113
0.0548958	0.8011365	0.1634536	0.8149744	0.7751221	0.0421995	0.6823802	0.3755125	0.0000000	0.6001077	0.5682685	0.7018923	0.7234534	0.2728574	0.6337347	0.5671314	0.0512472	0.3020954	0.7161499	0.7401955	0.5905201	0.4586180	0.6478017	0.0232159	0.0719414	0.7454397	0.7486060	0.0208783	0.0131711	0.2701363	0.0766678	0.3057926	0.4542701	0.6555074	0.6746538	0.5817211	0.6856638	0.4072132	0.3370504	0.6192302	0.2887970	0.5505920	0.6450907	0.0389696	0.7021536	0.3991909	0.5971340	0.8133757	0.1998264	0.4838990
0.0600068	0.6936244	0.1134029	0.6250677	0.6424934	0.0470363	0.7802706	0.1884006	0.3361004	0.0000000	0.6677038	0.8345859	0.6348766	0.5299860	0.0361793	0.2064283	0.0215222	0.0321146	0.3750324	0.6423095	0.3165668	0.2072534	0.6485431	0.0182616	0.7803792	0.6929433	0.5591438	0.5872393	0.0228848	0.6452884	0.0535887	0.0534058	0.5732296	0.4782013	0.8498265	0.2016010	0.6483762	0.5553396	0.3952947	0.7876231	0.5013216	0.7237748	0.2119412	0.5495691	0.6801736	0.5810421	0.5277969	0.8314854	0.1507967	0.6495254
